YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.5920459	0.4670193	0.3531278	0.5035879	0.1509298	0.3437886	0.4864800	0.4712213	0.0725141
1.0000000	0.0000000	0.3597350	0.2807313	0.5722373	0.2493480	0.4675023	0.0147855	0.0773812	0.3878181
0.0873196	1.0000000	0.0000000	0.6355885	0.9946327	0.1518502	0.3459170	0.8033543	0.7571327	0.0743730
0.0873277	0.9999581	0.0248376	0.0000001	0.9960361	0.0974815	0.0188508	0.8031285	0.7570386	0.0180190
0.0981424	0.8192601	0.3485949	0.2745143	0.0000000	0.1129300	0.2462214	0.7242376	0.6563868	0.0270512
0.1120805	0.6716344	0.5068006	0.3803276	0.4785441	0.0000017	0.3254917	0.5957804	0.5427901	0.0077360
0.1120538	0.6718973	0.5065340	0.3802075	0.4782136	0.0974805	0.0000003	0.5959271	0.5429817	0.0180165
0.1105159	0.6849919	0.4865662	0.3649909	0.4293889	0.3445975	0.5496189	0.0000000	0.5544795	0.7194715
0.0990707	0.8065763	0.3587493	0.2800772	0.5730191	0.2500186	0.4681513	0.0112488	0.0000000	0.3902965
0.1120076	0.6721947	0.5060866	0.3798401	0.4768015	0.1409251	0.3251128	0.5964741	0.5433269	0.0000012
