YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.4684784	0.0760020	0.6887406	0.6929219	0.7573818	0.5462982	0.4501874	0.8052576	0.9829587	0.0362926
0.9727422	0.0380123	0.6887512	0.6929338	0.7573964	0.5462909	0.4501821	0.8052636	0.9829614	0.0362910
0.9360782	0.0766815	0.3411419	0.6840327	0.7376424	0.5644814	0.4813632	0.7495710	0.9000915	0.1323276
0.9367509	0.0760020	0.6887469	0.3466181	0.7573904	0.5462939	0.4501842	0.8052613	0.9829603	0.0362916
0.9367240	0.0760292	0.5700179	0.4390263	0.3783232	0.5471621	0.4518930	0.8019024	0.9769351	0.0450940
0.9367556	0.0759971	0.7397301	0.7706618	0.9675424	0.2730693	0.4498535	0.8059377	0.9842589	0.0342503
0.9367548	0.0759979	0.7296367	0.7564885	0.9223546	0.3620921	0.2249594	0.8058077	0.9840240	0.0346108
0.9367449	0.0760082	0.6459668	0.6146422	0.6085206	0.6781712	0.7419448	0.4022524	0.9814777	0.0386006
0.9367422	0.0760108	0.6325045	0.5872933	0.5655538	0.7167570	0.8721622	0.2530875	0.4904232	0.0395102
0.9367509	0.0760019	0.6888994	0.6932324	0.7584664	0.5449102	0.4473038	0.8110190	0.9935638	0.0181582
