YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.7616401	0.1151428	1.0000000	0.5573020	0.9822438	0.9999998	0.0189695	0.5797334	0.1725272	0.0000001
0.7535376	0.1269302	1.0000000	0.4446459	0.8868600	0.9999989	0.0288740	0.6875507	0.2087226	0.0000001
0.5945487	0.2322536	0.8870970	0.2237689	0.4651514	0.9999287	0.0822358	0.8955783	0.1752014	0.0890594
0.7608758	0.1198024	1.0000000	0.3150800	0.4980816	0.9997541	0.1121567	0.8114978	0.8612229	0.6936655
0.6840931	0.1683867	1.0000000	0.5237420	0.6764316	1.0000000	0.0062469	0.5509323	0.1222787	0.0787385
0.5168079	0.3020225	0.7212392	0.1900289	0.4275419	0.7927826	0.0014992	0.7559724	0.2332951	0.1050079
0.8316099	0.0669031	1.0000000	0.3792214	0.6038668	0.9990854	0.1558809	0.6501384	0.1594404	0.0521144
0.7483420	0.1298465	1.0000000	0.4144837	0.7949632	0.8431300	0.1612619	0.5233656	0.0324755	0.0276696
0.4309164	0.1683867	1.0000000	0.2094246	0.5102295	0.9898794	0.0060142	0.5275593	0.0640219	0.0149840
0.6052809	0.2238119	0.8994892	0.3047254	0.6847152	0.8370539	0.0042350	0.9993136	0.3038136	0.1161211
