"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
300	0.5406065	0.9609590	0.0526272	0.0005350	0.4447399	0.5087957	0.0118198	0.2710008	0.0655647	1.0832100
350	0.5527500	0.9663382	0.0366202	0.0000000	0.3957738	0.5687075	0.0238491	0.2897620	0.0565836	1.0130744
400	0.6066231	1.0245513	0.0414113	0.0014060	0.3779400	0.6009548	0.0289877	0.2656682	0.0649450	0.9665399
450	0.6516804	0.9559758	0.0390590	0.0012486	0.3637954	0.5915923	0.0434612	0.3177562	0.0702910	1.0207834
500	0.5929781	0.9676511	0.0565062	0.0037907	0.3989611	0.6044674	0.0343689	0.2841731	0.0670390	1.0094673
550	0.4361627	1.0280317	0.0579549	0.1513900	0.4080547	0.5083483	0.0457922	0.1153954	0.0588994	0.9731338
600	0.4246444	1.0041223	0.0242044	0.1835110	0.3712244	0.3992119	0.0499609	0.0847189	0.0556313	0.9799620
650	0.3968451	0.9695538	0.0314928	0.2344214	0.3755434	0.2753167	0.0507742	0.0928021	0.0596460	0.9948018
700	0.3504797	0.9066225	0.0458117	0.3015961	0.5686960	0.2075325	0.0419753	0.0708837	0.0584579	1.0477256
750	0.3598921	0.9930013	0.0414270	0.3185539	0.7200304	0.1488080	0.0307673	0.0821322	0.0836068	0.9815663
800	0.3201902	0.9528004	0.0689642	0.2597033	0.7914822	0.1235493	0.0817471	0.0636690	0.0718543	1.0542781
850	0.2829982	0.8885099	0.0827378	0.3218609	0.8161546	0.1530262	0.0558395	0.0719959	0.0846135	0.9290983
900	0.2544204	0.9966564	0.1055959	0.3896670	0.7609791	0.1137168	0.0734580	0.0439146	0.0866198	0.9871093
950	0.2310248	0.9758894	0.1270635	0.3709383	0.7901152	0.0873263	0.0936713	0.0433446	0.0475735	1.0077425
1000	0.2603370	0.9077738	0.1336212	0.4602385	0.8041593	0.0885017	0.1041506	0.0477931	0.0338677	1.0092495

0	0.2616494	0.9513382	0.1303574	0.4019882	0.8255641	0.1435621	0.1422657	0.0658019	0.0976590	1.0059961
50	0.3186455	0.1065650	0.1323410	0.3293054	0.5314477	0.3382788	0.6132718	0.0616734	0.0577312	1.0438148
100	0.5683364	0.0097972	0.1151041	0.3156160	0.3981512	0.4719625	0.7745958	0.0822806	0.0817238	1.0105650
150	0.6781454	0.0021441	0.0938855	0.2623134	0.3939342	0.5399416	0.7261734	0.0677484	0.0529480	1.0483565
200	0.7995760	0.0000000	0.0610255	0.1970676	0.3278987	0.5197916	0.7005390	0.0548738	0.0558417	1.0290668
250	0.8382302	0.0042869	0.0597533	0.2182028	0.2537459	0.5070796	0.6886195	0.0551580	0.0505905	1.0879493
300	0.8787132	0.0028534	0.0671231	0.2087208	0.2770943	0.4919033	0.8286701	0.0703750	0.0565616	0.9905188
350	0.8489151	0.0021174	0.0329707	0.2231115	0.2518786	0.5457875	0.6716568	0.0940993	0.0720473	1.1148461
400	0.9137657	0.0003112	0.0503399	0.2143699	0.2293103	0.5593520	0.6993605	0.0601226	0.0472316	0.9317996
450	0.8032028	0.0013690	0.0460743	0.2025957	0.2341454	0.5576823	0.6638589	0.0658700	0.0474482	0.9847485
500	0.8533570	0.0010495	0.0381552	0.2532717	0.2322243	0.5110561	0.7108170	0.0775272	0.0742486	0.9899187
550	0.6763732	0.8924613	0.0385561	0.2342490	0.3689216	0.2939259	0.2371656	0.0915307	0.0652160	1.0203934
600	0.4654401	0.9954405	0.0400897	0.2050112	0.5403873	0.2153439	0.0856030	0.0676920	0.0581958	0.9833179
650	0.2837526	1.0543766	0.0271043	0.2409103	0.6830393	0.1459720	0.0499920	0.0589945	0.0550189	0.9953503
700	0.2938519	0.9134241	0.0353776	0.2651383	0.7352648	0.1143973	0.0473425	0.0666779	0.0593269	0.9672294
750	0.2235425	1.0009475	0.0395648	0.3405624	0.8125851	0.1190029	0.0367576	0.0776098	0.0573849	0.9669518
800	0.2327122	0.9306660	0.0651587	0.4179506	0.8635504	0.1159190	0.0515482	0.0582614	0.0583609	1.0140071
850	0.2372295	0.9125836	0.1357178	0.4345870	0.8849909	0.1159112	0.0917906	0.0607548	0.0618515	1.0151381
900	0.2224480	0.8132525	0.1802473	0.4438004	0.8810966	0.0950905	0.1206140	0.0646631	0.0342515	0.9174808
950	0.2459971	0.8108336	0.2292348	0.4494827	0.9552477	0.1108176	0.1118386	0.0506291	0.0494941	1.0144237
1000	0.2310305	0.7343765	0.2216423	0.4654131	0.9317240	0.1157003	0.1700298	0.0758602	0.0707611	1.0413347

0	0.2616494	0.9513382	0.1303574	0.4019882	0.8255641	0.1435621	0.1422657	0.0658019	0.0976590	1.0059961
50	0.2271429	0.6523814	0.1484579	0.4058670	0.7654945	0.2752742	0.0956852	0.6170320	0.0350004	1.0702212
100	0.2977824	0.5265095	0.1418384	0.3620923	0.6443088	0.4939082	0.0475197	0.7590878	0.0390585	1.0019383
150	0.3519654	0.5483804	0.1764815	0.4349986	0.4669426	0.7137496	0.0306123	0.8200858	0.0425414	1.0104358
200	0.4311710	0.5569772	0.2122360	0.3369460	0.4035319	0.7926555	0.0318670	0.8395194	0.0263340	0.9658558
250	0.4678349	0.4985233	0.1182223	0.2828664	0.3075022	0.8946726	0.0295551	0.8160656	0.0183353	1.0329817
300	0.4408688	0.5813356	0.0720171	0.2394393	0.3190940	0.8103270	0.0220144	0.8524697	0.0300441	0.9819039
350	0.4137869	0.6075274	0.0695744	0.2615684	0.3115749	0.9076504	0.0295739	0.8539471	0.0368750	1.0298726
400	0.4510147	0.6989635	0.0734120	0.3014972	0.2138736	0.8886787	0.0301143	0.8206010	0.0390579	1.0776023
450	0.3920215	0.6909445	0.0748366	0.3246603	0.2559540	1.0099328	0.0202257	0.8821949	0.0274592	1.0714261
500	0.4902167	0.5810287	0.0570664	0.3137786	0.2560513	0.8917178	0.0197811	0.8927303	0.0367829	1.0083724
550	0.4409785	0.8777827	0.0644176	0.2800848	0.2495181	0.8916347	0.0138686	0.3898392	0.0492511	0.9719602
600	0.3772877	0.9335964	0.0664900	0.3230561	0.2568038	0.8036074	0.0199634	0.1989701	0.0625381	1.0637377
650	0.4037477	0.9114242	0.0655597	0.3629709	0.2625481	0.5722226	0.0259187	0.1233795	0.0628211	0.9288495
700	0.4410512	0.8868233	0.1061249	0.3311463	0.3378719	0.4302987	0.0379919	0.0930214	0.0543442	1.0275470
750	0.4084311	0.8787660	0.1140172	0.2826423	0.4040090	0.3256685	0.0556222	0.0570610	0.0472060	0.9652621
800	0.3902327	0.8500380	0.1152741	0.3064440	0.5238011	0.2015923	0.0914759	0.0674362	0.0645306	0.8871802
850	0.3415202	0.9530468	0.1115357	0.3556696	0.5693754	0.1328432	0.0742171	0.0606758	0.0795842	0.9838068
900	0.3069265	0.8687379	0.0925783	0.2844246	0.7435256	0.1122994	0.0733793	0.0461209	0.0736821	1.0843949
950	0.2688989	0.9799765	0.0794954	0.2972319	0.8773648	0.0931464	0.0970165	0.0584260	0.0752418	1.0041215
1000	0.2364799	0.9099075	0.0620847	0.2599219	0.8768568	0.0945774	0.0792917	0.0659323	0.0706685	1.0043359

