YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0227313	0.9856809	0.4130896	0.6261329	0.6875638	0.3779689	1.0000000	0.2655913	0.0187486	1.0000000
0.0173162	0.8980772	0.0890286	0.1975302	0.3701433	0.2046563	1.0000000	0.3354644	0.9377819	1.0000000
0.0194703	0.9998710	0.2297893	0.2848480	0.1923700	0.1321471	1.0000000	0.3796911	0.1914886	1.0000000
0.0219243	0.9999946	0.4324404	0.4484652	0.3152443	0.1828146	1.0000000	0.3501070	0.7584103	1.0000000
0.0219241	0.9999983	0.5659356	0.4119982	0.7593131	0.4476013	0.8392944	0.2068908	0.1927054	1.0000000
0.0227309	0.9856878	0.5920168	0.7756276	0.0974358	0.0936235	0.8648356	0.3202081	0.2139818	0.7690346
0.0219254	0.9999740	0.3072271	0.4093254	0.8845100	0.5856757	0.6413397	0.2881084	0.2340293	0.6863763
0.0132980	0.9999986	0.5147217	0.1149652	0.1037727	0.0966964	0.8216101	0.2757660	0.3509236	1.0000000
0.0128685	0.9353971	0.0826257	0.1286000	0.2625522	0.1623479	1.0000000	0.3650581	0.1109434	1.0000000
0.0140989	0.9999945	0.3824887	0.2304314	0.7175333	0.3779689	1.0000000	0.0851099	0.5839241	1.0000000
