"Time"	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W

0	0.1122180	0.3421538	0.8047778	0.4662236	0.6239650	0.8788953	0.4176997	0.0232335	0.6504576	0.5923250
50	0.1120053	0.3912684	0.8614231	0.6902660	0.2202796	0.9650732	0.4551344	0.0263954	0.4526636	0.3543761
100	0.1100219	0.5338833	0.9220252	0.6562295	0.1621390	0.9878583	0.5698099	0.0386278	0.3879624	0.4003222
150	0.1075474	0.6589977	0.9444273	0.6290657	0.1518848	0.9950518	0.6809526	0.0549091	0.3694518	0.4301722
200	0.1060370	0.7306610	0.9486516	0.6197016	0.1492832	0.9976242	0.7513091	0.0664740	0.3672082	0.4399821
250	0.1053003	0.7654754	0.9476365	0.6169679	0.1483616	0.9985826	0.7866671	0.0711839	0.3695051	0.4427820
300	0.1049658	0.7812974	0.9461680	0.6161654	0.1479798	0.9989493	0.8012159	0.0718824	0.3720983	0.4436111
350	0.1048175	0.7882919	0.9452343	0.6159078	0.1478147	0.9990909	0.8056613	0.0712310	0.3739265	0.4438869
400	0.1047522	0.7913488	0.9447571	0.6158152	0.1477433	0.9991437	0.8060628	0.0704496	0.3750106	0.4439899
450	0.1047236	0.7926783	0.9445356	0.6157790	0.1477127	0.9991609	0.8052675	0.0698797	0.3755971	0.4440314
500	0.1047110	0.7932551	0.9444377	0.6157641	0.1476999	0.9991645	0.8043799	0.0695318	0.3758971	0.4440487
550	0.1047212	0.6923814	0.8596730	0.2855557	0.5321999	0.9874151	0.7577358	0.0513946	0.5801170	0.7369149
600	0.1049049	0.5309447	0.6374834	0.3765938	0.5853396	0.9811240	0.6342333	0.0324740	0.6337668	0.6524809
650	0.1055013	0.4357937	0.6110224	0.4279473	0.5940762	0.9697281	0.5313880	0.0259825	0.6449671	0.6169947
700	0.1066290	0.3902753	0.6729709	0.4444159	0.5977399	0.9505807	0.4726816	0.0241231	0.6463049	0.6070614
750	0.1080441	0.3695879	0.7251037	0.4499484	0.6020649	0.9280355	0.4438385	0.0235808	0.6498685	0.6037361
800	0.1093306	0.3596572	0.7551424	0.4532496	0.6073046	0.9085825	0.4291953	0.0233284	0.6530293	0.6014906
850	0.1102803	0.3540618	0.7715424	0.4563641	0.6124920	0.8947781	0.4211948	0.0231755	0.6540183	0.5992508
900	0.1109176	0.3502933	0.7815467	0.4593245	0.6168211	0.8859792	0.4170916	0.0231086	0.6536245	0.5971217
950	0.1113424	0.3475119	0.7886477	0.4618299	0.6200101	0.8808738	0.4154553	0.0231030	0.6528439	0.5953417
1000	0.1116367	0.3454508	0.7940808	0.4637238	0.6221315	0.8783025	0.4151873	0.0231251	0.6521524	0.5940136

0	0.1122180	0.3421538	0.8047778	0.4662236	0.6239650	0.8788953	0.4176997	0.0232335	0.6504576	0.5923250
50	0.0410401	0.3612612	0.8999470	0.7472944	0.4433475	0.8787569	0.4144279	0.0229912	0.7031668	0.6237297
100	0.0159177	0.4067116	0.9549920	0.7616732	0.4192004	0.8734524	0.3790256	0.0210659	0.8235638	0.6681963
150	0.0067142	0.4413607	0.9773116	0.7560552	0.4175767	0.8445683	0.3180097	0.0189332	0.8913444	0.6865109
200	0.0032340	0.4587415	0.9856483	0.7540685	0.4237933	0.7775052	0.2672733	0.0178121	0.9166391	0.6903380
250	0.0018977	0.4632469	0.9886768	0.7552934	0.4390238	0.6823540	0.2360041	0.0173478	0.9251887	0.6872533
300	0.0013942	0.4580711	0.9898299	0.7591588	0.4631545	0.5894075	0.2192697	0.0171685	0.9283996	0.6788704
350	0.0012375	0.4456352	0.9903920	0.7651208	0.4916984	0.5203790	0.2109090	0.0170982	0.9304210	0.6664423
400	0.0012473	0.4292407	0.9908093	0.7719816	0.5185121	0.4774381	0.2067233	0.0170644	0.9325819	0.6525605
450	0.0013526	0.4125339	0.9911974	0.7783725	0.5395930	0.4531071	0.2043800	0.0170400	0.9350630	0.6399621
500	0.0015155	0.3981368	0.9915532	0.7834443	0.5541856	0.4394371	0.2027648	0.0170166	0.9376042	0.6301803
550	0.0715934	0.3679494	0.9740040	0.5070701	0.7502855	0.4310821	0.2014754	0.0169949	0.9364878	0.5918739
600	0.0969498	0.3260766	0.9314932	0.5235129	0.7815289	0.4260114	0.2029028	0.0170660	0.8870831	0.5513096
650	0.1074807	0.2995266	0.9058126	0.5423728	0.7882832	0.4330062	0.2170685	0.0175371	0.8035866	0.5359874
700	0.1130305	0.2862169	0.9009418	0.5491863	0.7865261	0.4743940	0.2485492	0.0185080	0.7381442	0.5316035
750	0.1164165	0.2810338	0.9024001	0.5491472	0.7728684	0.5570107	0.2899109	0.0197565	0.6970646	0.5321030
800	0.1183577	0.2816968	0.9031191	0.5430307	0.7462850	0.6554439	0.3305004	0.0209708	0.6724415	0.5370254
850	0.1190879	0.2873027	0.9003912	0.5312079	0.7138367	0.7394933	0.3638885	0.0219576	0.6575862	0.5460515
900	0.1188140	0.2964447	0.8930998	0.5162126	0.6842042	0.7984296	0.3885509	0.0226742	0.6487029	0.5571620
950	0.1178652	0.3069973	0.8814107	0.5014705	0.6616017	0.8357998	0.4054861	0.0231532	0.6438624	0.5678240
1000	0.1166356	0.3169853	0.8668198	0.4892942	0.6461054	0.8584235	0.4162985	0.0234404	0.6419293	0.5764610

0	0.1122180	0.3421538	0.8047778	0.4662236	0.6239650	0.8788953	0.4176997	0.0232335	0.6504576	0.5923250
50	0.1156160	0.1813752	0.7952019	0.3936031	0.2972901	0.8788462	0.4169860	0.0097374	0.6602570	0.3818033
100	0.1397166	0.1325930	0.6777065	0.2744514	0.2533653	0.8778922	0.4115882	0.0077692	0.6622661	0.4191935
150	0.1970029	0.1210250	0.4349995	0.2187969	0.2475979	0.8751931	0.4129529	0.0077953	0.6065676	0.4423825
200	0.2591719	0.1186350	0.2494479	0.2018222	0.2470231	0.8786105	0.4526787	0.0104382	0.4757682	0.4492874
250	0.2999867	0.1181796	0.1567395	0.1975341	0.2462927	0.9025570	0.5734128	0.0237820	0.2765938	0.4509364
300	0.3204167	0.1182328	0.1165622	0.1958259	0.2434775	0.9412978	0.7588751	0.1071893	0.1302089	0.4517212
350	0.3288100	0.1186839	0.0996833	0.1934349	0.2390142	0.9695031	0.8926508	0.4378288	0.0618234	0.4530273
400	0.3307873	0.1194776	0.0917544	0.1901871	0.2348900	0.9829236	0.9560717	0.7605358	0.0335941	0.4547977
450	0.3292956	0.1203802	0.0869415	0.1870918	0.2320970	0.9884117	0.9824061	0.8594351	0.0223809	0.4564459
500	0.3261868	0.1211659	0.0834570	0.1848177	0.2305076	0.9905682	0.9929884	0.8788949	0.0181140	0.4576293
550	0.2304123	0.3777123	0.0880586	0.2705106	0.5452293	0.9914128	0.9972072	0.9841575	0.0174600	0.7056350
600	0.1542970	0.3947405	0.1939896	0.3855218	0.5870685	0.9917456	0.9988822	0.9973777	0.0298543	0.6422839
650	0.1254581	0.3789025	0.4251392	0.4312178	0.5924667	0.9918774	0.9994896	0.9941691	0.0855621	0.6147189
700	0.1154017	0.3674553	0.6045981	0.4441487	0.5930897	0.9919248	0.9972373	0.8137529	0.2705887	0.6074684
750	0.1121712	0.3617629	0.6994281	0.4472703	0.5931313	0.9918015	0.9572106	0.2718633	0.4577531	0.6058500
800	0.1112657	0.3592480	0.7424894	0.4479522	0.5931669	0.9906074	0.8277529	0.0791160	0.5621644	0.6055210
850	0.1110764	0.3581686	0.7605392	0.4481320	0.5934448	0.9862635	0.6748482	0.0372644	0.6114700	0.6054248
900	0.1110735	0.3576168	0.7678016	0.4483664	0.5943756	0.9761557	0.5619490	0.0275915	0.6331777	0.6052492
950	0.1111059	0.3570754	0.7708942	0.4489792	0.5965004	0.9590086	0.4937721	0.0248584	0.6423492	0.6047754
1000	0.1111453	0.3561823	0.7728490	0.4502692	0.6001506	0.9375398	0.4565720	0.0239220	0.6461590	0.6037903

0	0.1122180	0.3421538	0.8047778	0.4662236	0.6239650	0.8788953	0.4176997	0.0232335	0.6504576	0.5923250
50	0.1124925	0.3348100	0.7997829	0.4265833	0.4368641	0.9026370	0.4091949	0.0226630	0.7013736	0.6247775
100	0.1123746	0.3699361	0.7457674	0.3634568	0.4090768	0.9037064	0.3866914	0.0216121	0.7155479	0.6716152
150	0.1111708	0.4016364	0.6345131	0.3331753	0.4045838	0.8937234	0.3680956	0.0210580	0.7132122	0.6920487
200	0.1098399	0.4193909	0.5264631	0.3236183	0.4052457	0.8808513	0.3598640	0.0209761	0.7026720	0.6979120
250	0.1089068	0.4271309	0.4574836	0.3220003	0.4075561	0.8719526	0.3617650	0.0212361	0.6823602	0.6985982
300	0.1083750	0.4294746	0.4238656	0.3229570	0.4097524	0.8707929	0.3740769	0.0218787	0.6523461	0.6976953
350	0.1081137	0.4295310	0.4115549	0.3242616	0.4106264	0.8784298	0.3968067	0.0229593	0.6217118	0.6966877
400	0.1080044	0.4292089	0.4090684	0.3248036	0.4095877	0.8929245	0.4258946	0.0243187	0.5993860	0.6963381
450	0.1079644	0.4295671	0.4090946	0.3240988	0.4068106	0.9096383	0.4542663	0.0256074	0.5869011	0.6969663
500	0.1079417	0.4309699	0.4076390	0.3222242	0.4031140	0.9242209	0.4765680	0.0265532	0.5808686	0.6984740
550	0.1078281	0.4348357	0.4162284	0.3659021	0.5856681	0.9186043	0.5048705	0.0285104	0.5134512	0.6616187
600	0.1079215	0.3979129	0.5075755	0.4260652	0.6092055	0.9281192	0.5509431	0.0322379	0.5065505	0.6177162
650	0.1085631	0.3714636	0.6311137	0.4502889	0.6104270	0.9410321	0.5761067	0.0330984	0.5505281	0.6023596
700	0.1095052	0.3585512	0.7152710	0.4563580	0.6081382	0.9486397	0.5590649	0.0301316	0.5992877	0.5990906
750	0.1103690	0.3534471	0.7582295	0.4567223	0.6060987	0.9476662	0.5184729	0.0269087	0.6286794	0.5991926
800	0.1109610	0.3518158	0.7765838	0.4560218	0.6055912	0.9388123	0.4791566	0.0249337	0.6422963	0.5997652
850	0.1112922	0.3512627	0.7833058	0.4558168	0.6069095	0.9249929	0.4513329	0.0239569	0.6475655	0.5998757
900	0.1114591	0.3506589	0.7857466	0.4565217	0.6096914	0.9102983	0.4347987	0.0235273	0.6492659	0.5993013
950	0.1115545	0.3496313	0.7874308	0.4580156	0.6131694	0.8980972	0.4260676	0.0233562	0.6497371	0.5981664
1000	0.1116360	0.3482377	0.7896514	0.4599132	0.6165327	0.8896915	0.4218252	0.0232933	0.6499231	0.5967673

0	0.1122180	0.3421538	0.8047778	0.4662236	0.6239650	0.8788953	0.4176997	0.0232335	0.6504576	0.5923250
50	0.1122060	0.3478866	0.8035068	0.4542454	0.5654919	0.8605101	0.3272852	0.0232368	0.6502284	0.6021018
100	0.1119130	0.3600644	0.7899345	0.4370594	0.5625489	0.8003828	0.2915984	0.0232544	0.6487955	0.6145416
150	0.1113761	0.3670319	0.7679356	0.4326172	0.5742207	0.7343457	0.2780728	0.0233112	0.6467280	0.6169086
200	0.1109235	0.3668393	0.7533112	0.4375812	0.5910906	0.6885933	0.2735718	0.0233887	0.6454944	0.6126963
250	0.1107369	0.3619302	0.7526857	0.4464374	0.6067747	0.6645859	0.2723674	0.0234428	0.6456350	0.6060357
300	0.1108209	0.3554106	0.7624966	0.4551613	0.6180764	0.6541276	0.2719047	0.0234466	0.6469132	0.5997434
350	0.1110913	0.3494602	0.7761215	0.4617855	0.6249119	0.6497073	0.2712147	0.0234025	0.6486754	0.5950980
400	0.1114405	0.3449896	0.7887218	0.4660462	0.6286655	0.6469937	0.2701727	0.0233336	0.6502367	0.5921751
450	0.1117798	0.3420054	0.7982807	0.4685342	0.6307931	0.6442925	0.2690273	0.0232666	0.6512239	0.5904923
500	0.1120593	0.3401196	0.8047280	0.4699852	0.6322440	0.6414391	0.2680626	0.0232189	0.6516287	0.5895102
550	0.1122978	0.3335690	0.8102913	0.4823625	0.6909241	0.6851201	0.3577030	0.0231937	0.6518051	0.5795497
600	0.1127523	0.3229105	0.8236536	0.4974063	0.6870582	0.7733154	0.3929869	0.0231733	0.6528660	0.5688442
650	0.1134356	0.3185381	0.8388391	0.4982719	0.6676790	0.8297605	0.4063475	0.0231322	0.6540312	0.5691545
700	0.1139639	0.3206703	0.8459029	0.4908155	0.6498217	0.8566346	0.4110445	0.0230944	0.6537765	0.5750670
750	0.1140810	0.3258227	0.8437255	0.4821606	0.6380570	0.8680674	0.4130205	0.0231005	0.6521924	0.5813867
800	0.1138498	0.3310983	0.8360710	0.4755582	0.6314311	0.8729010	0.4146603	0.0231533	0.6503570	0.5860187
850	0.1134700	0.3351950	0.8271404	0.4714213	0.6279749	0.8753744	0.4164072	0.0232233	0.6490881	0.5888462
900	0.1130986	0.3379408	0.8195268	0.4690931	0.6261805	0.8771049	0.4179570	0.0232801	0.6485675	0.5904108
950	0.1128053	0.3396359	0.8140619	0.4678340	0.6251777	0.8784726	0.4190072	0.0233106	0.6485918	0.5912514
1000	0.1125998	0.3406476	0.8105271	0.4671345	0.6245546	0.8794576	0.4194989	0.0233173	0.6488819	0.5917207

0	0.1122180	0.3421538	0.8047778	0.4662236	0.6239650	0.8788953	0.4176997	0.0232335	0.6504576	0.5923250
50	0.0407183	0.3953312	0.7915643	0.3681796	0.1956740	0.8787587	0.4144872	0.0229956	0.7018329	0.6738507
100	0.0151573	0.5516883	0.6171502	0.2055570	0.1380975	0.8736009	0.3803450	0.0211340	0.8120296	0.8069082
150	0.0056639	0.6869822	0.3168529	0.1327055	0.1308368	0.8463352	0.3243728	0.0191769	0.8416659	0.8681913
200	0.0021575	0.7614679	0.1529434	0.1118658	0.1317008	0.7892882	0.2933585	0.0187517	0.6994506	0.8855117
250	0.0008749	0.7943139	0.0879032	0.1080488	0.1352908	0.7468295	0.3432445	0.0219028	0.4781034	0.8880151
300	0.0004070	0.8054262	0.0635846	0.1091969	0.1380775	0.8004076	0.4946621	0.0342195	0.3647331	0.8861887
350	0.0002366	0.8082435	0.0547135	0.1103268	0.1359815	0.8930395	0.6609901	0.0598683	0.3197274	0.8849511
400	0.0001746	0.8112536	0.0515199	0.1089856	0.1308285	0.9483250	0.7760117	0.0901358	0.3026418	0.8867422
450	0.0001514	0.8166823	0.0502790	0.1059447	0.1262326	0.9723501	0.8405597	0.1128039	0.2958252	0.8903870
500	0.0001413	0.8229313	0.0496671	0.1029538	0.1232986	0.9820193	0.8735818	0.1257419	0.2924974	0.8938413
550	0.0682836	0.7155098	0.0504624	0.2133678	0.5343749	0.9859390	0.8898509	0.1323503	0.2921829	0.7770196
600	0.0921710	0.5409229	0.1066058	0.3672635	0.5876778	0.9875826	0.8972574	0.1347047	0.2880306	0.6555779
650	0.1009986	0.4394435	0.3415782	0.4274334	0.5938933	0.9883039	0.9037207	0.1428634	0.2725318	0.6167343
700	0.1049874	0.3919018	0.5612269	0.4439877	0.5942771	0.9887113	0.9076725	0.1441052	0.3469536	0.6073588
750	0.1074091	0.3713774	0.6812363	0.4477891	0.5941095	0.9887031	0.8593264	0.0856031	0.5032048	0.6054279
800	0.1090350	0.3628534	0.7359114	0.4485227	0.5940601	0.9867794	0.7357935	0.0443719	0.5920552	0.6051032
850	0.1100487	0.3593476	0.7587176	0.4486902	0.5944520	0.9803577	0.6077560	0.0300975	0.6293135	0.6050200
900	0.1106195	0.3577691	0.7678273	0.4490045	0.5957855	0.9669527	0.5188324	0.0255799	0.6430894	0.6047796
