"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.2570990	0.9997423	0.7367848	0.2490564	0.3846011	0.6231407	0.5141976	0.9103629	0.4601834	1.0000000
50	0.2381527	0.9997416	0.7365095	0.2489778	0.3845822	0.6230871	0.5140324	0.9169542	0.6445925	1.0000000
100	0.1747537	0.9997411	0.7363450	0.2489588	0.3845375	0.6228623	0.5120314	0.9397180	0.8126408	1.0000000
150	0.1251629	0.9997406	0.7362672	0.2489946	0.3843266	0.6216579	0.5070918	0.9607199	0.8864604	1.0000000
200	0.1000278	0.9997403	0.7362741	0.2492037	0.3835153	0.6188200	0.5011971	0.9739681	0.9131170	1.0000000
250	0.0893010	0.9997402	0.7364605	0.2499052	0.3817066	0.6147704	0.4962512	0.9811939	0.9217236	1.0000000
300	0.0850762	0.9997403	0.7370707	0.2514547	0.3789679	0.6105081	0.4928425	0.9848692	0.9241218	1.0000000
350	0.0834055	0.9997409	0.7384039	0.2539584	0.3757856	0.6068323	0.4907622	0.9866633	0.9245227	1.0000000
400	0.0825854	0.9997424	0.7406131	0.2571706	0.3727228	0.6040721	0.4895914	0.9875137	0.9243494	1.0000000
450	0.0819363	0.9997449	0.7435772	0.2606305	0.3701590	0.6021978	0.4889691	0.9879075	0.9240705	1.0000000
500	0.0812308	0.9997486	0.7469490	0.2638806	0.3682296	0.6010180	0.4886523	0.9880870	0.9238289	1.0000000
550	0.0821102	0.9997532	0.7503117	0.2666170	0.3668941	0.6003180	0.4885074	0.9873665	0.7327973	1.0000000
600	0.0991847	0.9997581	0.7533268	0.2687239	0.3660306	0.5999457	0.4887568	0.9807778	0.5585715	1.0000000
650	0.1444437	0.9997629	0.7558038	0.2702273	0.3655306	0.5999865	0.4903052	0.9652661	0.4818635	1.0000000
700	0.1963841	0.9997672	0.7576914	0.2712000	0.3654221	0.6008896	0.4939223	0.9449009	0.4541389	1.0000000
750	0.2335041	0.9997707	0.7590121	0.2716341	0.3659388	0.6031459	0.4992064	0.9269257	0.4455445	1.0000000
800	0.2535334	0.9997735	0.7597663	0.2713608	0.3673734	0.6067454	0.5047998	0.9147696	0.4441677	1.0000000
850	0.2619984	0.9997754	0.7598593	0.2701329	0.3697932	0.6110680	0.5094832	0.9080510	0.4457906	1.0000000
900	0.2640900	0.9997764	0.7591219	0.2678425	0.3729105	0.6152847	0.5127453	0.9051669	0.4487155	1.0000000
950	0.2630967	0.9997764	0.7574274	0.2646754	0.3762176	0.6187806	0.5146522	0.9046208	0.4519857	1.0000000
1000	0.2609266	0.9997751	0.7548175	0.2610669	0.3792274	0.6213007	0.5155275	0.9053147	0.4549797	1.0000000

0	0.2570990	0.9997423	0.7367848	0.2490564	0.3846011	0.6231407	0.5141976	0.9103629	0.4601834	1.0000000
50	0.1760550	0.9997469	0.7365095	0.2489778	0.3845822	0.6230897	0.5141517	0.9106158	0.4601619	0.8445274
100	0.0989875	0.9997528	0.7363450	0.2489582	0.3845489	0.6230391	0.5140235	0.9128367	0.4601272	0.6997068
150	0.0633063	0.9997564	0.7362653	0.2489730	0.3845054	0.6229239	0.5133823	0.9200131	0.4600829	0.6319037
200	0.0496130	0.9997583	0.7362441	0.2490133	0.3844069	0.6225065	0.5115892	0.9317466	0.4599821	0.6046664
250	0.0448051	0.9997591	0.7362677	0.2491129	0.3841084	0.6214273	0.5085917	0.9434077	0.4596753	0.5943274
300	0.0432325	0.9997595	0.7363596	0.2493855	0.3833930	0.6195238	0.5051551	0.9519041	0.4589416	0.5904966
350	0.0428072	0.9997598	0.7366086	0.2500112	0.3821244	0.6170367	0.5021224	0.9570281	0.4576458	0.5890927
400	0.0428092	0.9997601	0.7371639	0.2511421	0.3803767	0.6144415	0.4998953	0.9597181	0.4558693	0.5885808
450	0.0429749	0.9997607	0.7381713	0.2527934	0.3784047	0.6121572	0.4984717	0.9609175	0.4538756	0.5883946
500	0.0431748	0.9997618	0.7396843	0.2548131	0.3765052	0.6103976	0.4976681	0.9612870	0.4519668	0.5883269
550	0.1270478	0.9997584	0.7416162	0.2569475	0.3748956	0.6091877	0.4973931	0.9549770	0.4503600	0.7437750
600	0.2071243	0.9997545	0.7437672	0.2589428	0.3736821	0.6086052	0.4989539	0.9363470	0.4491584	0.8885867
650	0.2445031	0.9997535	0.7458982	0.2606022	0.3729976	0.6092149	0.5028616	0.9212980	0.4484963	0.9563865
700	0.2588485	0.9997546	0.7477863	0.2617202	0.3731432	0.6113236	0.5073271	0.9125421	0.4486834	0.9836226
750	0.2633950	0.9997567	0.7492094	0.2620176	0.3743094	0.6143685	0.5109334	0.9081594	0.4499076	0.9939612
800	0.2638468	0.9997590	0.7499213	0.2612903	0.3762885	0.6174780	0.5133078	0.9063988	0.4519427	0.9977919
850	0.2625276	0.9997607	0.7497215	0.2596155	0.3785959	0.6200507	0.5146269	0.9061532	0.4542850	0.9991957
900	0.2605809	0.9997614	0.7485801	0.2573520	0.3807603	0.6218724	0.5152012	0.9067134	0.4564572	0.9997076
950	0.2586909	0.9997609	0.7466894	0.2549581	0.3824958	0.6229876	0.5153107	0.9076041	0.4581793	0.9998938
1000	0.2572384	0.9997592	0.7443961	0.2528077	0.3837138	0.6235529	0.5151682	0.9085221	0.4593732	0.9999614

0	0.2570990	0.9997423	0.7367848	0.2490564	0.3846011	0.6231407	0.5141976	0.9103629	0.4601834	1.0000000
50	0.2567498	0.9997410	0.7247407	0.1660032	0.3992071	0.7357278	0.5232839	0.6787495	0.4710201	1.0000000
100	0.2502447	0.9997182	0.6380341	0.0806949	0.4559528	0.8593520	0.5804389	0.4260275	0.5242833	1.0000000
150	0.2458576	0.9995246	0.4735964	0.0367192	0.5247653	0.9287218	0.6735331	0.2843544	0.5891817	1.0000000
200	0.2874086	0.9979479	0.3079983	0.0173339	0.5771702	0.9624946	0.7623419	0.2161603	0.6373577	1.0000000
250	0.3835301	0.9832073	0.1936304	0.0092350	0.6092659	0.9783307	0.8261952	0.1851530	0.6659869	1.0000000
300	0.4760535	0.8929149	0.1305443	0.0059020	0.6268038	0.9857298	0.8649963	0.1714008	0.6811789	1.0000000
350	0.5319430	0.6786255	0.1000913	0.0045244	0.6358035	0.9892112	0.8862003	0.1653778	0.6887723	1.0000000
400	0.5582680	0.4428301	0.0865106	0.0039464	0.6402643	0.9908628	0.8970052	0.1627601	0.6924534	1.0000000
