"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
500	0.6444589	0.3413364	0.3924748	0.0722567	0.2484707	0.6487662	0.2432000	0.2665257	0.1202239	0.5382946
550	0.5868181	0.4785278	0.5553552	0.0890631	0.3300116	0.7144690	0.1814159	0.2963147	0.2003834	0.6654862
600	0.6940817	0.4813177	0.5535493	0.1108595	0.1650166	0.7145767	0.1809347	0.2575933	0.1691818	0.8503743
650	0.6722378	0.4137397	0.5162002	0.1233938	0.1705853	0.8290308	0.2569282	0.2929100	0.1509507	0.6893923
700	0.7013815	0.3088046	0.4586215	0.1272097	0.1657842	0.6568792	0.2215126	0.3315687	0.1738268	0.6582246
750	0.8731991	0.3614004	0.5645511	0.0989146	0.3018482	0.6534141	0.2177688	0.2387813	0.1947382	0.6775990
800	0.7119646	0.3731175	0.5054234	0.1007244	0.2710453	0.6833070	0.2327209	0.2155275	0.1675775	0.6615687
850	0.6967192	0.5142539	0.4693732	0.0823036	0.1348942	0.6758101	0.2479531	0.2812364	0.1593229	0.5387090
900	0.6765924	0.3253735	0.4763174	0.1064570	0.3321944	0.6102648	0.1774688	0.1979616	0.1751045	0.6602400
950	0.7120302	0.3958982	0.6400023	0.2035691	0.2205975	0.5765838	0.2147616	0.2642417	0.1625871	0.7013771
1000	0.7187612	0.3550543	0.5679481	0.1571861	0.2137512	0.6508551	0.2011796	0.2728186	0.1347690	0.7519699

0	0.6716086	0.3324528	0.5207285	0.0770501	0.2617637	0.5896652	0.1689414	0.2678622	0.1470103	0.7524261
50	0.8448522	0.2552046	0.3798139	0.0980547	0.3235337	0.5918889	0.2067701	0.2456612	0.1220228	0.8726353
100	0.7493553	0.3182301	0.6224340	0.1172085	0.2495978	0.6427951	0.1459396	0.2738677	0.0898952	0.7798257
150	0.6006281	0.3753385	0.6296421	0.1628366	0.2076051	0.6123787	0.1295997	0.2592164	0.0224274	0.7986989
200	0.6825739	0.3142708	0.5600385	0.1017228	0.1508558	0.5933526	0.2173367	0.2603107	0.0273969	0.5739623
250	0.6601240	0.3729137	0.3413371	0.0928622	0.1471441	0.6087112	0.1918535	0.3270863	0.0202001	0.6107591
300	0.6196890	0.3053425	0.4993079	0.1142412	0.2445569	0.7421173	0.1511827	0.2801602	0.0095882	0.8017701
350	0.5718955	0.3836128	0.5924655	0.1231500	0.2315454	0.6026074	0.2071502	0.1844983	0.0147357	0.8244278
400	0.5992229	0.3890681	0.5701151	0.1827082	0.1481589	0.5812045	0.2387309	0.3008683	0.0238124	0.7518118
450	0.6574719	0.3404491	0.4550518	0.0709836	0.1758407	0.6544988	0.2879177	0.2375230	0.0262379	0.6856725
500	0.5851963	0.3581840	0.5435623	0.0994593	0.2171108	0.6118495	0.1578785	0.2332992	0.0087865	0.6613809
550	0.6555820	0.4670784	0.5568258	0.0787407	0.1516858	0.8323452	0.1989496	0.3169408	0.0735637	0.7047415
600	0.6205462	0.4301576	0.5045309	0.0577963	0.2688648	0.6221488	0.1497201	0.2400627	0.0863205	0.9071952
650	0.6889191	0.4089664	0.4368233	0.1175854	0.2240413	0.5403486	0.1087626	0.2457157	0.1358060	0.8022698
700	0.6533805	0.3118654	0.5514406	0.0930539	0.2312208	0.6231790	0.1806893	0.2716598	0.1390081	0.7259620
750	0.4977737	0.3227493	0.4747970	0.1523481	0.1780628	0.5582358	0.2036768	0.3181927	0.1610613	0.6649230
800	0.6891636	0.2275070	0.4521748	0.1158932	0.1461706	0.6353355	0.1785883	0.2396260	0.1710653	0.6598904
850	0.6253008	0.3484123	0.5254394	0.0845481	0.1950621	0.6748698	0.1637656	0.3020606	0.1289666	0.7364306
900	0.7509488	0.4241463	0.6067491	0.0808001	0.1595972	0.5913262	0.2028436	0.2376454	0.1245232	0.8796838
950	0.6026589	0.4406957	0.5209740	0.1165208	0.1881616	0.6077054	0.1481505	0.3341421	0.1537544	0.7060990
1000	0.6598820	0.4586116	0.4107394	0.1131568	0.2496044	0.6508860	0.1841436	0.2117815	0.1977994	0.8161018

0	0.6014074	0.3854972	0.4565132	0.0702050	0.1627528	0.5440419	0.1221423	0.2093089	0.1310663	0.6249882
50	0.6944398	0.3480755	0.4834123	0.2582462	0.2095238	0.5910909	0.2520748	0.2459785	0.1438270	0.6942981
100	0.5269233	0.3730413	0.4824536	0.5067121	0.2886365	0.7995114	0.1888088	0.2713066	0.1070019	0.7610875
150	0.7124011	0.3224003	0.5211715	0.6184957	0.1881827	0.6951800	0.1056047	0.3330843	0.1451594	0.9175840
200	0.6325894	0.4417978	0.4801930	0.6738192	0.1547730	0.7531012	0.0736697	0.4802766	0.1231259	0.7292513
250	0.6928089	0.4203560	0.4538660	0.5767676	0.2078305	0.5059816	0.0755823	0.4907498	0.1265129	0.8683637
300	0.7077248	0.3127499	0.4458276	0.6296596	0.2161169	0.4281564	0.0179144	0.4977067	0.1102171	0.7284950
350	0.6039129	0.2503850	0.6038963	0.6491453	0.2308551	0.4247512	0.0312667	0.7119497	0.1306038	0.7834314
400	0.7338521	0.1307471	0.6023760	0.5096756	0.2312685	0.4308761	0.0192975	0.4489716	0.1058159	0.6371171
450	0.4602224	0.1215220	0.7190565	0.6786545	0.2253706	0.2709778	0.0283472	0.6091685	0.1578071	0.7391379
500	0.2624765	0.0669697	0.7683989	0.6182052	0.2207780	0.1918775	0.0331313	0.5013527	0.1486539	0.6088514
550	0.2164251	0.0192548	0.6290221	0.4816420	0.3208065	0.2680612	0.0472048	0.6025136	0.2806189	0.6334015
600	0.1082070	0.0392743	0.5613287	0.3355064	0.2430202	0.2518088	0.0408155	0.5007138	0.1820626	0.7196012
650	0.1098003	0.0321739	0.6957074	0.2282862	0.3550203	0.2021657	0.0220764	0.5150734	0.1183155	0.7127414
700	0.0899600	0.0157360	0.6445212	0.2077182	0.5206726	0.1700878	0.0586114	0.4262358	0.1344175	0.8784286
750	0.0638801	0.0480842	0.6522456	0.2700267	0.2635233	0.2277184	0.0962627	0.4320693	0.1275265	0.8474847
800	0.0622175	0.0341720	0.6660804	0.2333275	0.2723399	0.2675650	0.0848611	0.2594436	0.1187799	0.8778282
850	0.0732257	0.0337441	0.5420813	0.1429404	0.1946494	0.2929702	0.0823870	0.2882632	0.1063133	0.6974771
900	0.0717660	0.0490850	0.7395018	0.1261978	0.2234895	0.3659148	0.1182931	0.3149874	0.1841912	0.5516148
950	0.0871262	0.0406626	0.5732633	0.1352069	0.2112520	0.4606573	0.0978915	0.2529971	0.1462474	0.6450800
1000	0.0983963	0.0695556	0.5632061	0.0937523	0.1778231	0.5439839	0.1258972	0.3483406	0.1278606	0.7521473

0	0.7239194	0.4001180	0.4201756	0.0938052	0.1992884	0.5527115	0.1813796	0.2427711	0.1211174	0.7284760
50	0.6172893	0.4554873	0.4482220	0.1206258	0.2053613	0.6125451	0.1536421	0.3392125	0.1138047	0.7333242
100	0.7839118	0.5453434	0.5084567	0.0893279	0.2906734	0.6240856	0.2711068	0.3197028	0.1378573	0.7372655
150	0.7905682	0.4616515	0.5878147	0.1256198	0.2705507	0.6842516	0.1798061	0.3054928	0.1541316	0.7545966
200	0.7333103	0.4566301	0.5956900	0.1041524	0.2028048	0.6033444	0.1619277	0.2876295	0.1298806	0.6867070
250	0.6567905	0.5353171	0.4301112	0.1014589	0.2033798	0.8072668	0.2263876	0.3129295	0.1930435	0.7474772
300	0.8220172	0.6651279	0.5307046	0.0895994	0.2034832	0.7399214	0.1727447	0.4125286	0.1608332	0.7989198
350	0.8116706	0.4517631	0.4886894	0.1192507	0.1567818	0.5973626	0.1335200	0.2839371	0.1098939	0.8005085
400	0.7514555	0.5401808	0.3685094	0.0733514	0.2872679	0.6587066	0.1457571	0.2674979	0.1294780	0.6968739
450	0.7464095	0.5469716	0.5178923	0.1385121	0.2025190	0.6661235	0.1936296	0.2941570	0.1453504	0.9275806
500	0.6868152	0.4360177	0.5577946	0.1594922	0.2545342	0.6535637	0.1398433	0.3453068	0.1349571	0.7411522
550	0.7900489	0.3684576	0.4709672	0.0682631	0.1149884	0.5906511	0.1521987	0.2751660	0.1485451	0.6291803
600	0.7194375	0.4176570	0.4443014	0.0834800	0.2377714	0.5207417	0.1464234	0.3060815	0.1676745	0.6878295
650	0.7410639	0.3438909	0.6083740	0.1555735	0.3192510	0.6019874	0.1724564	0.3084987	0.1088430	0.6632772
700	0.6607285	0.3008907	0.6251668	0.1349325	0.1940922	0.5268098	0.1656704	0.2883258	0.1257196	0.7111051
750	0.6374357	0.2657156	0.3808584	0.1111759	0.2379112	0.6210641	0.1706016	0.2641502	0.1482038	0.7584593
800	0.5588287	0.3748333	0.4533456	0.1164913	0.2677082	0.5033626	0.1141185	0.2510306	0.1037760	0.7331761
