YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0638015	0.1163827	0.5483923	0.9095342	0.8790765	0.0044434	0.0256919	0.4535589	0.5579083	0.1717882
0.5364529	0.1290774	0.6494590	0.8015322	0.9999960	0.0043703	0.0255002	0.4563503	0.5586816	0.1886247
0.2956936	0.4475834	0.9995920	0.0945558	0.0847025	0.8676355	0.9999848	0.0115083	0.1080690	0.7420560
0.2624023	0.0362291	0.8497475	0.5740350	0.6195681	0.2878654	0.0250094	0.4643279	0.7700333	0.0000051
0.6423657	0.0069941	0.5372596	0.6454162	0.6330429	0.1445966	0.0231261	0.5032318	0.7360567	0.0000039
0.3465343	0.5344423	0.5828292	0.6827197	0.6994213	0.1320487	0.0229169	0.5087917	0.5564347	0.1436810
0.1326383	0.2107719	0.7553300	0.6872120	0.7062017	0.0895475	0.1147544	0.2437609	0.4939468	0.2146058
0.4871749	0.4798427	0.8150029	0.0252817	0.1172691	0.5370926	0.2878128	0.1832833	0.4190740	0.2576882
0.2743961	0.0038169	0.5762959	0.8505292	0.9940510	0.0574965	0.0035605	0.5173262	0.8618631	0.0000011
0.5760132	0.3865653	0.7728684	0.6681849	0.7494103	0.2326128	0.0250336	0.4639273	0.6544509	0.0000052
