YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0392308	0.4216865	0.6957868	0.5670534	0.8764163	0.2170260	0.1065804	0.0791556	0.0953947	0.2848495
0.0990071	0.2898140	0.6983490	0.5157838	1.0601780	0.1431148	0.0702958	0.0664544	0.0588163	0.2748019
0.1065311	0.0559013	0.3084637	0.5579363	1.0259612	0.1537267	0.1033327	0.0860516	0.0552027	0.3124156
0.0825664	0.0879738	0.3529531	0.2587360	1.0963919	0.1333657	0.1191205	0.0719328	0.0112779	0.0724579
0.4928501	0.7612393	0.7878320	0.8461548	0.4230953	0.2618461	0.2084944	0.3604989	0.4613159	0.6826016
0.1455983	0.4328550	0.6292510	0.5787674	0.9421949	0.0547098	0.0939052	0.0704848	0.0733227	0.2506492
0.1220644	0.3923331	0.5963535	0.5331771	0.9424960	0.1167677	0.0348764	0.0778876	0.0254946	0.1760019
0.0679329	0.3874922	0.6187248	0.5744942	0.9808388	0.1718406	0.0670307	0.0422586	0.1131508	0.3754163
0.1031420	0.4332855	0.6291776	0.6357335	0.9095654	0.1369422	0.1223388	0.0639483	0.0215925	0.2431455
0.1045386	0.4046375	0.6801721	0.6434493	0.9157468	0.1361600	0.1084271	0.0726738	0.0181294	0.1636043
