"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C

0	0.9810584	0.8379175	0.3722906	0.1439536	0.1347750	0.0920869	0.8651912	0.8734178	0.3918103	1.0000000
50	0.9809478	0.8389398	0.3713603	0.1461420	0.1482841	0.0916562	0.8994690	0.8719599	0.4015193	0.7459222
100	0.9809893	0.8409399	0.3762273	0.1607863	0.1637618	0.0900695	0.9291387	0.8494530	0.4621748	0.5154770
150	0.9811502	0.8441992	0.3936217	0.1808641	0.1713359	0.0883683	0.9379374	0.7514439	0.5600265	0.4121288
200	0.9814707	0.8509192	0.4178230	0.1958898	0.1732394	0.0873989	0.9317316	0.5771937	0.6487641	0.3728550
250	0.9820460	0.8605868	0.4389510	0.2032992	0.1728666	0.0872630	0.9198096	0.4079897	0.7080545	0.3588885
300	0.9828300	0.8706226	0.4524665	0.2055612	0.1723451	0.0876648	0.9094273	0.2930116	0.7410558	0.3540749
350	0.9836522	0.8788787	0.4591600	0.2058554	0.1724548	0.0882343	0.9028023	0.2287018	0.7572958	0.3524420
400	0.9843574	0.8846012	0.4618845	0.2061496	0.1731495	0.0887327	0.8992138	0.1964532	0.7645630	0.3518926
450	0.9848771	0.8880984	0.4631837	0.2070773	0.1740972	0.0890830	0.8973294	0.1813549	0.7675497	0.3517087
500	0.9852194	0.8901059	0.4644477	0.2084956	0.1750094	0.0893039	0.8961820	0.1746468	0.7686708	0.3516472
550	0.9854143	0.8898351	0.4657994	0.2067599	0.1618347	0.0899648	0.8485421	0.1730001	0.7470100	0.6057045
600	0.9854612	0.8887202	0.4623578	0.1914239	0.1468633	0.0921795	0.8221066	0.1988478	0.6475787	0.8361429
650	0.9854182	0.8869687	0.4475420	0.1719696	0.1403560	0.0943068	0.8199675	0.3039540	0.5372483	0.9394888
700	0.9852901	0.8828647	0.4255951	0.1589871	0.1396558	0.0952409	0.8295056	0.4815031	0.4614783	0.9787618
750	0.9850036	0.8757404	0.4059779	0.1536849	0.1407438	0.0950882	0.8408523	0.6514656	0.4197610	0.9927281
800	0.9845087	0.8669621	0.3938381	0.1527408	0.1413168	0.0944332	0.8489351	0.7656837	0.3998924	0.9975416
850	0.9838548	0.8588051	0.3884118	0.1528551	0.1408606	0.0937605	0.8531867	0.8280458	0.3917598	0.9991745
900	0.9831729	0.8527579	0.3864091	0.1523934	0.1397677	0.0932761	0.8551399	0.8577667	0.3891973	0.9997238
950	0.9825903	0.8489183	0.3850986	0.1511527	0.1385587	0.0929806	0.8563739	0.8702930	0.3889132	0.9999078
1000	0.9821614	0.8465406	0.3832984	0.1495485	0.1375360	0.0927963	0.8577056	0.8747292	0.3893476	0.9999692

0	0.9810584	0.8379175	0.3722906	0.1439536	0.1347750	0.0920869	0.8651912	0.8734178	0.3918103	1.0000000
50	0.9811757	0.8553427	0.3710674	0.1432906	0.1334913	0.0875499	0.8786661	0.5718430	0.3968304	0.8549063
100	0.9823487	0.8774366	0.3695874	0.1409399	0.1278376	0.0830191	0.8909357	0.3089919	0.4246595	0.7233082
150	0.9838783	0.8909110	0.3655681	0.1345694	0.1197524	0.0804856	0.8981381	0.1936144	0.4660574	0.6642901
200	0.9850419	0.8969376	0.3563860	0.1254167	0.1124115	0.0791508	0.9042930	0.1443240	0.5020137	0.6418624
250	0.9856962	0.8977082	0.3423986	0.1163253	0.1069889	0.0783539	0.9111673	0.1192740	0.5256789	0.6338867
300	0.9859249	0.8946573	0.3265292	0.1090095	0.1033035	0.0777507	0.9183753	0.1047973	0.5390219	0.6311378
350	0.9858323	0.8889555	0.3117829	0.1037523	0.1007839	0.0772210	0.9249609	0.0963406	0.5460389	0.6302053
400	0.9855052	0.8818232	0.2997648	0.1001257	0.0989503	0.0767526	0.9303405	0.0915678	0.5498093	0.6298916
450	0.9850236	0.8744136	0.2906907	0.0975879	0.0975246	0.0763601	0.9344332	0.0889218	0.5520953	0.6297866
500	0.9844658	0.8675699	0.2840426	0.0957328	0.0963798	0.0760493	0.9374459	0.0874047	0.5537303	0.6297515
550	0.9835406	0.8333355	0.2791538	0.0943747	0.0963178	0.0801904	0.9324541	0.2666668	0.5467791	0.7748335
600	0.9808074	0.7926742	0.2758075	0.0944500	0.1003906	0.0841362	0.9280290	0.4428681	0.5108463	0.9064277
650	0.9767263	0.7660502	0.2755010	0.0975981	0.1068365	0.0860758	0.9255518	0.5696412	0.4709550	0.9654444
700	0.9727919	0.7523562	0.2802852	0.1033609	0.1126996	0.0869549	0.9222117	0.6701362	0.4444953	0.9878717
750	0.9700225	0.7488493	0.2898192	0.1098223	0.1169055	0.0874399	0.9170109	0.7406793	0.4306691	0.9958473
800	0.9687993	0.7530348	0.3015055	0.1154444	0.1196641	0.0878449	0.9106341	0.7830792	0.4238647	0.9985961
850	0.9689963	0.7619351	0.3126542	0.1197109	0.1215375	0.0882677	0.9042741	0.8063085	0.4197768	0.9995286
900	0.9701470	0.7725490	0.3218330	0.1228144	0.1229786	0.0887006	0.8987559	0.8193130	0.4163358	0.9998423
950	0.9717050	0.7826933	0.3288556	0.1251635	0.1242256	0.0891072	0.8943267	0.8278490	0.4129820	0.9999473
1000	0.9732584	0.7912914	0.3341795	0.1270896	0.1253551	0.0894608	0.8908507	0.8346282	0.4098034	0.9999824

0	0.9810584	0.8379175	0.3722906	0.1439536	0.1347750	0.0920869	0.8651912	0.8734178	0.3918103	1.0000000
50	0.9809168	0.8367701	0.3710727	0.1433800	0.1344648	0.0919994	0.8659862	0.8720398	0.4005881	0.7695254
100	0.9807904	0.8357589	0.3700129	0.1428830	0.1341968	0.0919306	0.8660083	0.8521635	0.4540501	0.5604879
150	0.9806780	0.8348700	0.3690920	0.1424559	0.1339813	0.0919248	0.8634214	0.7679401	0.5388087	0.4667405
200	0.9805784	0.8340908	0.3683007	0.1421161	0.1338879	0.0920793	0.8576854	0.6158515	0.6152828	0.4311151
250	0.9804905	0.8334138	0.3676693	0.1419503	0.1340597	0.0924310	0.8513563	0.4606097	0.6666080	0.4184461
300	0.9804137	0.8328494	0.3673196	0.1421177	0.1345989	0.0928828	0.8465270	0.3488328	0.6955788	0.4140796
350	0.9803493	0.8324483	0.3674626	0.1427445	0.1354479	0.0933070	0.8433685	0.2828121	0.7102426	0.4125984
400	0.9803021	0.8323081	0.3682804	0.1438060	0.1364289	0.0936419	0.8412081	0.2479935	0.7171440	0.4121001
450	0.9802808	0.8325369	0.3697820	0.1451306	0.1373699	0.0938924	0.8394348	0.2308527	0.7202240	0.4119332
500	0.9802955	0.8331892	0.3717759	0.1465051	0.1381810	0.0940895	0.8377556	0.2228001	0.7215277	0.4118775
550	0.9803520	0.8342249	0.3739719	0.1477751	0.1388505	0.0942248	0.8413531	0.2204964	0.7034953	0.6423335
600	0.9804480	0.8355224	0.3761121	0.1488611	0.1392994	0.0940023	0.8507692	0.2477081	0.6201867	0.8513648
650	0.9805735	0.8369273	0.3779991	0.1495974	0.1392182	0.0934855	0.8561589	0.3504136	0.5269165	0.9451101
700	0.9807139	0.8382852	0.3793515	0.1496781	0.1385501	0.0930164	0.8584115	0.5116907	0.4619931	0.9807348
750	0.9808531	0.8394222	0.3797986	0.1490131	0.1376096	0.0927127	0.8594607	0.6614362	0.4254112	0.9934036
800	0.9809735	0.8401438	0.3791808	0.1478667	0.1367201	0.0925351	0.8603766	0.7624994	0.4070217	0.9977700
850	0.9810570	0.8403080	0.3777232	0.1466158	0.1360232	0.0924161	0.8614943	0.8192971	0.3984079	0.9992512
900	0.9810898	0.8399071	0.3758744	0.1455132	0.1355111	0.0923119	0.8627522	0.8480186	0.3945912	0.9997495
950	0.9810685	0.8390735	0.3740409	0.1446363	0.1351195	0.0922081	0.8639823	0.8616114	0.3930233	0.9999163
1000	0.9810014	0.8380079	0.3724442	0.1439521	0.1347917	0.0921064	0.8650673	0.8677042	0.3924896	0.9999721

0	0.9810584	0.8379175	0.3722906	0.1439536	0.1347750	0.0920869	0.8651912	0.8734178	0.3918103	1.0000000
50	0.9809215	0.8374404	0.3828104	0.1433800	0.1344648	0.0919992	0.8660319	0.8727907	0.3921534	1.0000000
100	0.9808891	0.8399968	0.3916855	0.1428829	0.1341957	0.0919232	0.8667624	0.8722576	0.3923031	1.0000000
150	0.9810677	0.8439877	0.3949222	0.1424522	0.1339622	0.0918573	0.8673967	0.8719943	0.3920250	1.0000000
200	0.9813823	0.8472957	0.3956172	0.1420793	0.1337599	0.0918002	0.8679470	0.8722215	0.3913950	1.0000000
250	0.9816919	0.8493262	0.3954399	0.1417564	0.1335846	0.0917507	0.8684242	0.8729191	0.3906844	1.0000000
300	0.9819187	0.8503162	0.3950217	0.1414770	0.1334327	0.0917079	0.8688379	0.8738388	0.3900987	1.0000000
350	0.9820534	0.8506625	0.3945728	0.1412352	0.1333012	0.0916709	0.8691962	0.8747125	0.3897063	1.0000000
400	0.9821180	0.8506715	0.3941560	0.1410260	0.1331874	0.0916388	0.8695065	0.8753860	0.3894873	1.0000000
450	0.9821388	0.8505283	0.3937862	0.1408451	0.1330890	0.0916111	0.8697752	0.8758252	0.3893910	1.0000000
500	0.9821359	0.8503304	0.3934632	0.1406886	0.1330038	0.0915871	0.8700077	0.8760665	0.3893692	1.0000000
550	0.9821181	0.8495089	0.3813454	0.1405534	0.1329301	0.0915664	0.8702089	0.8761681	0.3893936	1.0000000
600	0.9820181	0.8458597	0.3710982	0.1404364	0.1328664	0.0915484	0.8703829	0.8761570	0.3895765	1.0000000
650	0.9817292	0.8407234	0.3667180	0.1403353	0.1328113	0.0915329	0.8705334	0.8759086	0.3901451	1.0000000
700	0.9812998	0.8362832	0.3650525	0.1402480	0.1327637	0.0915195	0.8706636	0.8752199	0.3910574	1.0000000
