YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.3851444	0.6240776	0.1966467	0.0941116	0.1402837	0.1887408	0.8179392	0.6343894	0.1456337	0.6183550
0.7108138	0.3107416	0.1074321	0.0617982	0.1085342	0.1911569	0.7209335	0.6085640	0.2199238	0.7511694
0.7140093	0.6636736	0.0431374	0.0699430	0.0813238	0.1836811	0.7343422	0.6409892	0.1873078	0.8449564
0.9062935	0.6163872	0.1109264	0.0470613	0.0560189	0.1583105	0.9663000	0.6485466	0.2459347	0.6952655
0.7036570	0.8863280	0.0790781	0.0835252	0.0516109	0.2003956	0.7521107	0.8210152	0.2321895	0.7696630
0.6250254	0.6046160	0.0811468	0.0681395	0.1142390	0.1083342	0.8312535	0.6777576	0.1939004	0.7810905
0.5294817	0.3043842	0.3266270	0.1259856	0.3339301	0.6692306	0.4658388	0.6199695	0.1856379	0.7311512
0.8024873	0.6175732	0.1399955	0.0993136	0.0667429	0.2154836	0.9114475	0.3261486	0.2067253	0.8127905
0.7681432	0.5767557	0.0836380	0.1089729	0.0876884	0.1344045	0.7682014	0.6975590	0.1469512	0.8241529
0.6570428	0.8452676	0.0269972	0.0742768	0.0503303	0.1484267	0.8047041	0.5619701	0.1968183	0.3565924
