YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.3628864	0.9220623	0.8948221	0.6517927	0.0483184	0.6671853	1.0197728	0.5158044	1.0928826
0.9955215	0.0000000	0.1009014	0.2342579	0.1873304	0.6681643	0.6758498	0.8018821	0.7796539	1.0028777
0.4431303	0.6855328	0.0000000	0.2092142	0.3104763	0.2753789	0.6611243	0.9019125	0.8986390	1.0676814
0.4292515	0.6983652	0.0677605	0.0000000	0.1793358	0.2030286	0.6479976	0.9704275	0.8162653	1.0727204
0.4453617	0.7296659	0.1208169	0.1084378	0.0000000	0.2569995	0.6696603	1.0645678	0.9184025	1.0128507
0.4707301	0.7292896	0.0568092	0.3014485	0.3060758	0.0000000	0.6875511	1.0503478	0.7983477	0.9961690
0.5359069	0.7499660	0.0828434	0.2580829	0.1535109	0.4347693	0.0000000	0.9424059	0.9375844	1.0262548
0.4629123	0.8354883	0.0756718	0.1840803	0.1574216	0.0582186	0.0713615	0.0000000	0.9589138	0.9576648
0.4760772	0.5798783	0.9842878	1.0160295	0.9825076	0.1042078	0.4618311	0.7450177	0.0000000	1.0220209
0.3803105	0.7614921	0.0690798	0.1804378	0.1624937	0.1959380	0.7210304	0.9129944	0.8212921	0.0000000
