YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.9040296	0.4469176	0.0538570	1.0437217	0.7589899	0.6393014	0.5558841	0.6745258	0.0832449
0.0278074	0.0000000	0.4752297	0.0595972	1.0742336	0.9101522	0.6027021	0.6782827	0.6250857	0.0829449
1.0040855	0.9821373	0.0000000	0.0477558	0.9966511	1.0224422	0.3477812	0.4319871	0.9816094	0.0423410
0.9677447	1.0007688	0.0220304	0.0000000	1.0270618	1.0229918	0.4234038	0.3990112	0.9556139	0.0748349
0.0322241	0.0111152	1.0780916	0.9988640	0.0000000	0.5504887	0.7439282	0.7973615	0.4504407	1.1242927
0.0480457	0.0321893	0.9420624	0.2179950	0.0567033	0.0000000	0.7035557	0.7481643	0.5196810	0.8893499
0.9817079	0.9371508	0.3037602	0.0507289	0.9712815	1.0024438	0.0000000	0.6830854	0.5906080	0.0792606
0.8363288	0.9933499	0.3472449	0.0558926	1.1192924	1.0596357	0.3825869	0.0000000	0.5871756	0.1053771
0.9218726	0.9414965	0.3183105	0.0700686	0.9596192	0.4915183	0.7700521	0.9412068	0.0000000	0.0834268
0.9555913	0.9949206	0.4517865	0.0802289	1.0406597	0.7019170	0.6274402	0.5753909	0.5711253	0.0000000
