YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.7190904	1.0194424	0.4727575	0.0006402	0.0163519	0.2253734	0.8336054	0.6502396	0.1799102	0.5254916
0.6879366	0.9678297	0.0383119	0.6298290	0.5000000	0.1310574	1.0834052	1.0625364	0.0949084	0.8918298
0.7434536	0.9531748	1.0642216	0.0012479	0.0481569	0.1094136	0.9229021	1.0477742	0.0866772	1.0049622
0.5866930	0.7879648	0.2180536	0.4490287	0.1387365	0.1931158	1.0574802	0.6295475	0.1013126	0.9891639
0.4022369	0.5991119	0.4384104	0.2960160	0.1927939	0.2384496	0.9794490	0.8757431	0.0945708	0.9344336
0.7875031	1.0215758	0.1284266	0.5050929	0.8163362	0.1627169	0.9643234	1.0780927	0.1142189	0.9453042
0.5752347	0.7149255	0.6850718	0.1139873	0.0226149	0.5359021	0.7414103	0.9588384	0.2013277	0.5457331
0.7612474	1.0764526	0.2923069	0.3630568	0.0968148	0.1078393	0.9118172	0.9417437	0.1150393	0.8661036
0.6779916	1.0468009	0.9910275	0.0238077	0.3154828	0.2903583	1.0411019	0.9641408	0.0479866	0.7691674
0.7059725	0.8825991	0.9449184	0.0001674	0.0148226	0.2213877	1.0688720	1.0460977	0.0880477	0.9926232
