"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.7917360	1.0000000	0.0752040	0.6223950	0.6165807	0.2895637	0.6453764	0.9672085	0.9718283	1.0000000
50	0.7636858	0.5734464	0.0771055	0.6184827	0.6500745	0.1243334	0.6462249	0.9672371	0.9765028	1.0000000
100	0.6447257	0.4092545	0.0878715	0.5851397	0.7469285	0.0747368	0.6569275	0.9675967	0.9866817	1.0000000
150	0.4762756	0.3460525	0.1127912	0.5374517	0.8360045	0.0664312	0.6797023	0.9682686	0.9935611	1.0000000
200	0.3339495	0.3217244	0.1474935	0.5039227	0.8832859	0.0777437	0.7040698	0.9689059	0.9968527	1.0000000
250	0.2430736	0.3123599	0.1797208	0.4850089	0.8920616	0.1002442	0.7219304	0.9693401	0.9980876	1.0000000
300	0.1927725	0.3087552	0.2021454	0.4731140	0.8746933	0.1256181	0.7310714	0.9695766	0.9981508	1.0000000
350	0.1669560	0.3073677	0.2148833	0.4656826	0.8447829	0.1465489	0.7324723	0.9696680	0.9974293	1.0000000
400	0.1542852	0.3068336	0.2212926	0.4634434	0.8143053	0.1606044	0.7284577	0.9696602	0.9962374	1.0000000
450	0.1482506	0.3066280	0.2246590	0.4654875	0.7899238	0.1690000	0.7217436	0.9695900	0.9949311	1.0000000
500	0.1454404	0.3065488	0.2268497	0.4692107	0.7730316	0.1737607	0.7146130	0.9694902	0.9937847	1.0000000
550	0.2002319	0.7330719	0.1872358	0.4869052	0.6537967	0.6917215	0.7054475	0.9693112	0.9789729	1.0000000
600	0.3867767	0.8972522	0.1263522	0.5968305	0.4747637	0.8125339	0.6732499	0.9677505	0.9122462	1.0000000
650	0.5637076	0.9604496	0.0969257	0.7391919	0.3887340	0.7356361	0.6209180	0.9626350	0.8436281	1.0000000
700	0.6744770	0.9847760	0.0850875	0.8175625	0.3711455	0.6145404	0.5758472	0.9551720	0.8185256	1.0000000
750	0.7341503	0.9941399	0.0803243	0.8347982	0.3882308	0.5348541	0.5521860	0.9497599	0.8306192	1.0000000
800	0.7642384	0.9977443	0.0782895	0.8203161	0.4161127	0.4934989	0.5477514	0.9488222	0.8561123	1.0000000
850	0.7788690	0.9991317	0.0773257	0.7956473	0.4416146	0.4680222	0.5540101	0.9509897	0.8796138	1.0000000
900	0.7858129	0.9996658	0.0768079	0.7723485	0.4617480	0.4459697	0.5635953	0.9540382	0.8973210	1.0000000
950	0.7890474	0.9998713	0.0764981	0.7533387	0.4783698	0.4249275	0.5728505	0.9567728	0.9104970	1.0000000
1000	0.7905305	0.9999505	0.0762957	0.7374946	0.4933387	0.4059680	0.5809055	0.9589115	0.9208462	1.0000000

0	0.7917360	1.0000000	0.0752040	0.6223950	0.6165807	0.2895637	0.6453764	0.9672085	0.9718283	1.0000000
50	0.8901750	0.9807357	0.0752712	0.6193407	0.6429646	0.1551128	0.6461470	0.9586762	0.6393313	1.0000000
100	0.9247623	0.9733204	0.0754172	0.5924647	0.7203737	0.1053437	0.6568185	0.9192117	0.5160060	1.0000000
150	0.9365430	0.9704660	0.0754071	0.5512441	0.7989090	0.0825482	0.6833981	0.8562201	0.4705800	1.0000000
200	0.9403885	0.9693673	0.0752193	0.5187859	0.8555819	0.0681193	0.7196091	0.7982062	0.4538320	1.0000000
250	0.9415668	0.9689444	0.0749849	0.4989653	0.8928389	0.0565777	0.7565381	0.7600199	0.4476770	1.0000000
300	0.9418908	0.9687816	0.0747911	0.4873750	0.9181858	0.0471206	0.7881649	0.7393829	0.4454434	1.0000000
350	0.9419608	0.9687189	0.0746538	0.4801988	0.9363871	0.0398567	0.8121567	0.7294819	0.4446545	1.0000000
400	0.9419649	0.9686948	0.0745604	0.4754402	0.9496328	0.0346537	0.8288415	0.7250880	0.4443893	1.0000000
450	0.9419570	0.9686855	0.0744964	0.4721822	0.9590622	0.0311232	0.8397502	0.7232469	0.4443085	1.0000000
500	0.9419501	0.9686819	0.0744521	0.4699577	0.9655488	0.0288190	0.8465806	0.7225127	0.4442891	1.0000000
550	0.8372912	0.9879448	0.0743611	0.4691026	0.9543025	0.0893700	0.8492730	0.7874381	0.7879944	1.0000000
600	0.8028192	0.9953596	0.0741797	0.4738869	0.9131391	0.1148623	0.8376365	0.8836520	0.9185543	1.0000000
650	0.7929012	0.9982138	0.0740516	0.4843668	0.8711251	0.1312610	0.8114433	0.9336992	0.9676162	1.0000000
700	0.7907657	0.9993124	0.0740237	0.4963285	0.8378410	0.1462961	0.7820507	0.9551768	0.9855719	1.0000000
750	0.7907335	0.9997353	0.0740652	0.5074722	0.8106904	0.1618944	0.7567735	0.9638816	0.9916243	1.0000000
800	0.7910775	0.9998981	0.0741391	0.5178011	0.7863333	0.1775530	0.7372061	0.9672970	0.9930279	1.0000000
850	0.7913663	0.9999608	0.0742265	0.5279055	0.7636030	0.1921927	0.7222989	0.9685732	0.9925343	1.0000000
900	0.7915448	0.9999849	0.0743199	0.5379802	0.7427856	0.2051391	0.7105879	0.9689880	0.9912387	1.0000000
950	0.7916421	0.9999942	0.0744155	0.5477847	0.7244115	0.2162880	0.7010198	0.9690539	0.9896268	1.0000000
1000	0.7916915	0.9999978	0.0745090	0.5569559	0.7086603	0.2258571	0.6930001	0.9689788	0.9879382	1.0000000

0	0.7917360	1.0000000	0.0752040	0.6223950	0.6165807	0.2895637	0.6453764	0.9672085	0.9718283	1.0000000
50	0.7917360	1.0000000	0.0752821	0.6921100	0.4248127	0.1682403	0.6267400	0.9796549	0.9753783	1.0000000
100	0.7917360	1.0000000	0.0757382	0.7758713	0.4250903	0.1366958	0.5880774	0.9837632	0.9837550	1.0000000
150	0.7917360	1.0000000	0.0761599	0.7799379	0.4546627	0.1388778	0.5674252	0.9852855	0.9899495	1.0000000
200	0.7917360	1.0000000	0.0762878	0.7603254	0.4697915	0.1494176	0.5636330	0.9859398	0.9929772	1.0000000
250	0.7917360	1.0000000	0.0762526	0.7491663	0.4706999	0.1572135	0.5650879	0.9862419	0.9939735	1.0000000
300	0.7917360	1.0000000	0.0762022	0.7483430	0.4663482	0.1607959	0.5658293	0.9863758	0.9940259	1.0000000
350	0.7917360	1.0000000	0.0761868	0.7517627	0.4621701	0.1621635	0.5650133	0.9864265	0.9937998	1.0000000
400	0.7917360	1.0000000	0.0761976	0.7552791	0.4594789	0.1629950	0.5635138	0.9864396	0.9935740	1.0000000
450	0.7917360	1.0000000	0.0762160	0.7577141	0.4578286	0.1638978	0.5620690	0.9864384	0.9934036	1.0000000
500	0.7917360	1.0000000	0.0762322	0.7593081	0.4566161	0.1648735	0.5609230	0.9864333	0.9932706	1.0000000
550	0.7917360	1.0000000	0.0761598	0.6765279	0.6562156	0.3289379	0.5824904	0.9747582	0.9901770	1.0000000
600	0.7917360	1.0000000	0.0757070	0.6139878	0.6246094	0.3613104	0.6177579	0.9707492	0.9788015	1.0000000
650	0.7917360	1.0000000	0.0753450	0.6254422	0.5846594	0.3457314	0.6309268	0.9688080	0.9671559	1.0000000
700	0.7917360	1.0000000	0.0753021	0.6464029	0.5726624	0.3264823	0.6304649	0.9674951	0.9617937	1.0000000
750	0.7917360	1.0000000	0.0753830	0.6537706	0.5767895	0.3161886	0.6282579	0.9666897	0.9614748	1.0000000
800	0.7917360	1.0000000	0.0754354	0.6512160	0.5842433	0.3125061	0.6283469	0.9663516	0.9629496	1.0000000
850	0.7917360	1.0000000	0.0754355	0.6462846	0.5897332	0.3109611	0.6301150	0.9663076	0.9644053	1.0000000
900	0.7917360	1.0000000	0.0754101	0.6424353	0.5930469	0.3093186	0.6322025	0.9663828	0.9654293	1.0000000
950	0.7917360	1.0000000	0.0753824	0.6399342	0.5953510	0.3072843	0.6339478	0.9664794	0.9661601	1.0000000
1000	0.7917360	1.0000000	0.0753604	0.6381232	0.5974066	0.3052078	0.6352949	0.9665650	0.9667685	1.0000000

0	0.7917360	1.0000000	0.0752040	0.6223950	0.6165807	0.2895637	0.6453764	0.9672085	0.9718283	1.0000000
50	0.7840442	0.4542465	0.0778550	0.6225980	0.6164146	0.2887285	0.6452374	0.9672003	0.9717793	1.0000000
100	0.6517093	0.2441712	0.0979978	0.6225315	0.6161117	0.2974726	0.6451516	0.9671947	0.9717217	1.0000000
150	0.4634356	0.1633076	0.1697456	0.6226782	0.6071773	0.3475170	0.6447222	0.9671747	0.9700637	1.0000000
200	0.3289919	0.1321810	0.2961213	0.6162271	0.5726309	0.4595801	0.6414095	0.9670032	0.9618178	1.0000000
250	0.2598152	0.1201996	0.3998264	0.5471609	0.5098100	0.6083310	0.6305574	0.9662749	0.9387587	1.0000000
300	0.2286158	0.1155876	0.4334833	0.4614929	0.4410896	0.7411678	0.6097855	0.9642414	0.8967807	1.0000000
350	0.2152291	0.1138123	0.4285089	0.4497839	0.3871292	0.8330156	0.5827794	0.9601040	0.8449664	1.0000000
400	0.2095843	0.1131289	0.4287216	0.4719033	0.3519201	0.8888760	0.5564934	0.9536596	0.7972839	1.0000000
450	0.2072147	0.1128659	0.4385600	0.4900854	0.3309273	0.9212632	0.5360063	0.9456430	0.7609301	1.0000000
500	0.2062197	0.1127646	0.4484037	0.4969009	0.3188783	0.9397897	0.5228090	0.9373742	0.7361570	1.0000000
550	0.1288931	0.6584792	0.3724004	0.5036558	0.3119537	0.9567570	0.5159194	0.9300500	0.7202291	1.0000000
600	0.2806628	0.8685394	0.2024185	0.5954311	0.3072949	0.9685236	0.5133582	0.9242331	0.7093308	1.0000000
650	0.4936291	0.9493973	0.1235367	0.7831661	0.3048774	0.9394225	0.5131921	0.9198502	0.7028692	1.0000000
700	0.6375231	0.9805216	0.0945022	0.8750677	0.3082861	0.8474583	0.5145727	0.9170823	0.7061569	1.0000000
750	0.7161700	0.9925023	0.0838364	0.8914923	0.3215992	0.7295664	0.5179852	0.9171254	0.7255855	1.0000000
