YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.1976313	0.3244951	0.4028560	0.6359620	0.2864466	0.4025074	0.8863829	0.6817290	0.8134116	1.0843640
0.1623564	0.2087130	0.5246390	0.6050390	0.3041265	0.4059086	0.8909375	0.6620618	0.8452371	1.1595806
0.0955854	0.1211282	0.2832594	0.5054489	0.3435357	0.3702518	1.0195965	0.6984514	0.6009181	1.0068048
0.7513059	0.6429186	0.8631267	0.1039326	0.3251050	0.4124910	0.9873974	0.0932430	0.7034077	1.0375710
0.3661215	0.2985062	0.4574693	0.6438442	0.1045369	0.4210157	1.0341476	0.8358176	0.6203341	1.0312046
0.2160733	0.2118339	0.2933333	0.8477546	0.1965004	0.2088534	0.9659929	0.9254562	0.6136687	1.0152129
0.7145657	0.6833070	0.8219704	0.0943001	0.4428910	0.6134904	0.4947986	0.0322174	0.8228352	1.0242652
0.8441294	0.6517243	0.7416883	0.2546399	0.2929037	0.3708196	1.0163839	0.1367291	0.6582376	1.0752751
0.7441661	0.5280547	0.7242727	0.1840834	0.3189370	0.3345645	1.0108021	0.2990226	0.2923529	1.0475055
0.7351259	0.5334924	0.6173298	0.3557160	0.2830104	0.3191520	1.0428792	0.4766938	0.6861936	0.5343241
