YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000009	0.2408335	0.0356637	0.0592315	0.9986614	0.6413420	0.5300620	0.5525698	0.9966548	1.0000000
0.2932180	0.0000042	0.0356637	0.0592315	0.9986614	0.6413420	0.5300620	0.5525698	0.9966548	1.0000000
0.2937319	0.2404383	0.0000000	0.0592315	0.9986614	0.6413420	0.5300620	0.5525698	0.9966548	1.0000000
0.2937341	0.2406076	0.0144844	0.0000003	0.9986614	0.6413420	0.5300620	0.5525698	0.9966548	1.0000000
0.2981037	0.3482515	0.6945380	0.9999493	0.0000064	0.6413420	0.5300620	0.5525698	0.9966548	1.0000000
0.3595686	0.3482836	0.6944789	0.9999316	0.0238590	0.0000001	0.3384344	0.5525698	0.9966548	1.0000000
0.5105992	0.3482730	0.6945055	0.9999395	0.0240191	0.0283217	0.0000001	0.5525698	0.9966548	1.0000000
0.5698405	0.5895322	0.6946518	0.9999820	0.0254231	0.0450678	0.0713214	0.0000000	0.9966548	1.0000000
0.5662301	0.5849538	0.6946550	0.9999829	0.0254229	0.0450678	0.0713214	0.0080656	0.0000000	1.0000000
0.5638646	0.5819675	0.6946430	0.9999796	0.0254236	0.0450678	0.0713214	0.0125050	0.0527541	0.0000000
