YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.2504863	0.1315042	0.3916668	0.5296900	0.1321848	0.1234337	0.6107424	0.5831920	0.1909970	0.7363482
0.6189555	0.4470739	0.6332821	0.2108911	0.3056194	0.4482363	0.6071355	0.3987779	0.2341924	0.4846335
0.4979651	0.4942898	0.7377598	0.0134079	0.3291253	0.2707724	0.7259751	0.1960332	0.3038612	0.8164891
0.5296759	0.3636699	0.6354967	0.1057274	0.3491862	0.2691054	0.7636032	0.2217565	0.4648470	0.7177526
0.4422672	0.1660493	0.2740240	0.4845497	0.0912996	0.1886415	0.6751580	0.5287284	0.1608925	0.6506428
0.6462908	0.4858458	0.5606878	0.0268448	0.4485770	0.3290641	0.7165218	0.0005890	0.2484519	0.8481967
0.5255700	0.3986857	0.7157025	0.2104567	0.2004690	0.2304970	0.8395622	0.3651325	0.4094161	0.7658303
0.4481576	0.4014601	0.5383278	0.1234565	0.2912248	0.3100211	0.4820726	0.1435076	0.5595222	0.7499498
0.6570122	0.4252280	0.6064898	0.0723367	0.2109854	0.1979438	0.6217624	0.0539218	0.2446398	0.7164134
0.5719085	0.4432571	0.5571362	0.0248111	0.5741832	0.4598715	0.4008556	0.0021875	0.2545152	0.4416551
