"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
950	0.7871268	0.1514699	0.3863347	0.2848000	0.2594722	0.6937285	0.7519147	0.3843166	0.6066189	0.6064044
1000	0.4868152	0.1663332	0.5156720	0.2770949	0.3475944	0.8119707	0.6950849	0.4069273	0.6518437	0.8588165

0	0.5049462	0.1504116	0.3082622	0.3612155	0.2812223	0.6428673	0.7153822	0.4668110	0.8466923	0.7343280
50	0.4614145	0.1167488	0.3108250	0.5622044	0.3341592	0.5119210	0.7286270	0.2672854	0.4818099	0.6171732
100	0.6378166	0.2016686	0.2013353	0.5737656	0.3160005	0.4718614	0.7699244	0.1539326	0.4324921	0.7309818
150	0.5413253	0.1833343	0.1167754	0.5094694	0.4454320	0.4791186	0.7519987	0.1688517	0.3967436	0.7426872
200	0.6390800	0.1197100	0.1460019	0.6220203	0.4971194	0.4344030	0.6878905	0.2497983	0.5029282	0.7319977
250	0.6600948	0.0749845	0.1091486	0.7377319	0.5727747	0.4167433	0.7327141	0.3031871	0.4114021	0.6615319
300	0.6900187	0.0862052	0.0998408	0.5685677	0.4040819	0.4878758	0.6421533	0.3997408	0.4653821	0.7517169
350	0.5046864	0.0217561	0.0569260	0.5689291	0.4705974	0.4693080	0.6706330	0.2595934	0.4719647	0.6650727
400	0.6107797	0.0384474	0.0737704	0.5542840	0.4066837	0.7016194	0.7282164	0.3468859	0.5142456	0.6048861
450	0.4584609	0.0484562	0.0739489	0.5300163	0.3518040	0.5055895	0.6311448	0.3055419	0.4648213	0.7621390
500	0.5804064	0.0615671	0.1132972	0.6950437	0.3416050	0.4980895	0.7761414	0.3305190	0.3906161	0.7496554
550	0.4813199	0.0304834	0.0897045	0.3726444	0.5245631	0.6592543	0.7386169	0.5137999	0.7336595	0.6718968
600	0.4566746	0.0448931	0.1741154	0.3948774	0.4815751	0.8191464	0.7106419	0.4282546	0.8563476	0.6708183
650	0.3969515	0.0394566	0.1788378	0.3221969	0.3726445	0.6213250	0.7498507	0.3882086	0.6546347	0.7410043
700	0.4049888	0.0715964	0.2143005	0.3451931	0.4318222	0.6573283	0.6078863	0.2644089	0.6714996	0.7525235
750	0.5344596	0.1092181	0.2391899	0.2784224	0.4165461	0.5722289	0.7979911	0.3570715	0.6866454	0.7671484
800	0.5364121	0.2223570	0.3655830	0.2509294	0.3280876	0.7161133	0.7440571	0.3455036	0.7225976	0.6125074
850	0.5484128	0.1904535	0.3287637	0.2648295	0.3262213	0.6851079	0.7310561	0.4385221	0.5887956	0.6236283
900	0.5874712	0.2177090	0.2309183	0.2452107	0.3143295	0.7454849	0.7051612	0.3861608	0.6234380	0.7807947
950	0.4783205	0.1578831	0.2460965	0.4255622	0.3860953	0.7000621	0.6780958	0.4546087	0.7552244	0.6971197
1000	0.5128995	0.1836577	0.2632052	0.4463709	0.3528613	0.7745189	0.8246151	0.4047645	0.6643762	0.6472777

0	0.4798757	0.1980821	0.2631066	0.3710645	0.2929497	0.6946078	0.7720597	0.3945470	0.8275250	0.7506745
50	0.5162587	0.1447305	0.4140074	0.2922097	0.1454009	0.2863885	0.7793671	0.3590697	0.7626538	0.7644329
100	0.6677871	0.1501206	0.3700124	0.2892193	0.1258777	0.1757979	0.6719329	0.3941342	0.8942334	0.5600916
150	0.6334974	0.1807348	0.3933182	0.2765054	0.2003400	0.1322266	0.7474881	0.3155954	0.6378432	0.7867481
200	0.6356826	0.1923725	0.5176695	0.2341143	0.2099982	0.1131626	0.6891951	0.3568465	0.7167065	0.7782218
250	0.6098254	0.2349400	0.5478807	0.3147310	0.1814738	0.1303882	0.7391369	0.3512283	0.7150545	0.8395261
300	0.6608884	0.2083495	0.5318714	0.3776770	0.1715227	0.0942923	0.7454631	0.3465953	0.7730569	0.7961945
350	0.5427222	0.2497870	0.2661816	0.3996039	0.1627561	0.1194207	0.8502520	0.3589079	0.7909174	0.8130852
400	0.5636118	0.2291570	0.2970415	0.3362962	0.2655784	0.1210928	0.7618716	0.4800314	0.8390176	0.6941651
450	0.5219820	0.1369166	0.3321634	0.2639365	0.2610285	0.1068922	0.7470512	0.3504335	0.6318268	0.6761454
500	0.6296556	0.1416677	0.4472079	0.2292146	0.1102716	0.0955805	0.6470499	0.3067080	0.7263904	0.6908898
550	0.5814626	0.1913065	0.4985620	0.2476546	0.4696947	0.5163514	0.7035905	0.3896868	0.7991383	0.7963564
600	0.6551158	0.2464640	0.3960979	0.3845707	0.3956682	0.6178263	0.8678304	0.2991561	0.7770898	0.7165622
650	0.6075967	0.2079610	0.3002276	0.4377769	0.3824482	0.6252306	0.6809558	0.3126221	0.7370712	0.7628271
700	0.5443227	0.1938612	0.1990508	0.5084969	0.4647945	0.7617085	0.8413811	0.3111636	0.7650977	0.7311665
750	0.5510913	0.2192065	0.3285692	0.3154148	0.3490807	0.8871249	0.6575092	0.3417880	0.7458647	0.9082181
800	0.4415266	0.1486232	0.2691361	0.3450363	0.3129013	0.7526861	0.8584139	0.3324402	0.6376819	0.6245882
850	0.4667623	0.1346621	0.3283249	0.3773294	0.2737288	0.7253367	0.6544073	0.3214788	0.6754019	0.6265458
900	0.6020854	0.1482102	0.2754175	0.3261797	0.3532843	0.7305303	0.7163328	0.4188835	0.8512865	0.7148232
950	0.5388851	0.1287939	0.2529664	0.3840471	0.2595795	0.7103971	0.7714654	0.3164344	0.7041022	0.6919607
1000	0.6467717	0.1634552	0.2986594	0.3480468	0.3221483	0.8558289	0.7696780	0.2661089	0.7577395	0.5470865

0	0.4952363	0.1682891	0.2289863	0.3424863	0.2389084	1.0000000	0.7548290	0.4115389	0.7645742	0.7082287
50	0.4834097	0.1817668	0.4387399	0.3576876	0.1965081	0.6475403	0.3972638	0.4026766	0.6740853	0.2907953
100	0.4579197	0.1985754	0.3647313	0.2882515	0.1946048	0.6685513	0.3121950	0.4577398	0.6643755	0.0513242
150	0.4186006	0.2116798	0.3616145	0.2192317	0.2654196	0.7952657	0.3117524	0.3824963	0.8577322	0.0519950
200	0.5818594	0.3958497	0.3571097	0.2782617	0.2083936	0.6327085	0.3445157	0.2935234	0.7712984	0.0199535
250	0.4824912	0.2885284	0.4493146	0.2478850	0.2177239	0.8132444	0.2796830	0.3438868	0.7353617	0.0123003
300	0.4865842	0.3109206	0.4771307	0.2951939	0.1859057	0.7308647	0.2691808	0.3813269	0.7612301	0.0069151
350	0.6045955	0.3107607	0.4452447	0.3217013	0.1505432	0.6317216	0.4209825	0.4080369	0.7672084	0.0045115
400	0.5864707	0.4644235	0.4905698	0.2819857	0.3193333	0.6247036	0.3303285	0.3415409	0.6539225	0.0098313
450	0.4891962	0.3489006	0.3825964	0.2468496	0.1619251	0.6248012	0.3755936	0.2939579	0.8059847	0.0082555
500	0.5679524	0.2989321	0.4523992	0.3258919	0.2258494	0.6938551	0.3015703	0.3058116	0.6357356	0.0052959
550	0.7421834	0.3461920	0.3825119	0.3679838	0.3530447	0.7215082	0.7861964	0.3499100	0.7212129	0.5713762
600	0.5503177	0.1867439	0.2866142	0.3099226	0.2779297	0.5794938	0.8424400	0.4019110	0.6614265	0.6904180
650	0.6208641	0.1383486	0.2590920	0.3752043	0.3048876	0.5506152	0.7053453	0.4347525	0.6432713	0.7227831
700	0.5388781	0.1023635	0.2929031	0.4267720	0.3894609	0.7574396	0.6772616	0.3338697	0.6775245	0.8742502
750	0.5541032	0.1176240	0.3235089	0.2955209	0.2933554	0.8285822	0.6666403	0.3206447	0.6303794	0.5936959
800	0.5165562	0.1365498	0.4316330	0.3252675	0.3385540	0.6577828	0.8021380	0.3481763	0.6376622	0.7197927
850	0.5171994	0.1899951	0.3845146	0.3866438	0.3079026	0.6329049	0.6848430	0.3611847	0.5956395	0.7235743
900	0.5996746	0.1651784	0.3809505	0.3716230	0.3574856	0.7387517	0.5882743	0.4557644	0.6489092	0.7375355
950	0.5082234	0.2171570	0.3384772	0.4132174	0.3385967	0.8012839	0.6631160	0.4323513	0.8032518	0.6189024
1000	0.4148520	0.1435792	0.3553221	0.2970291	0.3508909	0.6737612	0.7175347	0.3421437	0.7174677	0.6739249

0	0.5489668	0.1590455	0.2951715	0.3345418	0.3440503	0.7234702	0.7504136	0.3462857	0.6371631	0.6849846
50	0.4904182	0.2305438	0.2372873	0.2773840	0.0974176	0.6375730	0.6322215	0.3879587	0.7331677	0.6134298
