YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.4840855	0.1870840	0.2323371	0.3576669	0.1198401	0.8184319	0.7777014	0.6362511	0.8620337	0.7114786
0.5614955	0.0699216	0.3700883	0.3215863	0.1052231	0.7238484	0.8578112	0.5736415	0.8067358	0.6899789
0.4821364	0.0436890	0.1971409	0.4967524	0.0581850	0.8441572	0.9139015	0.5402420	0.7173832	0.7192680
0.7075777	0.7834855	0.8172679	0.0753388	0.1585487	0.6960457	0.7898763	0.5968196	0.6917606	0.8571697
0.6865144	0.1581387	0.2911707	0.3280274	0.0753781	0.7982827	0.8270032	0.5547635	0.7179517	0.9443214
0.5235845	0.0739824	0.1629954	0.7620418	0.6032328	0.3952966	0.8339940	0.5257846	0.7375351	0.8736528
0.6265441	0.1273704	0.2718630	0.3416884	0.1406829	0.6932749	0.3905196	0.5731602	0.6756161	0.7510317
0.6074071	0.1438836	0.3532158	0.3203894	0.1147121	0.6293236	0.7414045	0.2159009	0.8414800	0.7171700
0.4151836	0.1655779	0.3298225	0.3379832	0.1113194	0.8709101	0.8143092	0.0922447	0.3604170	0.7137787
0.6684384	0.1416566	0.3474763	0.3595633	0.0761779	0.7426513	0.8476726	0.6263993	0.7150849	0.3235509
