YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.4677833	0.5921371	0.1046998	0.3247358	0.1883449	0.2799540	0.4287946	0.4160000	0.5949012	0.8201572
0.2444619	0.6408893	0.2242374	0.1145562	0.1320106	0.0798832	0.4165853	0.5801525	0.7314883	0.7381468
0.3229186	0.5152218	0.5335539	0.2411642	0.1673348	0.0718243	0.4621475	0.6097488	0.6310370	0.5575003
0.6664201	0.2912170	0.6245613	0.5001817	0.3024188	0.3601928	0.4153229	0.5294989	0.4439462	0.5646013
0.6212974	0.4538658	0.2483056	0.3503993	0.2212593	0.2705588	0.4508410	0.4394889	0.6723611	0.7157487
0.3065465	0.5834385	0.6782131	0.6471008	0.5683924	0.1603122	0.5351318	0.6335894	0.5095123	0.6254936
0.3184238	0.4278687	0.3968141	0.3641613	0.1995867	0.1384994	0.4610912	0.5767067	0.6179944	0.7566577
0.3033426	0.5198017	0.3375752	0.3924841	0.1057625	0.1597282	0.5786256	0.6754889	0.5055151	0.5563470
0.3937486	0.4791238	0.0089162	0.0149568	0.0699179	0.2317059	0.4554051	0.7572794	0.9191033	0.8416609
0.5325661	0.4161620	0.2511741	0.0021958	0.0458278	0.4393623	0.5192214	0.7088057	0.6500063	0.7006901
