YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.4993717	0.1666928	0.2534434	0.3841454	0.7667482	0.5224238	0.0638762	0.4863720	0.0745401	1.0000000
0.9858632	0.0646988	0.5130751	0.2532352	0.9656854	0.8671064	0.1687710	0.5607862	0.0745401	1.0000000
0.9858632	0.1293905	0.2565376	0.2532352	0.9656854	0.8671064	0.1687710	0.5607862	0.0745401	1.0000000
0.9858642	0.1293908	0.5130702	0.1266174	0.9656845	0.8670999	0.1687687	0.5607869	0.0745401	1.0000000
0.8857639	0.1234428	0.5886642	0.6992440	0.4893343	0.9724100	0.4067074	0.3408645	0.0745401	1.0000000
0.9417457	0.1759745	0.2254870	0.4564361	0.6902237	0.4761687	0.3031219	0.4514623	0.0745401	1.0000000
0.9966944	0.1442122	0.3711499	0.2814456	0.9119132	0.6857906	0.0942119	0.5428925	0.0745401	1.0000000
0.8724405	0.1233086	0.5904628	0.2469183	0.9789124	0.9749119	0.4273711	0.2825036	0.0745401	1.0000000
0.9936531	0.1356353	0.4454734	0.2626777	0.9470506	0.7800015	0.1221498	0.6179336	0.0372701	1.0000000
0.8643399	0.1232470	0.5912953	0.2468622	0.9790238	0.9762165	0.4399126	0.1465742	0.3856483	0.5000000
