YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0656488	0.6985526	0.2201126	0.3848376	0.2674949	0.2391105	0.1747715	0.8689086	0.5773733	0.2738038
0.1632889	0.8026585	0.1047123	0.4816469	0.2666293	0.7563056	0.0032212	0.5225679	0.7734636	0.7382583
0.1677685	0.7852577	0.4500880	0.1147200	0.0073267	0.0860791	0.2011982	0.3831371	0.8195261	0.7701090
0.1654536	0.7822677	0.3167936	0.2968750	0.2740156	0.1453816	0.1732184	0.3144925	0.6441329	0.4681089
0.2447046	0.6477233	0.1768281	0.4450886	0.3854754	0.4953354	0.1269611	0.7619365	0.6007402	0.3288604
0.1761454	0.6993898	0.1210995	0.2649632	0.0379540	0.3542395	0.1609504	0.4442622	0.7536286	0.8235807
0.1550082	0.8751094	0.1819485	0.3099123	0.4750979	0.2480485	0.1763970	0.4246098	0.6332223	0.7483322
0.1641060	0.6371235	0.0478825	0.4409171	0.5288557	0.7018031	0.0075044	0.5655404	0.6554004	0.5984775
0.1910476	0.5454842	0.0334717	0.4274453	0.2345345	0.6035338	0.0209021	0.3661868	0.6316791	0.7924930
0.0754586	0.7642422	0.2528766	0.2132318	0.2972900	0.1768409	0.2083901	0.6336304	0.7342183	0.6745441
