"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.5617516	0.3698997	0.7092101	0.6030111	0.3056163	0.3344462	0.3668671	0.5063307	0.5307654	0.7460880
50	0.4039521	0.4435188	0.7395670	0.4894831	0.3385704	0.2801516	0.2541668	0.4020659	0.5060953	0.5399413
100	0.4971876	0.3660650	0.7441781	0.6233261	0.3316593	0.2155889	0.1690211	0.4372181	0.6153994	0.2992985
150	0.4929460	0.4239516	0.7432457	0.6183352	0.1087582	0.2069924	0.0379443	0.4853245	0.5567763	0.1975262
200	0.5349486	0.3082826	0.5897417	0.6161806	0.1251572	0.2506364	0.0318819	0.4899617	0.6950156	0.1660076
250	0.5529915	0.3194897	0.6851424	0.5135671	0.0805058	0.1977902	0.0433975	0.4246990	0.5729956	0.1695486
300	0.5822141	0.4095783	0.6232653	0.4842645	0.1202002	0.2436429	0.0073737	0.3679300	0.6010454	0.1586926
350	0.3610823	0.4114272	0.6077704	0.5624577	0.1143177	0.3853819	0.0190688	0.3883669	0.6455492	0.1805767
400	0.5714112	0.3925551	0.7241205	0.5642563	0.1730086	0.3589599	0.0362525	0.5148967	0.6066515	0.0850305
450	0.6108918	0.4046307	0.7746826	0.5193200	0.1316437	0.4405723	0.0238685	0.3715599	0.7247471	0.1355460
500	0.4681285	0.4948715	0.6734686	0.4974308	0.1393414	0.2799194	0.0176705	0.4907498	0.4800008	0.1572845
550	0.5298037	0.4567422	0.8466517	0.3825294	0.1735037	0.4598268	0.2205286	0.5329907	0.3833183	0.3955890
600	0.5198133	0.3918240	0.8660455	0.4180631	0.2446406	0.6204187	0.2786894	0.3616996	0.3217840	0.5713344
650	0.4847694	0.3806786	0.6812947	0.4431279	0.3478564	0.4376567	0.3409917	0.4145150	0.4592065	0.6071764
700	0.5181125	0.4284986	0.6211760	0.5071780	0.3239046	0.4254386	0.4676571	0.4432070	0.3430545	0.5972971
750	0.4013373	0.7290728	0.6567020	0.5297926	0.4670125	0.3735913	0.4093453	0.4838268	0.4425258	0.5794253
800	0.3503526	0.5236256	0.7685778	0.6949554	0.3475326	0.3450340	0.4147205	0.3465283	0.4355171	0.8682706
850	0.6122631	0.3671912	0.9456688	0.5443254	0.3469146	0.3466274	0.4190029	0.4325102	0.5955332	0.6891918
900	0.4251161	0.2674211	0.8874234	0.5566477	0.4573789	0.2159504	0.5259074	0.3589093	0.4870824	0.8821181
950	0.5184570	0.3274255	0.7366919	0.5075073	0.4390229	0.2631658	0.4188837	0.4420549	0.4155075	0.8906275
1000	0.4581827	0.3245041	0.6806228	0.5872769	0.3511740	0.2423975	0.3914026	0.5643708	0.5302468	0.7180703

0	0.5084397	0.3577704	0.6887017	0.5373263	0.3368998	0.4405656	0.3888270	0.3947970	0.5232463	0.7865595
50	0.5032187	0.3139212	0.8108348	0.4695094	0.4170875	0.3644040	0.2686954	0.4183954	0.5651420	0.5275489
100	0.4124303	0.2864826	0.9756967	0.5262920	0.4987919	0.5415968	0.1330655	0.5320979	0.5894207	0.4313866
150	0.6103589	0.2949864	0.7670712	0.7189973	0.5494309	0.5144902	0.1123047	0.5058244	0.6968170	0.3909811
200	0.6546129	0.4101363	0.7965134	0.7408868	0.6604608	0.6156501	0.0720122	0.4235289	0.5641782	0.3468699
250	0.5142210	0.3356879	0.8203222	0.8134517	0.6238501	0.7344213	0.1058988	0.3883461	0.5598912	0.4857808
300	0.5421230	0.3203499	0.5906920	0.6683918	0.5417030	0.6021744	0.0991475	0.4234342	0.5194322	0.5182037
350	0.5091124	0.2431432	0.7487333	0.6062041	0.5427072	0.6916814	0.0628276	0.4248110	0.6895502	0.3901057
400	0.6166829	0.3144973	0.9217141	0.7020842	0.6558183	0.7690862	0.2221787	0.4485407	0.5273271	0.4994022
450	0.6017645	0.2314370	0.6439941	0.6260360	0.6659030	0.7173541	0.1303549	0.5412221	0.6028310	0.4414584
500	0.5978952	0.3969494	0.7153888	0.6265515	0.6177906	0.7788779	0.0641590	0.4479114	0.6105878	0.3802177
550	0.5731580	0.4518244	0.6841204	0.6106599	0.4204883	0.7330827	0.2021105	0.4426112	0.5102122	0.5344777
600	0.4944009	0.3813901	0.6829782	0.6269912	0.4713393	0.6546643	0.2522853	0.4365170	0.4119424	0.7393524
650	0.4650288	0.3958300	0.6802858	0.4828389	0.3791769	0.5465538	0.3264209	0.4153762	0.4103727	0.8460292
700	0.5016383	0.3119128	0.8566607	0.4684612	0.3359316	0.4585363	0.4123243	0.4686877	0.3928016	0.7884130
750	0.4973899	0.1893421	0.8925686	0.4478523	0.3208149	0.4049467	0.2834386	0.5645137	0.5070982	0.7511556
800	0.6896975	0.3004578	0.7178072	0.4543438	0.2871617	0.4067838	0.2347045	0.4753808	0.4852000	0.7403663
850	0.6621174	0.2878224	0.8030435	0.4617128	0.3095595	0.3453293	0.2394581	0.4044050	0.4544222	0.9043249
900	0.5314718	0.4184930	0.8031916	0.4859862	0.3096056	0.4329447	0.2580554	0.5049203	0.5656419	0.8533062
950	0.5765154	0.2503053	0.6965331	0.6151706	0.2992402	0.4670991	0.3247714	0.4682536	0.5500041	0.7278841
1000	0.6055709	0.3355525	0.8238309	0.3923702	0.2940200	0.3747310	0.3631493	0.3899041	0.5911913	0.7717037

0	0.5525821	0.3636210	0.7574992	0.5258522	0.3519392	0.4765849	0.3434147	0.4399565	0.4254352	0.8250370
50	0.6563470	0.3231784	0.7646799	0.4633481	0.3796949	0.3336390	0.4825264	0.4625364	0.5127405	0.6529090
100	0.5256005	0.4009548	0.7005266	0.5369025	0.3614643	0.2869191	0.5596865	0.2043731	0.5147775	0.8194621
150	0.5273721	0.4356183	0.6612112	0.4368226	0.4380122	0.2572281	0.6173644	0.1666559	0.4102952	0.7069450
200	0.4524214	0.3030459	0.7647088	0.5898171	0.6341194	0.1777306	0.8602596	0.0724160	0.4657939	0.6640383
250	0.5080897	0.4421098	0.8254284	0.6323522	0.6410663	0.1119463	0.6660527	0.0858660	0.4000369	0.7542908
300	0.4270566	0.4124461	0.6367237	0.6212054	0.4585531	0.0888444	0.7409535	0.0481287	0.4515962	0.7349856
350	0.4555681	0.3915772	0.7209859	0.6053903	0.3804006	0.0739825	0.7124994	0.0722247	0.4886922	0.7406341
400	0.5658599	0.3578969	0.7265604	0.7101588	0.6095182	0.0780159	0.7231745	0.1008668	0.5265198	0.7031188
450	0.5637469	0.3085145	0.8582012	0.7686150	0.4972446	0.0970391	0.7168454	0.0437098	0.4044565	0.6230530
500	0.5791818	0.3276373	0.7062623	0.5428179	0.4672221	0.0823736	0.8206758	0.0908003	0.5906605	0.7826339
550	0.5221497	0.3830835	0.7541547	0.6398041	0.5338467	0.0558857	0.7010857	0.2089304	0.5195217	0.9448062
600	0.4820092	0.3995704	0.6403793	0.6312499	0.6435059	0.0942588	0.6160805	0.3378507	0.4087117	0.8948990
650	0.6014810	0.3446531	0.6783573	0.5282399	0.5000610	0.1785258	0.6136179	0.3961766	0.4991324	0.8339595
700	0.4893916	0.4091927	0.6798826	0.5954441	0.5981415	0.0786237	0.4548236	0.5091572	0.4836516	0.8234940
750	0.4723663	0.4879638	0.7470002	0.7411779	0.3620444	0.1835914	0.3914152	0.3651858	0.4564438	0.8060645
800	0.5514375	0.3341118	0.7730253	0.6691393	0.3655672	0.2907512	0.4762872	0.4809462	0.4432051	0.7277830
850	0.5382119	0.4102578	0.7941320	0.4949361	0.4134288	0.3100009	0.4470704	0.4733861	0.4671432	0.6980291
900	0.6070349	0.4401718	0.6912527	0.4182830	0.2716035	0.3209655	0.3326628	0.5027430	0.5742597	0.8726103
950	0.5871042	0.3441274	0.8031702	0.4469834	0.3774650	0.4327256	0.2328876	0.6055654	0.4497756	0.7343586
1000	0.5071885	0.3963536	0.7862820	0.4520428	0.3820928	0.4381222	0.3042500	0.5660088	0.5081309	0.6740060

0	0.6057166	0.4064215	0.8724573	0.5041121	0.1873686	0.3533146	0.3069157	0.4479281	0.5328196	0.8472083
50	0.4207358	0.3650779	0.6488515	0.5257789	0.4201618	0.2606668	0.4044900	0.4312780	0.4596810	0.4786901
100	0.3089495	0.5012109	0.5943769	0.6042035	0.4279682	0.2410737	0.5133986	0.3076789	0.5000080	0.2463003
150	0.3497959	0.4491110	0.6074935	0.5412665	0.4256565	0.1195429	0.6040079	0.3670432	0.5218941	0.1900898
