YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.5649573	0.0916660	0.0061036	0.5770067	0.4892224	0.2190701	0.6980484	0.6825132	0.6820365	0.6431126
0.1836941	0.3456187	0.0005046	0.6356628	0.5230678	0.3062008	0.6224255	0.7239836	0.7509128	0.6879885
0.6967742	0.0001293	0.0030585	0.4477102	0.6683913	0.1800134	0.6704677	0.6529361	0.7078819	0.5232670
0.2914537	0.2197933	0.0245489	0.3840553	0.5692981	0.4120597	0.5068693	0.8012443	0.6282943	0.5660645
0.2931069	0.2137778	0.0056543	0.7252960	0.5553311	0.0015198	0.0709382	0.1894002	0.6846951	0.4814939
0.3203886	0.0127695	0.0007826	0.6868801	0.8687828	0.1906129	0.7453720	0.6663148	0.6846187	0.7009121
0.8070334	0.0000857	0.0062614	0.6628066	0.7084805	0.8486912	0.5943181	0.5208392	0.7061710	0.7395028
0.2771242	0.2063698	0.0007157	0.8486819	0.6818338	0.2271451	0.6335107	0.7897124	0.6889427	0.7145535
0.5772993	0.0000031	0.0001322	0.5776638	0.7466983	0.2009923	0.7553945	0.6760731	0.6500741	0.6813717
0.5704520	0.0039341	0.0002013	0.6094795	0.6813310	0.3577673	0.8124759	0.8512195	0.8393228	0.7149261
