"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.2993428	0.2840638	0.6406343	0.6528183	0.1494073	0.8371431	0.6925486	0.7528203	0.8561644	0.0181792
50	0.4150888	0.2835957	0.7840159	0.7080420	0.1403743	0.7548496	0.6520492	0.7123945	0.7067435	0.2904501
100	0.3572841	0.2496823	0.8324832	0.6589896	0.1238772	0.5891926	0.7985820	0.6661624	0.6254970	0.2427649
150	0.3751060	0.1967477	0.8277519	0.8029577	0.1185992	0.6618712	0.6209536	0.6746852	0.2968288	0.4079554
200	0.3568531	0.1579790	0.8230321	0.7336110	0.1624923	0.5543651	0.5579458	0.7318735	0.1488302	0.3212985
250	0.2821416	0.2311300	0.7961144	0.6989435	0.1488651	0.5930545	0.6470070	0.7443339	0.1523069	0.2831818
300	0.2951525	0.1929320	0.6930765	0.7440655	0.2356183	0.4814226	0.6039940	0.7666082	0.0889123	0.3423439
350	0.2266541	0.2921978	0.6786113	0.6873046	0.2122928	0.4956008	0.6351040	0.5692357	0.0474979	0.4826660
400	0.3376858	0.1951932	0.7421771	0.6671861	0.3746390	0.5323990	0.6956255	0.8589197	0.0504344	0.4703609
450	0.5184586	0.1905467	0.7580526	0.5051968	0.2332574	0.5306155	0.8327144	0.7106534	0.0500821	0.4861129
500	0.3556802	0.2521017	0.7044767	0.5758446	0.2117453	0.5280980	0.7664982	0.7696332	0.0232569	0.4952786
550	0.3894907	0.2853484	0.7621242	0.6692527	0.3043580	0.7031295	0.5713320	0.6056597	0.0099714	0.4183410
600	0.3932968	0.2346058	0.7132356	0.7808184	0.2136476	0.5740596	0.6118639	0.5754447	0.0457084	0.3236442
650	0.3448264	0.3057835	0.7173219	0.7154745	0.1765998	0.7479776	0.5225643	0.5696013	0.0820399	0.2812553
700	0.4504109	0.2625424	0.7845322	0.6320139	0.1925145	0.6279201	0.5938092	0.4943794	0.4002166	0.2001706
750	0.3207826	0.2338744	0.7671915	0.7247696	0.2544104	0.7232384	0.6409362	0.4749098	0.4577155	0.1553114
800	0.3646939	0.2813145	0.5582181	0.6743529	0.1930668	0.9198472	0.5783775	0.6488822	0.7102167	0.2088614
850	0.4449919	0.4135732	0.7099745	0.6885259	0.1653280	0.6990912	0.7026710	0.7507609	0.7009835	0.1244705
900	0.4306833	0.3212569	0.7657591	0.6432692	0.1671635	0.8310976	0.6633395	0.8836802	0.7649482	0.0934531
950	0.4785161	0.2080151	0.7252829	0.6215020	0.2167575	0.5672382	0.6440478	0.7679491	0.8390893	0.1154915
1000	0.4788949	0.3195975	0.6545173	0.7685166	0.1794385	0.8732489	0.5155541	0.6211960	0.7505325	0.0644370

0	0.3884399	0.3006187	0.7724869	0.6811255	0.1882701	0.7486877	0.6653336	0.7201007	0.8160579	0.0393266
50	0.3646761	0.2909415	0.6883946	0.6095854	0.1235319	0.6666697	0.7080038	0.7740438	0.6209495	0.0755943
100	0.3156566	0.2019635	0.6715926	0.3786970	0.0862723	0.7641636	0.6461447	0.7728582	0.4804056	0.0416712
150	0.3955715	0.2154177	0.7027927	0.4111477	0.1379042	0.6840892	0.6015536	0.6829015	0.6142860	0.0290611
200	0.3902574	0.1796795	0.6008446	0.4928461	0.1350038	0.6866563	0.7052075	0.6695814	0.5636842	0.0230048
250	0.4856851	0.3113055	0.7065601	0.4767835	0.1227418	0.6367167	0.7380617	0.6623494	0.5243785	0.0278676
300	0.4269921	0.2844008	0.6558055	0.5499584	0.1472577	0.6871199	0.6637697	0.6768252	0.5734919	0.0193677
350	0.3761360	0.2711524	0.7516935	0.4862900	0.0594278	0.8051513	0.6266464	0.7226954	0.5504529	0.0334157
400	0.4147627	0.2977950	0.8104164	0.4840082	0.0753889	0.8781416	0.6090210	0.6513928	0.6522038	0.0157148
450	0.4436944	0.2132848	0.7379054	0.4760678	0.1271951	0.8361373	0.6110464	0.6550886	0.5854535	0.0058013
500	0.3169559	0.1730019	0.6793341	0.4066752	0.0637704	0.8145836	0.7054307	0.5645176	0.5880278	0.0144835
550	0.3741051	0.2010987	0.7882127	0.6051537	0.0947097	0.7808096	0.5891988	0.6742019	0.7257038	0.0095888
600	0.4320919	0.2794209	0.6456766	0.7325237	0.1266437	0.7992658	0.6666936	0.7611845	0.7821072	0.0106641
650	0.2683447	0.2482350	0.6789475	0.7021593	0.1390095	0.7979277	0.6699887	0.7739520	0.7547088	0.0234417
700	0.3149526	0.2303216	0.7594628	0.7269755	0.0933102	0.7555719	0.6874790	0.6578713	0.6559987	0.0239346
750	0.4194871	0.2133542	0.8284757	0.7204110	0.1473432	0.7020905	0.6877850	0.7860288	0.7360410	0.0252050
800	0.3667991	0.2878610	0.8232735	0.5918977	0.1274218	0.6832420	0.6208189	0.8618259	0.7822852	0.0757709
850	0.4095222	0.1865123	0.7746354	0.7138648	0.1236299	0.6261727	0.6561381	0.8161864	0.7435980	0.0570398
900	0.2754602	0.2361989	0.7848964	0.7051314	0.1501317	0.8705658	0.6112048	0.6933741	0.6851615	0.0389493
950	0.2974765	0.2137690	0.7863679	0.6143468	0.1763158	0.7074589	0.8211267	0.6453207	0.7031147	0.0657334
1000	0.2079134	0.2388387	0.6379105	0.6719569	0.1573586	0.7813162	0.5588151	0.6869155	0.8402111	0.0671001

0	0.4270934	0.2479833	0.6771075	0.6900953	0.1285420	0.6990010	0.7637554	0.7775372	0.8535882	0.0164364
50	0.3658340	0.2807219	0.9176675	0.5742473	0.1613231	0.5842218	0.6195413	0.6361584	0.6808374	0.3966232
100	0.4317599	0.2740348	0.7256947	0.6762747	0.0677798	0.3196767	0.6211255	0.7707499	0.4450977	0.3852778
150	0.4005102	0.3500683	0.7125364	0.6874282	0.1955667	0.2135364	0.7881780	0.7885340	0.2026261	0.3917700
200	0.3092642	0.1962801	0.7358368	0.4428861	0.2400879	0.1456243	0.5683960	0.7001307	0.1175606	0.5989853
250	0.3112566	0.1745536	0.8934312	0.5179846	0.3451234	0.1097238	0.5915346	0.7388047	0.1241649	0.5829618
300	0.3894618	0.2648943	0.6707754	0.4356807	0.2898091	0.1440648	0.6496348	0.8097139	0.0480033	0.6513748
350	0.2934507	0.2174929	0.8062911	0.3789739	0.3737509	0.1364772	0.5324759	0.6750243	0.0123131	0.5971059
400	0.3434720	0.2115100	0.8824970	0.3392324	0.4790308	0.0762077	0.6584492	0.7689747	0.0269481	0.7902060
450	0.4152671	0.2213538	0.6819567	0.3006623	0.4114015	0.1023117	0.5009068	0.7526291	0.0048586	0.6915919
500	0.3291146	0.2259395	0.7201293	0.3388024	0.4196666	0.1151000	0.5124166	0.8401494	0.0329814	0.8512015
550	0.2975683	0.1212881	0.7801724	0.2972176	0.4755816	0.2633620	0.5811650	0.5911108	0.0162066	0.7565720
600	0.2491586	0.1637568	0.8685022	0.1830184	0.4312524	0.5704596	0.6511149	0.6763232	0.0157431	0.6447135
650	0.3395719	0.2647403	0.8235063	0.2372399	0.2873099	0.6543456	0.6314714	0.4701842	0.0090916	0.6775739
700	0.3491403	0.2440005	0.8479412	0.3112146	0.2690117	0.7679080	0.7301973	0.4375668	0.0398785	0.5205687
750	0.3852539	0.2176683	0.7563028	0.4310402	0.1467851	0.7275617	0.6419663	0.4532128	0.0337583	0.4184137
800	0.3765519	0.2179729	0.8346269	0.5431126	0.1941320	0.7786962	0.6492661	0.5814583	0.1032966	0.2240441
850	0.4883981	0.1645370	0.6777027	0.7369343	0.1948872	0.8498961	0.5002858	0.4679698	0.2909187	0.1667937
900	0.3818523	0.2190365	0.8095916	0.7125191	0.1531513	0.7783286	0.6278579	0.6678560	0.7013282	0.1121225
950	0.3598821	0.1959682	0.7742478	0.6290292	0.1518670	0.7582790	0.6963850	0.7101626	0.6144941	0.0975431
1000	0.3270011	0.2145636	0.7292235	0.8499283	0.0980958	0.7433917	0.5725355	0.6110392	0.7557304	0.0971264

0	0.3586573	0.2819386	0.7550495	0.7258322	0.1160288	0.7389971	0.7252453	0.7418528	0.7322880	0.0397537
50	0.3867559	0.2205322	0.5935400	0.8334665	0.2219643	0.8367031	0.7135948	0.7895304	0.7188750	0.1619535
100	0.4212766	0.2113266	0.6609562	0.6358143	0.1915244	0.7334200	0.6280814	0.7072835	0.5441295	0.2178231
150	0.3839601	0.2046808	0.5824443	0.7675585	0.1264195	0.6415247	0.5135818	0.7487867	0.4206244	0.2211698
200	0.3404050	0.2453057	0.6701496	0.6213871	0.1641811	0.7617619	0.5996819	0.6390888	0.2314699	0.2434583
250	0.4283269	0.2693961	0.8748763	0.8148409	0.1498206	0.8441303	0.6471243	0.5875997	0.2362454	0.3227500
300	0.2514581	0.1609480	0.7416702	0.7011209	0.1091449	0.7307507	0.6338616	0.4450161	0.2087319	0.3056049
350	0.2288723	0.1445310	0.6175293	0.8273317	0.1400833	0.7606932	0.5998962	0.5540035	0.1312983	0.2856600
400	0.2457106	0.2163268	0.6563993	0.6935926	0.1173832	0.7226387	0.6846822	0.5618149	0.0996263	0.2612695
450	0.3172854	0.1793797	0.6704354	0.8095779	0.1214612	0.8212346	0.6437640	0.5162536	0.2695913	0.1962850
