"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.2679813	1.0953137	0.0953059	0.3021674	0.9295888	0.2705848	0.6826626	0.6339175	0.7683757	0.9751620
50	0.2041187	0.9268526	0.0846168	0.2464155	0.9013346	0.1972414	0.6156956	0.7629874	0.7461225	0.9943316
100	0.1961123	0.9549768	0.0852595	0.3118062	0.8430252	0.2560880	0.5554973	0.8001944	0.7653232	1.0021504
150	0.1858709	1.0424611	0.0908313	0.3205880	0.8841706	0.2104814	0.5931534	0.7761965	0.8443232	1.0052292
200	0.1538915	1.0001136	0.0916019	0.2705319	0.8645430	0.2840335	0.5720397	0.7721766	0.7123696	1.0567787
250	0.1663761	0.9330092	0.0772331	0.2660166	0.8815987	0.2979459	0.5615128	0.7150782	0.7258069	1.0452297
300	0.1278198	0.9149907	0.0802180	0.2896748	0.9471102	0.2593896	0.6109525	0.7441936	0.8463509	1.0206989
350	0.1366703	0.9183745	0.0785255	0.3120168	0.9478693	0.2573670	0.6432065	0.7290830	0.8289284	1.0297494
400	0.1481539	1.0467703	0.0600528	0.3291954	0.9638356	0.2484171	0.5897011	0.7344009	0.8286893	0.9600869
450	0.1321209	0.9357796	0.0660233	0.3444892	0.8952387	0.2400368	0.6254768	0.6982628	0.7148725	0.9848731
500	0.1213426	1.0632202	0.0678048	0.3285179	0.8994011	0.2837197	0.7095962	0.7451725	0.7554975	0.9966180
550	0.1852703	1.0811005	0.0669489	0.2539593	0.9708553	0.2491973	0.5948018	0.7425332	0.7467372	0.9504127
600	0.3025246	1.0263469	0.0767288	0.3052286	0.9169045	0.2410818	0.5537412	0.7760141	0.7389605	0.9640510
650	0.3230887	1.0507051	0.0818543	0.2802475	0.8736226	0.1954630	0.6010190	0.8067912	0.8008963	0.9338206
700	0.2833587	0.9768267	0.1354849	0.2816589	0.8376756	0.1973877	0.5251026	0.7641804	0.8297474	1.0285563
750	0.2689086	0.8995590	0.1538315	0.3180679	0.8303153	0.2176641	0.5240924	0.7287901	0.7460676	0.9933468
800	0.2962207	0.9479962	0.1231305	0.3307364	0.8311710	0.2032391	0.5251032	0.7506016	0.7995718	0.9849784
850	0.2663163	0.9113869	0.1131853	0.3738127	1.0082531	0.2614818	0.5854199	0.7263857	0.7690058	0.9898803
900	0.3182628	0.8958363	0.0758572	0.3163367	0.9979235	0.2256968	0.6125996	0.7423016	0.8461139	0.9947384
950	0.2771057	1.0517166	0.0602526	0.3560201	0.9368015	0.2546943	0.6753923	0.7414734	0.7504585	1.0228818
1000	0.2617899	0.9679478	0.0676198	0.2792226	0.8188630	0.2458803	0.5125636	0.7657936	0.7910903	1.0688945

0	0.2679813	1.0953137	0.0953059	0.3021674	0.9295888	0.2705848	0.6826626	0.6339175	0.7683757	0.9751620
50	0.3030967	0.9633747	0.1082950	0.2620150	0.8373037	0.2339164	0.3912820	0.7588125	0.6546029	1.0152331
100	0.3766616	1.0230769	0.2041438	0.2682251	0.8202996	0.2816157	0.2494034	0.7424498	0.4872071	0.9959511
150	0.5200469	0.9910283	0.4239765	0.4977473	0.9735873	0.3090524	0.1465048	0.7362174	0.3955951	1.0683332
200	0.6444836	1.0579843	0.6096433	0.6183729	0.9238717	0.3944460	0.1827150	0.7891188	0.3183530	1.0244879
250	0.6998448	0.9928231	0.7043424	0.6489854	0.8379855	0.3667317	0.1420387	0.7971734	0.3413791	1.0340910
300	0.8280906	0.8863309	0.7635767	0.7401617	0.9410087	0.3981376	0.1114602	0.8016845	0.3458710	1.0475606
350	0.7980630	0.8986440	0.9000693	0.6962568	1.0569979	0.3797320	0.1371131	0.8183512	0.3448320	0.9806419
400	0.8478306	0.8812978	0.8651376	0.8064671	0.9665560	0.3818374	0.1167609	0.7363571	0.3784579	0.9364465
450	0.8424497	1.0223650	0.8380752	0.7586101	0.9407433	0.3302662	0.1320888	0.7556697	0.3102709	0.9280190
500	0.9049942	1.1202185	0.8484201	0.8061735	0.9075892	0.3939664	0.1411466	0.7431245	0.3875874	0.9122226
550	0.7629338	0.9551641	0.8098507	0.8486358	0.9649871	0.3493528	0.3887831	0.8080475	0.5352596	0.8797330
600	0.6250439	0.9691541	0.5224516	0.7263554	0.9438128	0.3366966	0.4522956	0.7224243	0.6313454	1.0058506
650	0.4570503	1.0208109	0.3494420	0.6599690	0.9268875	0.2905390	0.5702828	0.7411772	0.7424424	0.9628639
700	0.3440195	0.9824969	0.2210978	0.4535505	0.9730261	0.2451858	0.5646813	0.8223315	0.7768843	0.9417414
750	0.3357500	1.0351430	0.1412212	0.3101814	0.9523505	0.2398832	0.5961662	0.7771375	0.7796449	1.0139233
800	0.2506824	1.0360159	0.1059025	0.3188561	0.9047292	0.2174843	0.5051551	0.7916916	0.9125128	1.0462648
850	0.2058287	1.0411290	0.0837506	0.3055974	0.8125806	0.2223710	0.5471033	0.7834884	0.8301465	1.0700348
900	0.2083452	0.9656644	0.0762944	0.4263150	0.7490937	0.2549046	0.5279143	0.7928896	0.8053933	1.0539353
950	0.2198147	0.8958770	0.0842856	0.3462174	0.8931873	0.2885541	0.5893698	0.7465810	0.8314782	1.0519011
1000	0.2646357	0.9147098	0.0857675	0.3453638	1.0117485	0.2386708	0.6261157	0.7789810	0.8008204	0.9791638

0	0.2679813	1.0953137	0.0953059	0.3021674	0.9295888	0.2705848	0.6826626	0.6339175	0.7683757	0.9751620
50	0.2923007	1.0026072	0.0834313	0.1934838	0.8888970	0.2342926	0.5536389	0.6637646	0.7437451	0.8935081
100	0.3253362	1.0227231	0.0711341	0.1329929	0.7624247	0.2928540	0.6432761	0.6199262	0.7536330	0.8588148
150	0.3492709	1.0397395	0.0486556	0.0898637	0.9995244	0.2350021	0.6176012	0.6833278	0.8099368	0.8122763
200	0.2624767	1.1122260	0.0571553	0.0861967	0.9412054	0.1925892	0.6024554	0.7492533	0.7915138	0.7655532
250	0.2903863	1.1589834	0.0607360	0.0633423	0.8529815	0.1774960	0.5032764	0.8515494	0.7045786	0.6977617
300	0.4253281	1.0831838	0.0617067	0.0997735	1.0204986	0.2495123	0.4334347	0.8428365	0.6678641	0.6859263
350	0.4697009	1.0361173	0.1104812	0.1436432	0.9632212	0.2657686	0.3754477	0.8418241	0.7269216	0.7266360
400	0.4862142	0.8745381	0.1507435	0.1333297	1.0081670	0.2708161	0.3898719	0.8570318	0.6813520	0.7156850
450	0.5403439	1.0064802	0.2103922	0.1655520	1.0049963	0.2915826	0.4192903	0.7911384	0.6796851	0.7581624
500	0.5093667	1.0111457	0.1483492	0.1383603	1.0586922	0.3225331	0.4529738	0.7584592	0.6776989	0.7215353
550	0.4878685	1.0551545	0.1189728	0.2677262	0.9548200	0.3076047	0.5210197	0.7960586	0.6891975	0.8240499
600	0.4688278	0.9975446	0.1449130	0.3336303	0.9940577	0.2845164	0.5305506	0.8054252	0.7810839	0.9298446
650	0.3376529	1.0110315	0.1119973	0.4461344	0.9610869	0.2687734	0.6145717	0.7392165	0.8588760	1.0520979
700	0.3406483	1.0606118	0.1142057	0.3862783	0.9322920	0.2755719	0.5308168	0.7712669	0.8226109	0.9860662
750	0.2953783	1.0230879	0.0931492	0.4193948	0.9317248	0.2845541	0.5728587	0.6849056	0.8658390	0.9773699
800	0.3145757	0.9425347	0.0912580	0.3611969	0.9664010	0.3025049	0.6310411	0.7308933	0.7745450	0.9747644
850	0.2738866	0.9883086	0.0944813	0.2978133	0.9652753	0.2390851	0.5347777	0.7860271	0.7312878	1.0939355
900	0.2486371	1.0578671	0.0789372	0.3665989	0.9052713	0.2213321	0.5053011	0.8653266	0.7265756	1.0265364
950	0.2120821	0.9978791	0.1234219	0.3882110	0.9061926	0.2311528	0.4739244	0.8316076	0.8424189	0.9879637
1000	0.2176423	0.9077725	0.1451989	0.3675743	0.8318730	0.2691243	0.5483713	0.7754198	0.8673179	0.9279119

0	0.2679813	1.0953137	0.0953059	0.3021674	0.9295888	0.2705848	0.6826626	0.6339175	0.7683757	0.9751620
50	0.1473983	1.0816221	0.0587997	0.2374036	1.0520673	0.2755401	0.4830553	0.8533493	0.8292633	0.9525886
100	0.0935802	1.0345887	0.1419926	0.1972623	0.9610444	0.2605816	0.3534073	0.8573690	0.8280892	0.9824733
150	0.0685791	1.0898870	0.2076163	0.1948459	0.9699739	0.2727942	0.2830244	0.9655558	0.7465838	1.0141317
200	0.0775864	1.1073948	0.3386515	0.2929514	0.8806683	0.2830578	0.2488506	0.9185583	0.7296154	0.9423574
250	0.0700843	1.0584846	0.4431325	0.3403784	0.9594178	0.3152790	0.1780082	0.9405010	0.7019548	1.0823891
300	0.0755748	1.0500593	0.5653047	0.3281551	0.9387857	0.2986153	0.2147132	0.9480501	0.7935161	1.1733572
350	0.0589181	1.0834971	0.5669305	0.4252262	0.9841360	0.2755079	0.1861847	0.9708565	0.9014641	1.0255383
400	0.0466149	0.9044282	0.5654713	0.4301388	1.0213658	0.2923356	0.1993961	1.0388201	0.8342753	1.0035304
450	0.0482832	0.9510113	0.6565893	0.4474429	0.9923841	0.2874289	0.1762670	1.0152822	0.8304690	0.9943233
500	0.0610618	1.0031083	0.6969468	0.3465282	0.9785059	0.2621493	0.2435370	0.8720526	0.8080820	1.0477628
550	0.0995455	0.8823889	0.5824451	0.4501004	1.0179278	0.2821666	0.3540187	0.7727158	0.8340206	1.0234043
600	0.1269372	0.9232073	0.3454882	0.5750046	0.9071273	0.3056252	0.5858687	0.7900510	0.8750383	1.0697393
650	0.1872565	0.9330305	0.2157329	0.4836584	0.9747211	0.2264214	0.5715971	0.6902487	0.8574848	0.9910605
700	0.1732282	0.9481882	0.1433205	0.3724201	0.9652777	0.2221733	0.7380794	0.6285921	0.8346606	0.9878971
750	0.2086558	0.9675881	0.0903192	0.2642377	0.7791459	0.2022913	0.7015967	0.6725661	0.8324303	1.0425570
800	0.2125792	0.9982653	0.0623417	0.2832694	0.8271404	0.2182488	0.6453722	0.6771710	0.8212959	0.9035065
850	0.2289283	0.9448885	0.0736432	0.2868090	0.8642809	0.2445047	0.7312594	0.6846136	0.8211954	0.9312289
900	0.2913226	1.0314993	0.0512342	0.3020754	0.8893418	0.2281885	0.6070021	0.6503389	0.8822491	0.8970213
950	0.3459980	1.0101890	0.0726483	0.2450213	0.9174540	0.2154303	0.7287217	0.6129652	0.7518502	0.9937427
1000	0.3287735	1.0211445	0.0746839	0.2248593	0.8359509	0.1908453	0.6895466	0.6300048	0.7373609	0.9657440

0	0.2679813	1.0953137	0.0953059	0.3021674	0.9295888	0.2705848	0.6826626	0.6339175	0.7683757	0.9751620
50	0.2022285	1.0253800	0.0916644	0.2641585	0.8802971	0.1944390	0.5619710	0.7213358	0.7939674	0.9638936
100	0.2534021	1.0062016	0.0931215	0.2619786	0.8879764	0.0716570	0.6569028	0.7133752	0.8513032	1.0116209
150	0.2064792	1.0962107	0.1145146	0.2606988	0.4607495	0.0194810	0.6029425	0.7205213	0.8131534	1.0288314
200	0.2000674	0.9268987	0.0822978	0.3027858	0.1920142	0.0132683	0.4833024	0.7322118	0.8624847	0.9793324
250	0.2104565	1.0405768	0.0967277	0.2897631	0.0978540	0.0143586	0.5331638	0.7252183	0.8962723	0.9752591
300	0.2072417	1.0125635	0.0798354	0.3167510	0.0446120	0.0077463	0.6923882	0.7928510	0.8165755	1.0904294
350	0.1961459	0.9868076	0.0584442	0.3111567	0.0279821	0.0176867	0.5266159	0.8197542	0.8554204	1.0373129
400	0.2493576	0.9422837	0.0891055	0.3192913	0.0350959	0.0048000	0.6065807	0.7503375	0.7924802	0.9706962
450	0.2390560	0.9820389	0.0969372	0.3479848	0.0326471	0.0086405	0.4661734	0.7774038	0.7645741	0.9815961
500	0.2779602	0.9841940	0.1165578	0.3028153	0.0344980	0.0217694	0.5865587	0.7655727	0.7842588	1.0673347
550	0.3235931	0.9594967	0.1004690	0.3484095	0.0797886	0.0927006	0.6325287	0.7281029	0.8417713	0.9816876
600	0.2473808	1.0642432	0.0931583	0.2657591	0.4193081	0.1613686	0.6334340	0.7735435	0.8391069	0.9283804
650	0.2252340	1.0749440	0.0945738	0.2644917	0.7383930	0.1972256	0.5857549	0.7390569	0.8617509	0.9987857
700	0.1982963	0.9518986	0.0885766	0.3134783	0.8466223	0.2140420	0.6138272	0.6929834	0.7621188	1.1022832
750	0.2154817	0.9961069	0.0692285	0.2634866	0.8737788	0.2019095	0.7521163	0.6558149	0.8106458	1.0849058
800	0.2695407	1.0211801	0.0508186	0.2084739	0.8646993	0.2089750	0.7532093	0.6664797	0.8987579	1.0769471
850	0.2541732	1.0329127	0.0363181	0.1560003	0.8979648	0.2334861	0.7514512	0.6988285	0.8621977	0.9726216
900	0.2144111	0.9241854	0.0530407	0.2274134	0.9927888	0.2440604	0.6572490	0.7014267	0.8884593	1.0840551
950	0.1963575	1.0359995	0.0519696	0.2477573	0.9636586	0.2059922	0.6383686	0.7342814	0.7186819	1.0013237
1000	0.2594075	1.0083223	0.0534410	0.2895700	0.9035712	0.2086776	0.5699821	0.6865801	0.8469221	0.9580853

0	0.2679813	1.0953137	0.0953059	0.3021674	0.9295888	0.2705848	0.6826626	0.6339175	0.7683757	0.9751620
50	0.2752779	1.0099920	0.0364990	0.2857965	0.9493456	0.1722325	0.5181602	0.8005039	0.8074069	0.9459859
100	0.2552725	1.0584202	0.0628614	0.2986020	0.9011287	0.0972797	0.5575412	0.7808263	0.8781532	0.9976060
150	0.2266898	1.0693536	0.0712745	0.3417564	0.7909904	0.0547931	0.4966829	0.8076249	0.8961547	1.0507795
200	0.2170149	0.9603946	0.0899935	0.3408168	0.6296068	0.0331614	0.4998011	0.7872068	0.9087661	1.0419152
250	0.1604741	0.8942944	0.1253087	0.3287501	0.5789653	0.0803280	0.6080152	0.6917707	0.8977111	1.0105920
300	0.1855853	0.8962946	0.0780229	0.3547827	0.5814537	0.0509437	0.6414780	0.6037803	0.8985796	1.0618192
350	0.1588316	0.9187704	0.0551415	0.3089658	0.5374112	0.0418188	0.6767080	0.7170237	0.8459435	1.0026731
400	0.1885072	0.9933224	0.0717870	0.2260234	0.5728669	0.0609112	0.6226614	0.6515543	0.7657456	1.0090933
450	0.2662670	0.9236047	0.0811440	0.2741541	0.6443346	0.0469400	0.7009297	0.7026669	0.7549075	0.9141837
500	0.2306719	1.0579725	0.0810593	0.2259752	0.6010091	0.0493616	0.6578857	0.7666544	0.8105719	0.9382796
550	0.1953384	0.9518713	0.0697488	0.2284583	0.4925430	0.1332720	0.6459778	0.7531293	0.8126740	1.0315553
600	0.2220258	1.0737819	0.0628444	0.1982305	0.6197101	0.1880126	0.6011048	0.7437704	0.8379360	0.9325862
