YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.2222055	0.4269387	0.6241699	0.0641326	0.6710690	0.5712044	0.7614087	0.4333902	0.1290638	0.3011799
0.8478691	0.2300999	0.6757439	0.0890761	0.6715821	0.5013999	0.4393615	0.1512004	0.0755291	0.0964479
0.8178354	0.1904306	0.3264254	0.0668105	0.6782399	0.5271721	0.4889859	0.2290299	0.0516358	0.1170621
0.6924208	0.4037423	0.6257089	0.0541614	0.6377089	0.5182806	0.5590571	0.2534306	0.2269094	0.2339424
0.8684222	0.3743675	0.5237802	0.1683947	0.3412878	0.5322194	0.7416116	0.3563971	0.2608445	0.2614898
0.8439265	0.2075549	0.2804186	0.1738463	0.1966786	0.3257957	0.6451910	0.1838959	0.2418646	0.1875187
0.6453522	0.3244849	0.5759912	0.0956385	0.4470124	0.5634291	0.4558347	0.2621549	0.1548715	0.2278702
0.7044443	0.4211610	0.5883152	0.1066999	0.6393312	0.5475698	0.5159626	0.0825233	0.1905866	0.2061548
0.7249034	0.4356213	0.7362620	0.0713762	0.7579051	0.6286807	0.6265323	0.4136221	0.0809640	0.2924602
0.7025906	0.3950686	0.5863148	0.0740784	0.6566571	0.5443959	0.5112764	0.1914472	0.1002047	0.1633506
