YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	1.0059510	0.7436798	0.0351740	0.7064098	0.0499834	0.0472747	0.6456115	0.7613164	0.0282713
0.0214191	0.0000000	0.7184813	0.0146466	0.7041995	0.0380531	0.0417920	0.6821184	0.6652356	0.0236724
0.4237362	0.6527250	0.0000000	0.7586730	0.7867372	0.0511308	0.0291433	0.4937456	0.2537166	0.4399331
0.5061676	0.7648352	0.6964849	0.0000000	0.7978406	0.0368519	0.0366420	0.8384240	0.7497280	0.0203028
0.6421071	0.7067157	0.9259452	0.0434229	0.0000000	0.0246635	0.0286082	0.7806016	0.8449227	0.0172502
0.4946826	0.7395058	0.8038981	0.0334128	0.6863320	0.0000000	0.0194651	0.7254638	0.7174482	0.0133408
0.6144901	0.7070044	0.8708909	0.0342475	0.7711599	0.0323699	0.0000000	0.6267701	0.7402871	0.0485807
0.5961749	0.6267861	0.8481719	0.0467586	0.7893649	0.0401893	0.7577126	0.0000000	0.6373361	0.0250643
0.4713367	0.8376151	0.6245137	0.0486055	0.0413640	0.8327638	0.7562907	0.0407501	0.0000000	0.0127915
0.5469765	0.7285288	0.6423237	0.0330294	0.6997237	0.0237996	0.0625869	0.5723184	0.7672450	0.0000000
