YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.5073879	0.4470224	0.3685869	0.6722117	0.3093306	0.2360873	0.6521703	0.3565247	0.2881890	0.6890635
0.4327576	0.6256527	0.2670799	0.8137802	0.1498815	0.7016051	0.0402020	0.0863460	0.5560248	0.7153108
0.6185076	0.4118101	0.7287809	0.3997670	0.2257411	0.3252462	0.5940916	0.6684013	0.3314576	0.5656416
0.2760541	0.6140036	0.3062155	0.8146764	0.4075929	0.0474954	0.5263955	0.4319169	0.4200876	0.6564759
0.3953758	0.6375764	0.4023194	0.7610808	0.4489148	0.1986324	0.4057970	0.4078441	0.4323427	0.6697032
0.7309923	0.2699670	0.4506185	0.6581776	0.1287401	0.5916203	0.2205718	0.2692206	0.5040017	0.8972698
0.6509055	0.4696663	0.4423670	0.5663496	0.3167346	0.5638796	0.0004362	0.0250374	0.6768350	0.6243435
0.6733618	0.6109025	0.5233501	0.4939890	0.2507937	0.4423783	0.2811574	0.3156957	0.4651272	0.7582034
0.2085047	0.6282514	0.4702502	0.5996400	0.2283508	0.4080925	0.0487088	0.0853582	0.6633137	0.7193371
0.7014719	0.3070482	0.2664664	0.7919127	0.3347602	0.6266784	0.0177020	0.0955260	0.6097042	0.7301655
