YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.4128962	0.2124795	0.1155174	0.9999999	0.4629763	0.5591195	0.4332870	0.0300615	0.6080347	0.3245675
0.9406243	0.1062404	0.1155170	1.0000000	0.4629887	0.5591082	0.4333096	0.0243506	0.6080132	0.3245770
0.9864380	0.0444946	0.0577583	1.0000000	0.4630055	0.5590897	0.4332861	0.0242063	0.6080080	0.3245647
0.3224099	0.8386725	0.3564501	0.4999999	0.4629987	0.5590970	0.4332939	0.0340617	0.6080110	0.3245688
0.7547341	0.2726880	0.1310513	0.9999999	0.3176902	0.3746462	0.7407477	0.0248857	0.8346912	0.1968905
0.6239623	0.3914918	0.1611048	1.0000000	0.4630003	0.2795477	0.4332931	0.0243564	0.9140228	0.1440796
0.8346517	0.2049093	0.1135032	0.9999999	0.3650064	0.6617020	0.3177970	0.0259285	0.4893611	0.3991043
0.8257811	0.2124771	0.1155173	1.0000000	0.4629818	0.5591116	0.4332508	0.0124040	0.6080452	0.3245503
0.8257807	0.2124795	0.1155174	0.9999999	0.4629762	0.5591195	0.4332870	0.0268412	0.3040173	0.3245675
0.6846903	0.3343212	0.1465724	1.0000000	0.4629965	0.5590989	0.4332869	0.0239747	0.8889668	0.1622829
