YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0521993	0.8378885	0.0263413	0.1275072	0.2493425	0.9538598	0.0589359	0.0662214	0.9364263	0.9369508
0.1746799	0.5597649	0.0112958	0.1438332	0.2679205	1.0995323	0.0471105	0.0467578	0.8553867	0.9842848
0.1931964	1.0544465	0.0080912	0.1952976	0.3051937	0.9885249	0.0358120	0.0513752	0.9252878	0.9518359
0.0564659	0.9134776	0.0111061	0.0324605	0.2373954	0.9381734	0.0809942	0.0490095	0.8779691	0.9898392
0.0491249	1.1180869	0.0203303	0.0358655	0.1761499	1.0166436	0.0704612	0.0786963	0.9050496	0.9690326
0.7857052	0.8018329	0.1602765	0.6647798	0.6009384	0.5087960	0.1892606	0.2436109	0.8124817	0.9703262
0.0794486	0.9821850	0.0235689	0.1494272	0.3114148	0.9369685	0.0336855	0.0605404	0.9240532	1.0542843
0.1015174	1.0120711	0.0108171	0.1094781	0.2238603	0.9955818	0.0625060	0.0272320	0.9274818	0.9392826
0.0563983	1.0213711	0.0058196	0.1173104	0.2716829	1.0177963	0.0499873	0.0594676	0.4692243	0.9378320
0.0875416	0.9757402	0.0143134	0.0963965	0.3379738	0.9780232	0.0620712	0.0619015	0.6843836	0.5173329
