YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.8236751	0.1288900	0.4615329	0.1423493	0.9704582	0.8754781	0.4980477	0.4729599	0.1979750	0.6448898
0.9164767	0.0545314	0.2454881	0.2403334	0.8476170	0.6851019	0.1264850	0.5680059	0.0228211	1.0000000
0.6532306	0.0764536	0.3791185	0.4450243	0.6970332	0.4926492	0.0618732	0.6076092	0.0347108	0.9186080
0.9303017	0.1234360	0.6352929	0.2462441	0.9807409	0.9732320	0.3263832	0.5071399	0.0745401	1.0000000
0.9943337	0.0455266	0.3684551	0.2533601	0.9653883	0.8418195	0.1169377	0.5851441	0.0153870	1.0000000
0.6257217	0.1369904	0.6566301	0.2052970	0.9363668	0.7629256	0.1699612	0.7387193	0.0745401	1.0000000
0.9245346	0.1245434	0.5738916	0.2013265	0.9127690	0.9512704	0.2918117	0.4846238	0.0745401	1.0000000
0.9552697	0.1249100	0.4935617	0.2816533	0.9120448	0.9442453	0.2706686	0.5360775	0.0745401	1.0000000
0.4243584	0.0430312	0.3999043	0.2284118	0.9699764	0.8831656	0.6551450	0.5626743	0.0414110	1.0000000
0.9476164	0.0444410	0.5507592	0.2685819	0.9355064	0.6919760	0.0947393	0.6118304	0.0801992	0.9549106
