YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0000030	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523791	0.0552207	0.8692724	1.0000000
0.9387010	0.0000049	0.0139248	0.0353928	0.6669660	0.9994364	0.0519479	0.0552195	0.8692724	1.0000000
0.0765551	0.9999521	0.0000017	0.1000727	0.2573244	0.9996069	0.0448783	0.0552042	0.8692724	1.0000000
0.0766614	1.0000000	0.0139057	0.0000016	0.2574305	0.9994363	0.0519371	0.0552195	0.8692724	1.0000000
0.0234441	0.9999997	0.0139248	0.0353928	0.0000004	0.9994361	0.0519498	0.0552195	0.8692724	1.0000000
0.8576988	0.6829382	0.2356036	0.6439426	0.5680630	0.0000000	0.2620424	0.2127180	0.8692724	1.0000000
0.0762449	0.9999529	0.0144987	0.0997593	0.2570637	0.9999999	0.0000074	0.0551914	0.8692724	1.0000000
0.0766713	0.9999518	0.0145072	0.1001984	0.2574412	0.9994224	0.0524809	0.0000028	0.8692724	1.0000000
0.0766694	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523792	0.0551914	0.0000019	1.0000000
0.0766694	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523792	0.0551914	0.0161326	0.0000055
