YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0000000	0.4334192	0.4538969	0.9480837	0.5100295	0.9802993	0.9411761	0.3023214	0.1539991	1.0028971
0.2508797	0.0000000	0.5171654	0.9155843	0.0117117	0.0016782	0.0524132	0.0080838	0.1621408	0.9435931
0.1987439	1.0021289	0.0000000	1.0274998	0.5190062	0.9406524	0.9588476	0.9139095	0.1429571	1.0006340
1.0834043	0.2800066	1.0157330	0.0000000	0.5714865	0.9811048	1.0154103	0.8211743	0.5974107	0.9693781
0.2700690	0.4820796	0.3687608	1.0224063	0.0000000	1.0019426	0.9622560	0.3819316	0.1606659	0.9774140
0.1624588	0.4190210	0.4609266	0.9451529	0.0263854	0.0000000	0.9097959	0.2875519	0.1519143	0.9807106
0.1833874	0.4728464	0.4240822	1.0033519	0.0118537	0.0093401	0.0000000	0.3860425	0.1714061	1.0611480
0.2704797	0.4257763	0.3952696	0.9632284	0.0174642	0.0063011	0.0377287	0.0000000	0.2326514	0.9111569
0.2123932	0.3950050	0.5600064	1.0822950	0.0211805	0.0014512	0.0578849	0.0055083	0.0000000	0.9790314
0.1901875	0.4498964	0.4820318	1.1405263	0.5231926	0.9742955	0.9220201	0.9512444	0.5376806	0.0000000
