YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.1196480	0.1580385	0.0836636	0.4063499	1.0214495	0.0733346	0.0665719	0.5861743	0.9887918	0.9961358
0.3943582	0.2026937	0.1721487	0.5372668	0.9611441	0.1024940	0.0402848	0.5923642	1.0540393	0.7836443
0.4054269	0.1134454	0.0769461	0.5710249	1.0738484	0.0663203	0.0584704	0.6240319	1.0769818	0.9876951
0.1586870	0.0790126	0.0248837	0.2356355	1.0418675	0.0574684	0.0430616	0.5621846	1.0004183	1.0532716
0.7160500	0.8564874	0.5374289	0.9566718	0.4392191	0.2659889	0.0501748	0.5428321	1.0024132	0.1887881
0.4615536	0.5199112	0.2097836	0.4123877	1.0162723	0.0443964	0.0498658	0.6102115	0.9338779	0.5910893
0.4726575	0.4481269	0.1615927	0.4954550	0.9510365	0.0606508	0.0200334	0.6425239	1.0558916	0.8001947
0.3182098	0.2455358	0.1168659	0.4565570	1.0025376	0.0594133	0.0631431	0.3099117	1.0536987	1.0400588
0.4270743	0.4077532	0.1823916	0.4881420	0.9176154	0.0920584	0.0634831	0.4871855	0.5046037	0.8922367
0.3923858	0.2063079	0.1674200	0.5760580	0.9569930	0.0629504	0.0393919	0.5764259	1.0163424	0.4982019
