YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4388742	0.7933416	0.6159006	0.1370179	0.0960851	0.7505857	0.7871192	0.6034261	0.3287993	0.7750156
0.6693776	0.3422309	0.7123123	0.0866540	0.0775180	0.7538936	0.7507088	0.3300441	0.5381327	0.7655414
0.7910544	0.1821914	0.2632506	0.1460163	0.0882107	0.7400215	0.6843973	0.3022469	0.6750722	0.9570223
0.6450646	0.7510085	0.8018891	0.0261836	0.1173168	0.7142872	0.7507962	0.6721163	0.4076532	0.7667031
0.7608998	0.8255509	0.6714356	0.1378292	0.0831667	0.7978092	0.6881155	0.6140346	0.3703755	0.8272386
0.0584117	0.0314857	0.1913586	0.2873237	0.3660006	0.3881076	0.6277686	0.3334559	0.6376793	0.8183996
0.8245603	0.7153385	0.7512629	0.1390088	0.1880535	0.8102792	0.3431744	0.6865818	0.4291696	0.9193878
0.6940112	0.6770970	0.6213539	0.1054640	0.1778367	0.5750297	0.6407758	0.3336869	0.3415049	0.6748748
0.7854940	0.7253737	0.6860458	0.1146070	0.1281126	0.6616554	0.7575137	0.7126178	0.2001195	0.7766228
0.7365352	0.8951576	0.5376857	0.1385214	0.1118309	0.7668354	0.3551721	0.6821953	0.2721069	0.3612487
