"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.1425879	0.2752074	0.1987109	0.9054890	0.9532700	0.0944154	0.9971782	0.2461422	1.0000000	1.0000000
50	0.1425681	0.2752058	0.1987123	0.9054491	0.9532507	0.0943911	0.9980511	0.0788945	1.0000000	1.0000000
100	0.1425591	0.2752040	0.1987168	0.9054307	0.9532763	0.0942852	0.9993071	0.0280098	1.0000000	1.0000000
150	0.1425621	0.2752048	0.1987204	0.9054250	0.9533713	0.0941394	0.9998051	0.0125282	1.0000000	1.0000000
200	0.1425697	0.2752070	0.1987219	0.9054285	0.9535209	0.0940340	0.9999485	0.0078179	1.0000000	1.0000000
250	0.1425758	0.2752090	0.1987215	0.9054387	0.9536720	0.0939777	0.9999866	0.0063848	1.0000000	1.0000000
300	0.1425779	0.2752099	0.1987201	0.9054520	0.9537883	0.0939520	0.9999965	0.0059488	1.0000000	1.0000000
350	0.1425763	0.2752097	0.1987183	0.9054649	0.9538636	0.0939414	0.9999991	0.0058162	1.0000000	1.0000000
400	0.1425724	0.2752086	0.1987168	0.9054752	0.9539068	0.0939375	0.9999998	0.0057758	1.0000000	1.0000000
450	0.1425680	0.2752073	0.1987157	0.9054824	0.9539293	0.0939364	0.9999999	0.0057635	1.0000000	1.0000000
500	0.1425642	0.2752060	0.1987151	0.9054870	0.9539400	0.0939364	1.0000000	0.0057598	1.0000000	1.0000000
550	0.1425614	0.2752051	0.1987149	0.9054897	0.9539445	0.0939369	0.9999908	0.1730063	1.0000000	1.0000000
600	0.1425597	0.2752044	0.1987148	0.9054912	0.9539457	0.0939418	0.9997499	0.2238907	1.0000000	1.0000000
650	0.1425589	0.2752041	0.1987148	0.9054919	0.9539393	0.0939765	0.9990622	0.2393722	1.0000000	1.0000000
700	0.1425586	0.2752039	0.1987149	0.9054916	0.9539059	0.0940580	0.9982955	0.2440824	1.0000000	1.0000000
750	0.1425585	0.2752038	0.1987150	0.9054892	0.9538282	0.0941617	0.9977514	0.2455155	1.0000000	1.0000000
800	0.1425587	0.2752039	0.1987152	0.9054835	0.9537142	0.0942535	0.9974467	0.2459515	1.0000000	1.0000000
850	0.1425594	0.2752040	0.1987158	0.9054743	0.9535907	0.0943184	0.9972973	0.2460842	1.0000000	1.0000000
900	0.1425608	0.2752045	0.1987168	0.9054630	0.9534821	0.0943577	0.9972295	0.2461245	1.0000000	1.0000000
950	0.1425631	0.2752052	0.1987179	0.9054516	0.9534003	0.0943790	0.9972001	0.2461368	1.0000000	1.0000000
1000	0.1425662	0.2752061	0.1987190	0.9054416	0.9533454	0.0943897	0.9971877	0.2461405	1.0000000	1.0000000

0	0.1425879	0.2752074	0.1987109	0.9054890	0.9532700	0.0944154	0.9971782	0.2461422	1.0000000	1.0000000
50	0.4884993	0.2749279	0.1948714	0.9048966	0.9587915	0.0700362	0.9973463	0.2461422	1.0000000	1.0000000
100	0.5790915	0.2730837	0.1913356	0.9039910	0.9701853	0.0657442	0.9977150	0.2461422	1.0000000	1.0000000
150	0.6007521	0.2704145	0.1899186	0.9038802	0.9779942	0.0653673	0.9979796	0.2461422	1.0000000	1.0000000
200	0.6049591	0.2681398	0.1893895	0.9042304	0.9818146	0.0658845	0.9981071	0.2461422	1.0000000	1.0000000
250	0.6052841	0.2666163	0.1891718	0.9046249	0.9832826	0.0665382	0.9981506	0.2461422	1.0000000	1.0000000
300	0.6049894	0.2657157	0.1890658	0.9049021	0.9836232	0.0670789	0.9981548	0.2461422	1.0000000	1.0000000
350	0.6047267	0.2652165	0.1890084	0.9050525	0.9835157	0.0674529	0.9981451	0.2461422	1.0000000	1.0000000
400	0.6045647	0.2649479	0.1889774	0.9051151	0.9832882	0.0676861	0.9981332	0.2461422	1.0000000	1.0000000
450	0.6044746	0.2648055	0.1889622	0.9051297	0.9830751	0.0678224	0.9981235	0.2461422	1.0000000	1.0000000
