YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.9952770	0.1265886	0.7283857	0.5287525	0.2449574	0.0653892	0.5171715	0.2992186	0.8944111	1.0000000
0.4815103	0.9911338	0.1206113	0.1458712	0.1837280	0.3742474	0.3100617	0.6339728	0.7322668	0.6451025
0.3207254	0.9915555	0.1145044	0.1068518	0.0358300	0.1502738	0.3660018	0.5102043	0.9191866	0.9806175
0.6016326	0.8139084	0.2147252	0.0581301	0.0000000	0.0033369	0.3446313	0.5531606	0.9038968	0.8205440
0.5699010	0.8597063	0.0329656	0.0000258	0.0109488	0.1739911	0.3232740	0.5659255	0.9135774	1.0000000
0.9449995	0.0615732	0.7391783	0.6541982	0.4690887	0.1706042	0.4361232	0.3959726	0.8346380	1.0000000
0.9933523	0.3714472	0.4759848	0.2367164	0.2381559	0.2007595	0.4484607	0.3792198	0.8043505	0.8602402
0.5961323	0.9072069	0.2222036	0.0537050	0.1387474	0.3445845	0.3319147	0.5808324	0.7547186	0.6374254
0.8596742	0.2273685	0.5822860	0.1217794	0.0864600	0.2506715	0.6816452	0.1655083	0.8590601	0.9603454
0.9163911	0.5747388	0.2791229	0.1014392	0.1165028	0.3273552	0.4286379	0.4063546	0.7957454	0.7034652
