YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0193284	0.7765294	0.8198748	0.0232898	0.1982538	0.6499947	0.4591221	0.7436908	0.8511721	0.8121958
0.3896975	0.3141996	0.7895911	0.0273728	0.3610634	0.5401165	0.4131272	0.8498455	0.7912017	0.7155090
0.0498734	0.7742136	0.4169419	0.0235090	0.1776625	0.6837699	0.4491947	0.7408183	0.8431733	0.9450054
0.0848647	0.7429233	0.8168376	0.0196164	0.1991768	0.6874047	0.4056077	0.8435081	0.7140451	0.6825028
0.0561771	0.8329964	0.7897762	0.0210170	0.0696901	0.6776144	0.3917827	0.7164002	0.8701712	0.7255728
0.0531033	0.6507630	0.7972896	0.0846835	0.4171291	0.4507062	0.2896412	0.7905722	0.7018712	0.7118995
0.0401221	0.8741167	0.7773145	0.0135869	0.2714831	0.7667734	0.2228821	0.6333365	0.8538610	0.7852208
0.0657069	0.6645446	0.7358074	0.0149020	0.2590158	0.6338479	0.6214645	0.4087869	0.9174574	0.7746218
0.0882362	0.7922182	0.6223030	0.0781846	0.2414494	0.6321358	0.4421584	0.7338334	0.3829056	0.6596180
0.1062478	0.7152016	0.7409788	0.0617674	0.2251648	0.8218058	0.4366975	0.8548257	0.7336969	0.3729430
