"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.0892548	0.2770808	0.2225277	0.9753832	0.9980489	0.0635904	1.0094819	0.2190593	1.0058105	1.0322713
50	0.1212625	0.2432058	0.2238943	0.9269221	0.9212671	0.0950585	0.8795785	0.1332753	1.0528143	1.0659108
100	0.1998853	0.2186713	0.2152973	1.0122720	0.8673499	0.0882562	0.9054468	0.0778454	1.0917026	1.0762944
150	0.2205950	0.2845897	0.2039135	0.9822466	0.9215716	0.0889919	0.9416235	0.0380166	1.0144053	1.0256115
200	0.1764920	0.2294206	0.1758949	0.8399358	0.9248711	0.1038708	1.0033140	0.0195505	1.0007429	0.8810973
250	0.1246455	0.2509799	0.2052659	0.8906146	0.9723013	0.1078403	1.0533236	0.0055226	0.9789132	1.0249611
300	0.1360786	0.2596043	0.2117216	0.8717405	0.9106098	0.1330829	0.9922093	0.0057202	1.1211941	1.0243298
350	0.1524235	0.2493112	0.1554558	0.8570515	0.7756156	0.0857201	1.0102471	0.0105114	1.0524432	0.9864088
400	0.0995573	0.2452624	0.1464030	0.9236622	0.9382632	0.0997521	0.9888254	0.0075557	1.0286180	0.9309414
450	0.0852104	0.2084763	0.1779561	0.8407058	0.9785897	0.1125039	0.9977724	0.0043675	0.9885930	0.8551001
500	0.0728878	0.2057130	0.1944071	0.9074137	0.9822028	0.1132173	0.8915564	0.0045655	1.0020527	0.9274091
550	0.1066805	0.2192260	0.2048912	0.9721905	0.8668481	0.1321188	0.8531616	0.0855637	1.0213211	0.9109039
600	0.1251579	0.2251932	0.1884561	0.8253962	0.8083735	0.1399747	0.9196690	0.1942663	1.0002182	0.9794788
650	0.1081796	0.2330355	0.2131564	0.8743769	0.8392298	0.1358023	0.9913181	0.2143283	1.0550036	0.9562173
700	0.1703034	0.2354206	0.2349753	0.8520590	0.8563150	0.1682057	0.9924674	0.2219433	1.1006327	1.0035878
750	0.2363872	0.2943246	0.2230810	0.9034997	0.8219509	0.1274104	1.0301025	0.1839093	1.0281382	1.0054575
800	0.2503320	0.3459296	0.1913034	0.9216217	0.8283454	0.1251369	0.9787421	0.1462765	1.0870165	1.0186260
850	0.1895152	0.2734410	0.1797631	0.9035024	0.9266736	0.1083411	0.9543367	0.1820761	1.0315428	1.0709962
900	0.1522080	0.2648906	0.2024985	0.8471086	0.9297826	0.1209394	0.9086979	0.1626446	1.0437389	1.0010103
950	0.1260610	0.3255675	0.2181428	0.9153334	0.8801354	0.1234888	0.9241542	0.2052171	1.0283785	1.0105937
1000	0.1412110	0.2617651	0.2261897	0.9176528	0.9352077	0.0952183	0.9215276	0.1988246	1.0100716	1.0441260

0	0.0892548	0.2770808	0.2225277	0.9753832	0.9980489	0.0635904	1.0094819	0.2190593	1.0058105	1.0322713
50	0.3205418	0.2298364	0.1515759	1.0726372	0.9227247	0.1010308	1.0014238	0.2395335	0.9969932	0.9991381
100	0.4498068	0.2269679	0.1288637	0.9708559	0.8271189	0.0846778	0.9199187	0.2504245	0.9638871	1.0735271
150	0.5747685	0.2003734	0.1569058	0.9677106	0.9329014	0.0873391	0.8939783	0.2692727	0.9814724	0.9802644
200	0.6177966	0.2004965	0.1692420	0.9603190	0.9670507	0.1036060	0.9491146	0.3121646	0.9402681	0.9740780
250	0.5388247	0.2904050	0.2085885	0.9120660	0.9674544	0.0920322	0.9437419	0.2936054	1.0227783	1.0770587
300	0.6014349	0.2966082	0.2052795	0.9481991	0.8988352	0.0842931	1.0417365	0.2277295	1.0260454	1.0386721
350	0.6540281	0.3164093	0.1653041	0.7953764	1.0324996	0.0413541	0.9497678	0.2189365	1.0093552	1.0761948
400	0.5921477	0.2439795	0.1768454	0.9128807	1.0575425	0.0453002	1.0234341	0.2750775	1.0411466	0.9458949
450	0.5901701	0.2371669	0.1976803	0.8292661	0.9763662	0.0723683	1.0004425	0.2353764	1.0209548	1.0180460
500	0.6089318	0.2387707	0.2122423	0.8245964	0.9478638	0.0736005	1.0347872	0.1997833	0.9429937	0.9807048
550	0.4529983	0.2610394	0.2103643	0.8368054	0.9877396	0.0824958	1.0216649	0.2079629	1.0714768	1.0727111
600	0.2572709	0.2732828	0.2429933	0.8503938	0.9851168	0.0950207	1.0721216	0.2004599	1.0170601	1.0263972
650	0.3790522	0.2345935	0.2781720	0.8659072	1.0116858	0.1134552	1.0976966	0.2314296	1.0742430	0.9666178
700	0.3863828	0.3146280	0.1849497	0.8710890	0.9748392	0.0885189	1.1256774	0.2265619	0.9763670	1.0084303
750	0.2091498	0.2167927	0.1728051	0.9217912	0.9123387	0.0947312	1.0480945	0.1858493	1.1230346	1.0133864
800	0.1272239	0.2384793	0.1671187	0.8236003	0.9399303	0.1113234	1.0949300	0.2060988	1.0999613	0.9337345
850	0.0880369	0.2633417	0.1897396	0.9195082	0.8859371	0.1035137	1.0846505	0.2153119	0.9374373	0.9736442
900	0.1056252	0.2624640	0.2635756	0.9627811	0.8372777	0.0782460	1.0632904	0.2817068	0.9603004	0.9648585
950	0.2843793	0.2941141	0.2247039	0.8540571	0.9109204	0.0754143	0.9549138	0.3141782	0.9573151	1.0011193
1000	0.2200655	0.2546019	0.1855412	0.9513411	1.0875583	0.0900830	0.9309919	0.3358914	0.8731775	0.9265376

0	0.0892548	0.2770808	0.2225277	0.9753832	0.9980489	0.0635904	1.0094819	0.2190593	1.0058105	1.0322713
50	0.1110770	0.2747508	0.1145284	0.7326842	0.8999488	0.0667872	1.0310985	0.2150160	0.7970924	1.0157124
100	0.0628815	0.2727332	0.0824699	0.5465605	0.9913490	0.0545657	0.9275494	0.3119692	0.5512329	1.0178723
150	0.0512318	0.1986704	0.0406780	0.4624802	0.9839071	0.0539285	0.9169400	0.4721364	0.4931628	1.0073518
200	0.0320457	0.1114857	0.0236989	0.5023364	0.9690049	0.0760604	0.9411749	0.5895650	0.4604172	0.9513361
250	0.0329624	0.0728592	0.0375984	0.4556083	0.9437672	0.1371927	0.9991037	0.6801225	0.4310704	1.0188803
300	0.0384032	0.0549412	0.0425415	0.4988905	0.9372518	0.1251968	0.9474269	0.6946568	0.3850157	0.9450465
350	0.0338834	0.0430300	0.0361064	0.5307648	0.9693001	0.1295946	0.9400404	0.7985846	0.4378977	1.0176491
400	0.0430355	0.0533066	0.0300890	0.4511495	1.0580904	0.1098357	0.8840145	0.7415344	0.3894993	0.9937739
