YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.9114550	0.9797049	0.1168565	1.0336754	1.0142430	1.0189510	1.0257523	1.0233071	1.0335456
0.0522598	0.0000000	0.0648006	0.1377613	1.0182447	0.9719437	1.0112842	0.9979632	0.9940506	0.9608788
0.0457424	0.0503903	0.0000000	0.1306914	0.9735662	0.9861479	1.0107819	0.9748427	0.9492561	1.0513092
0.0382111	0.1983733	0.0882296	0.0000000	1.0289152	1.0157270	1.0522855	0.9672962	1.0264524	0.9667840
0.3706230	1.0798525	0.9408715	1.0157971	0.0000000	1.0480467	0.9946914	0.9826218	0.9656689	1.0118377
0.0379845	1.0263817	0.9810952	0.1244969	0.9543774	0.0000000	0.9878755	0.9953733	1.0867866	1.0686917
0.3627859	0.9866821	0.9048830	0.1022338	1.0464145	1.0770967	0.0000000	1.0715532	1.0878116	1.0790794
0.3992683	1.0062395	0.8477962	0.1340350	0.9775831	1.0455094	0.0165717	0.0000000	1.0625646	0.9462103
0.3192107	1.0308865	0.7919688	0.1407464	1.0495278	0.9852469	1.0268882	1.1461638	0.0000000	0.9518054
0.4050516	0.9223889	1.0130747	0.1392351	1.0442923	1.0273630	0.9595287	0.9917781	0.9944140	0.0000000
