YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.2683175	0.9818500	0.5412094	0.6094446	0.3492141	0.6598897	0.5452510	0.2823272	0.6200127	1.0538800
0.9126265	0.5125901	0.6202482	0.8492150	0.2524647	0.4041401	0.6515302	0.3856121	0.6010849	1.0732049
0.5563028	1.0132369	0.3151184	0.7731772	0.3060361	0.4669041	0.6674255	0.3393228	0.6387475	0.9537174
0.5515665	0.9684816	0.6741971	0.4022326	0.2597635	0.4922708	0.6067131	0.3104398	0.6392353	1.0037594
0.4271220	1.0324583	0.2701225	1.0137468	0.1066684	0.3885555	0.7319184	0.2797086	0.6216087	1.0740824
0.4905121	1.0010333	0.3448535	0.9463837	0.1182300	0.2276295	0.6600946	0.4038437	0.5733291	1.0735897
0.4831936	1.0554882	0.3753620	0.7172807	0.3573804	0.6116738	0.2955417	0.2597163	0.6791774	0.9828460
0.5584429	0.9470471	0.4851056	0.8685074	0.2211170	0.4211703	0.7558838	0.1628818	0.5488992	1.0581884
0.4162913	1.0345901	0.5335271	0.7807140	0.3479458	0.5715246	0.5284773	0.5098999	0.3149171	0.9845358
0.5493430	1.0344306	0.4623548	0.8090802	0.3589538	0.5546112	0.5513446	0.4027656	0.4691095	0.5290881
