YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.4991046	0.9320795	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.1271543	0.9969446	0.7718254
0.9828435	0.4660398	0.8426330	0.9999992	0.0109108	0.2567239	1.0000000	0.1271550	0.9969445	0.7718323
0.9802478	0.4462019	0.4213299	0.9999992	0.0109108	0.2567239	1.0000000	0.1091645	0.9978891	0.8638778
0.9566214	0.3483031	0.3787777	0.4999998	0.0109108	0.2567239	1.0000000	0.1080656	0.9979758	0.8751900
0.9982007	0.9320796	0.8426334	0.9999999	0.0054573	0.2567239	1.0000000	0.1271552	0.9969446	0.7718235
0.9982007	0.9320796	0.8426331	0.9999993	0.0104725	0.1283645	1.0000000	0.1271552	0.9969446	0.7718235
0.9981996	0.9318988	0.8420361	0.9985308	0.1034800	0.5596455	0.5000000	0.1271372	0.9969455	0.7719208
0.9982007	0.9320796	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.0723821	0.9959645	0.7096209
0.9982007	0.9320796	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.1271552	0.4985013	0.7718235
0.9982007	0.9320796	0.8426331	0.9999992	0.0109108	0.2567239	1.0000000	0.2686454	0.9747403	0.4025853
