"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
550	0.4748788	0.3386396	0.4030892	0.4722740	0.3845697	0.6204096	0.5369829	0.6033320	0.8814761	0.9144771
600	0.5464457	0.4087951	0.3276929	0.6900359	0.3819780	0.6982963	0.3304278	0.5611745	0.8931452	0.9700168
650	0.6530473	0.4800646	0.3309922	0.7711885	0.4157111	0.7967035	0.2496780	0.5099397	0.9063584	0.9907733
700	0.7511138	0.5423012	0.3495051	0.7866733	0.4555691	0.8637489	0.2398038	0.4803218	0.9156408	0.9973156
750	0.8216101	0.5823317	0.3642853	0.7778809	0.4829645	0.8936935	0.2519081	0.4733017	0.9208541	0.9992403
800	0.8637817	0.5995697	0.3727484	0.7653817	0.4962500	0.9012498	0.2620282	0.4764313	0.9234309	0.9997881
850	0.8851049	0.6027658	0.3763314	0.7565219	0.5006325	0.9005100	0.2654377	0.4804795	0.9246048	0.9999414
900	0.8939055	0.6008097	0.3771727	0.7519450	0.5012185	0.8988120	0.2650408	0.4824986	0.9251105	0.9999838
950	0.8964825	0.5986008	0.3769474	0.7501257	0.5009041	0.8981499	0.2638612	0.4828871	0.9253197	0.9999956
1000	0.8966828	0.5975143	0.3765549	0.7495709	0.5007057	0.8982537	0.2631350	0.4826642	0.9254037	0.9999988

0	0.8962182	0.5974345	0.3762691	0.7493402	0.5008430	0.8986794	0.2630191	0.4824047	0.9254545	1.0000000
50	0.8961269	0.5974817	0.3758118	0.7502626	0.4806246	0.6997528	0.2630068	0.4823472	0.9254562	1.0000000
100	0.8961153	0.5978541	0.3703905	0.7655646	0.3981754	0.5150741	0.2630312	0.4823322	0.9254568	1.0000000
150	0.8962998	0.5994291	0.3607582	0.8031592	0.3157410	0.4321655	0.2630505	0.4823363	0.9254570	1.0000000
200	0.8969146	0.6019037	0.3555269	0.8451348	0.2672742	0.4014369	0.2630585	0.4823428	0.9254571	1.0000000
250	0.8978802	0.6037695	0.3560719	0.8762965	0.2453036	0.3910323	0.2630621	0.4823468	0.9254571	1.0000000
300	0.8987709	0.6043212	0.3590743	0.8946135	0.2366936	0.3876899	0.2630662	0.4823490	0.9254572	1.0000000
350	0.8992564	0.6039076	0.3620127	0.9039424	0.2336086	0.3866521	0.2630708	0.4823509	0.9254572	1.0000000
