"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
550	0.5733092	0.2975989	0.9744406	0.1711535	0.5652783	0.9603340	0.7584789	0.9850724	0.0823199	1.0000000
600	0.5748804	0.2988800	0.9732932	0.1823047	0.5641485	0.9019384	0.5555820	0.9850724	0.0823199	1.0000000
650	0.5740708	0.2975284	0.9708621	0.1901781	0.5532620	0.7457525	0.4591166	0.9850724	0.0823199	1.0000000
700	0.5651307	0.2873092	0.9682569	0.1993510	0.5199371	0.5579833	0.4216407	0.9850724	0.0823199	1.0000000
750	0.5374918	0.2597014	0.9648872	0.2196965	0.4601138	0.4088679	0.4124801	0.9850724	0.0823199	1.0000000
800	0.4818924	0.2135747	0.9579790	0.2648645	0.3843183	0.3161944	0.4242964	0.9850724	0.0823199	1.0000000
850	0.3996657	0.1599152	0.9420245	0.3475298	0.3096509	0.2776225	0.4675838	0.9850724	0.0823199	1.0000000
900	0.3066852	0.1133169	0.9095407	0.4658664	0.2510434	0.3018576	0.5544986	0.9850724	0.0823199	1.0000000
950	0.2250911	0.0814696	0.8577711	0.5934772	0.2208859	0.4037937	0.6638961	0.9850724	0.0823199	1.0000000
1000	0.1716136	0.0645248	0.7965648	0.6928847	0.2285035	0.5520421	0.7566704	0.9850724	0.0823199	1.0000000

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3874438	0.1629818	0.6513897	0.4017636	0.4729006	0.8919534	0.7631671	0.9850543	0.0834950	0.8368579
100	0.4400688	0.1923737	0.5275484	0.3440519	0.4986696	0.9137599	0.7079159	0.9845923	0.0912806	0.6715536
150	0.4812489	0.2183247	0.4858955	0.2996232	0.5176655	0.9160945	0.6419939	0.9826385	0.1049228	0.5894216
200	0.5115098	0.2392520	0.4802674	0.2675938	0.5295581	0.8984065	0.5778798	0.9787652	0.1186328	0.5556131
250	0.5318860	0.2539587	0.4849668	0.2461290	0.5338640	0.8638088	0.5243878	0.9737813	0.1286519	0.5428665
300	0.5429929	0.2615412	0.4907023	0.2336666	0.5305533	0.8200090	0.4847837	0.9689849	0.1346338	0.5382970
350	0.5452746	0.2616910	0.4948723	0.2291203	0.5205726	0.7765358	0.4586734	0.9652337	0.1377588	0.5367109
400	0.5394972	0.2550707	0.4970216	0.2316476	0.5059770	0.7402800	0.4443578	0.9627131	0.1392487	0.5361724
450	0.5271394	0.2434083	0.4972426	0.2402749	0.4894378	0.7141080	0.4401700	0.9612007	0.1399145	0.5359925
500	0.5104312	0.2291057	0.4957368	0.2535984	0.4734922	0.6981597	0.4447992	0.9603678	0.1401983	0.5359331
550	0.4876954	0.2144447	0.6774503	0.2698203	0.4573650	0.5952256	0.4569768	0.9600431	0.1363540	0.6990557
600	0.4614403	0.1981897	0.8341026	0.2899443	0.4273421	0.4742571	0.4754142	0.9616940	0.1202967	0.8643537
650	0.4253529	0.1748717	0.8946242	0.3228382	0.3819110	0.4110737	0.5018033	0.9665342	0.1038040	0.9464836
