YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0365993	0.2092576	0.6556201	0.1822851	0.4352033	0.4739283	0.7150631	0.0105748	0.1901671	0.5341264
0.0332638	0.1086920	0.7259688	0.1529393	0.3957783	0.3876675	0.7656718	0.0188857	0.1552274	0.4313449
0.0716346	0.3493542	0.3794665	0.2624410	0.4318592	0.3707346	0.7060725	0.0088893	0.1179704	0.3334811
0.0422206	0.2677874	0.7809881	0.0582661	0.4310541	0.3856120	0.8089648	0.0066592	0.1673460	0.3590873
0.0409883	0.1784628	0.4804785	0.4772610	0.1879431	0.5119297	0.7893674	0.0104231	0.1406794	0.3592334
0.0616722	0.2572745	0.7539521	0.1784292	0.4392379	0.2219342	0.8473889	0.0055870	0.0871943	0.4488841
0.0560764	0.3041661	0.6366104	0.2320116	0.7654225	0.1680431	0.2934403	0.0052340	0.1145670	0.1966676
0.0972603	0.2927359	0.7510368	0.2196353	0.3644429	0.5536305	0.5893755	0.0020807	0.1209886	0.3729707
0.0689255	0.2454270	0.6757092	0.3054601	0.4283485	0.4229234	0.7713414	0.0089098	0.0586431	0.4202328
0.0477862	0.3624040	0.6654419	0.2653674	0.3475969	0.4059464	0.7323072	0.0265466	0.1035439	0.1770248
