YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000067	0.4839476	0.7854528	0.0864723	0.7887830	0.7494230	0.8542287	0.5292833	0.2078902	0.3135783
0.9999993	0.0000013	0.7622053	0.0882633	0.7566920	0.7039548	0.6844227	0.2216957	0.0334321	0.0097727
0.9999998	0.0161445	0.0000000	0.0883184	0.7563969	0.7038845	0.6844064	0.2216827	0.0337868	0.0131372
0.8884808	0.4805314	0.7764514	0.0000058	0.7764362	0.7311585	0.7793969	0.3404875	0.2087920	0.3143726
0.8913541	0.4774113	0.7683369	0.9999973	0.0000001	0.7155349	0.7227420	0.2605711	0.0342939	0.0170126
0.9999998	0.0189902	0.0082478	0.7067961	0.0461184	0.0000000	0.6844075	0.2216818	0.0338170	0.0133923
0.9999998	0.0226109	0.0158521	0.7028496	0.0467307	0.0431395	0.0000000	0.2216757	0.0339306	0.0142570
0.9998674	0.1267588	0.1648476	0.4600812	0.0964883	0.1895545	0.0632988	0.0000000	0.0414812	0.0487526
0.8878129	0.4813591	0.7788116	0.0869848	0.7796643	0.7359734	0.7983612	0.3763287	0.0000029	0.3120408
0.8911438	0.4774952	0.7683870	0.0877783	0.7652826	0.7155805	0.7229056	0.2607579	0.0328794	0.0000036
