YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.4989717	0.0347617	0.3565548	0.7691530	0.5902780	0.4278953	0.2019648	0.8769502	0.3655743	1.0000000
0.9998780	0.0173808	0.3565546	0.7691530	0.5902780	0.4278903	0.2019648	0.8769502	0.3655743	1.0000000
0.9989128	0.0296499	0.1782909	0.7691530	0.5902780	0.4278930	0.2019648	0.8769502	0.3655743	1.0000000
0.3864173	0.1728143	0.6613457	0.3845765	0.5902780	0.4294658	0.2019648	0.8769502	0.3655743	1.0000000
0.2529368	0.2039977	0.6896733	0.3587061	0.2951390	0.4307125	0.2019648	0.8769502	0.3655743	1.0000000
0.9978960	0.0347617	0.3565547	0.7691530	0.5902780	0.2140294	0.2019648	0.8769502	0.3655743	1.0000000
0.9701604	0.0661813	0.5076086	0.5442383	0.3987483	0.4619619	0.1009824	0.8769502	0.3655743	1.0000000
0.9985476	0.0317308	0.3049784	0.8794181	0.7927441	0.3445915	0.4631801	0.4384751	0.3655743	1.0000000
0.9974003	0.0366404	0.3768632	0.7319393	0.5474171	0.4376662	0.1734030	0.9812697	0.1827871	1.0000000
0.9985605	0.0316712	0.3034718	0.8830851	0.8032663	0.3372588	0.4892110	0.4141330	0.8375520	0.5000000
