YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.4996329	0.1256823	0.0216841	0.3905858	0.9869161	0.2997047	0.9103447	0.8990620	0.7611577	0.0408160
0.5274245	0.3021296	0.2293694	0.3938379	0.9765931	0.3401057	0.9516679	0.9013053	1.0000000	0.0001929
0.5260952	0.3551278	0.2122954	0.3226911	0.9868652	0.2999706	0.9276498	0.9602814	0.8494333	0.0436709
0.3950501	0.4103666	0.0407794	0.4032177	0.9475480	0.4067448	0.9487759	0.8825786	1.0000000	0.0436978
0.5252297	0.0511562	0.0860916	0.3947762	0.9736218	0.3491567	0.9298976	0.9686654	1.0000000	0.0436794
0.1899638	0.1947051	0.2274738	0.4075571	0.9346578	0.3263935	0.9246506	0.9496570	0.8430469	0.0001622
0.5327666	0.0000137	0.1594469	0.5478535	0.2896518	0.9265481	0.9326812	0.9502975	0.8703483	0.0075512
0.5327671	0.0000509	0.1888787	0.4116364	0.9226654	0.3324905	0.9015945	0.8825786	1.0000000	0.0437177
0.5327423	0.0014036	0.3117594	0.2142986	0.9143763	0.4551822	0.9015942	0.8825786	1.0000000	0.0437243
0.4771023	0.0000069	0.0206869	0.3990972	0.9602496	0.3131324	0.9266947	0.8771114	0.9575391	0.0001590
