"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C

0	0.7401105	0.0997560	0.2594221	0.1776283	0.6474653	0.6874752	0.0655161	0.4666513	0.0912886	0.8975622
50	0.5280715	0.1399787	0.5728245	0.1712694	0.8280975	0.6607556	0.4469071	0.4221479	0.0374996	0.3199294
100	0.4356034	0.0844493	0.6334295	0.1454422	0.7533728	0.6140146	0.5032371	0.4302106	0.1235601	0.2859791
150	0.4917942	0.0991401	0.6272451	0.1230069	0.7015639	0.5471201	0.4231929	0.3766827	0.1618453	0.2798982
200	0.3819929	0.1375738	0.5923014	0.1434076	0.6846556	0.7450862	0.5613572	0.2409104	0.1575421	0.1621078
250	0.4001342	0.0643455	0.5388303	0.2446571	0.6125052	0.5895186	0.4372722	0.2180728	0.2786403	0.2240321
300	0.2519704	0.1336667	0.5618730	0.1954164	0.7035800	0.7410772	0.4651622	0.1323019	0.2158580	0.2609898
350	0.4515176	0.0592926	0.6802631	0.1789895	0.7033156	0.7441035	0.4501631	0.1857662	0.2227004	0.1791343
400	0.2913808	0.1033717	0.7034914	0.1109874	0.6917610	0.9167151	0.3303179	0.1669602	0.1744241	0.2648171
450	0.3576747	0.0744331	0.6945006	0.1346941	0.8125956	0.7574717	0.4529407	0.1737733	0.2412081	0.2095751
500	0.3432324	0.0881960	0.5482923	0.1066636	0.7348458	0.7106154	0.4932689	0.1114143	0.1863604	0.2258334
550	0.5613656	0.1027539	0.4222949	0.1828689	0.7800851	0.6119667	0.1811761	0.1367434	0.4403227	0.5734408
600	0.6275136	0.0769482	0.4338260	0.1397912	0.7655290	0.6722643	0.1344230	0.0797218	0.2250584	0.7875788
650	0.7157625	0.0726912	0.3226662	0.1249416	0.7318171	0.5224028	0.2822337	0.1656384	0.0789101	0.6573030
700	0.7263271	0.1385591	0.3913231	0.1583172	0.6361892	0.7178952	0.3628654	0.1708168	0.0712025	0.7693928
750	0.7023459	0.1231210	0.4177598	0.1189641	0.8150909	0.7018973	0.2771207	0.3837302	0.0430171	0.9479586
800	0.6930824	0.0996797	0.3150464	0.1163341	0.6797733	0.7508436	0.2360926	0.3063339	0.0664401	0.8170698
850	0.6495763	0.1148998	0.4322338	0.1375228	0.6873439	0.7034665	0.2161353	0.3236084	0.1055528	0.7500226
900	0.6314963	0.1019945	0.4805554	0.1729375	0.7198494	0.6911674	0.1901263	0.3358176	0.0506989	0.7453717
950	0.7808875	0.0843820	0.4862457	0.1252175	0.6195804	0.5773241	0.1560756	0.3961499	0.0332913	0.7514434
1000	0.7211833	0.0812124	0.3593697	0.2037450	0.7038434	0.6719596	0.0746206	0.4064369	0.0445217	0.8062769

0	0.7417003	0.1476119	0.3616419	0.1587567	0.6708445	0.6371886	0.1385373	0.3703286	0.0419078	0.6526096
50	0.6784413	0.0583191	0.5359527	0.1185593	0.7195832	0.5267382	0.1240336	0.3865607	0.0381451	0.5820281
100	0.6664777	0.0799283	0.4834085	0.0897368	0.6820309	0.6328543	0.2062872	0.4384137	0.0279779	0.4928130
