YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000009	0.2749996	0.8498668	0.5386450	0.9977845	0.5488426	0.8906417	0.9894149	0.0973203	1.0000000
0.0438246	0.0000010	0.8498669	0.5386451	0.9977850	0.5488255	0.8905869	0.9894149	0.0973203	1.0000000
0.0439969	0.0770342	0.0000000	0.5386451	0.9977849	0.5488348	0.8905997	0.9894149	0.0973203	1.0000000
0.2550935	0.5860464	1.0000000	0.0000002	0.9977850	0.5488255	0.8905869	0.9894149	0.0973203	1.0000000
0.2549972	0.5859350	0.9999888	0.0270826	0.0000000	0.5488280	0.8905966	0.9894149	0.0973203	1.0000000
0.2397265	0.5859320	0.9999888	0.0270837	0.0015208	0.0000000	1.0000000	0.9894149	0.0973203	1.0000000
0.3398094	0.5858772	0.9999818	0.0314694	0.0782489	0.0257759	0.0000000	0.9894149	0.0973203	1.0000000
0.3248191	0.7765540	0.8495032	0.5391344	0.9987226	0.6679128	0.9999998	0.0000000	0.0973203	1.0000000
0.0657944	0.2749674	0.8498712	0.5386397	0.9977755	0.5479405	0.8897564	1.0000000	0.0000000	1.0000000
0.3166181	0.7481962	0.8495066	0.5391254	0.9987017	0.6639582	0.9958978	0.0685026	1.0000000	0.0000000
