YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000029	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.9901422	0.0745022	0.6519565
0.9999979	0.0000000	0.0854288	0.2701711	0.9999946	0.0219552	0.4167347	0.9901433	0.0744974	0.6710534
0.9316344	0.1008049	0.0000037	0.2701709	0.9999952	0.0213435	0.4167447	0.9901427	0.0745000	0.6795276
0.6844089	0.6306068	0.9999955	0.0000000	0.9999979	0.0170319	0.6250295	0.9806359	0.1089273	0.7557137
0.9304400	0.1025417	0.0860659	0.9999886	0.0000011	0.0217222	0.4167458	0.9901426	0.0745002	0.6742777
0.9225315	0.1147221	0.1875136	0.2701697	1.0000000	0.0000046	0.4167556	0.9901422	0.0745022	0.6519559
0.9225325	0.1147198	0.1874998	0.2701811	0.9999537	0.0394571	0.0000013	0.9901433	0.0744974	0.5110373
0.9225317	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.0000028	0.0745022	0.6519565
0.9225318	0.1147217	0.1875114	0.2701713	0.9999934	0.0233142	0.4171098	0.9999942	0.0000051	0.6521399
0.9303591	0.1026256	0.0874251	0.7520186	0.2031171	0.9999900	0.4167459	0.9901433	0.0744974	0.0000001
