"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.7098001	0.3425772	0.3402195	0.7567074	0.1131669	0.6161936	0.8103158	0.3829226	0.7223877	0.1523036
50	0.6276232	0.2667168	0.3030570	0.8055796	0.0377623	0.5045541	0.7207303	0.5832374	0.7401494	0.1135981
100	0.6445180	0.2235575	0.2961048	0.8414831	0.0244534	0.5600827	0.7139299	0.4709822	0.7306380	0.1369601
150	0.7306036	0.2416941	0.3682717	0.8680911	0.0135879	0.4037879	0.7902973	0.5294201	0.6325774	0.2041519
200	0.7903654	0.1963098	0.4061077	0.6993518	0.0140904	0.4729118	0.7583443	0.5600834	0.7450234	0.1870362
250	0.6902959	0.2807042	0.3252179	0.7877898	0.0231965	0.5089794	0.7191362	0.5925612	0.7230136	0.2006511
300	0.7010541	0.1825849	0.3910200	0.7017064	0.0109354	0.4888446	0.8320424	0.4981104	0.7892813	0.2387153
350	0.7895303	0.2824188	0.3558949	0.6982179	0.0111599	0.4916833	0.8083859	0.6240433	0.6028714	0.2374890
400	0.6616619	0.2633156	0.3427845	0.6370473	0.0308919	0.4306693	0.6525746	0.5319244	0.6972652	0.2188350
450	0.7996756	0.1935131	0.3636375	0.7488843	0.0216355	0.4158771	0.8337927	0.5065080	0.5491496	0.2720907
500	0.7603082	0.3118561	0.3004830	0.7287934	0.0304073	0.6376219	0.6990758	0.5103763	0.6851780	0.1815859
550	0.8196502	0.2054431	0.3502341	0.6524032	0.0323585	0.6095711	0.7676515	0.5175315	0.6091664	0.1462822
600	0.7071589	0.3998695	0.3456774	0.6322550	0.0723718	0.5349057	0.6753021	0.4532147	0.6674666	0.1839100
650	0.7734821	0.2451784	0.3813034	0.7295475	0.0684171	0.5165934	0.7626642	0.3784080	0.6282940	0.1765288
700	0.6847135	0.3068656	0.3218475	1.0000000	0.0622064	0.4903925	0.6582514	0.3458945	0.5785658	0.1791360
750	0.7317633	0.3263672	0.2921209	0.8327602	0.0635162	0.5603732	0.7829673	0.4280874	0.7132163	0.1173460
800	0.6867138	0.3169401	0.3009252	0.7326431	0.0800481	0.5293050	0.7826737	0.3264856	0.6293971	0.1184297
850	0.7851007	0.2595243	0.3667188	0.8294410	0.0857898	0.6013472	0.6969201	0.3066059	0.7370555	0.1622043
900	0.8015733	0.2967778	0.3038562	0.7548066	0.0660417	0.5658217	0.6687956	0.3790692	0.7241144	0.1939455
950	0.7279103	0.3001294	0.3234650	0.7422673	0.1579320	0.5417349	0.6527471	0.2987445	0.7120887	0.2926531
1000	0.7505284	0.3187990	0.3415839	0.6966699	0.0756557	0.5223318	0.5853407	0.4620926	0.6219271	0.2017189

0	0.7030847	0.2630265	0.3777155	0.7907913	0.0852923	0.5702470	0.7457549	0.3860051	0.6565740	0.1835447
50	0.5692376	0.1153766	0.3490612	0.6549609	0.0143422	0.5611350	0.6580583	0.4269400	0.7034692	0.0939816
100	0.6823557	0.1272757	0.3073914	0.6024404	0.0256356	0.6384865	0.7422719	0.4228350	0.7739303	0.0320279
