YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.2102238	0.5245523	0.8649930	0.4921184	0.5872326	0.4067370	0.4554618	0.0034184	0.2320997	0.3005212
0.9987051	0.0540000	0.1047533	0.5250798	0.6773125	0.2866999	0.9998554	0.0006054	0.4075859	0.7358058
0.6880751	0.1447049	0.4245686	0.0397834	0.3926874	0.5069506	0.6132081	0.0415750	0.6334491	0.4427610
0.0549143	0.7429533	0.9226321	0.4255594	0.4130678	0.4669067	0.9857739	0.3347646	0.0546140	0.2093745
0.2585858	0.4607406	0.7945255	0.2249501	0.1163607	0.7380063	0.5509543	0.0001475	0.5628897	0.1247198
0.4367123	0.3061704	0.6032688	0.5354747	0.1139895	0.8457932	0.8952522	0.0420633	0.4317985	0.1557862
0.1935459	0.5122103	0.8034456	0.0000203	0.0699213	0.7634062	0.7171702	0.0495837	0.2019751	0.2119541
0.1274525	0.5886619	0.9443231	0.3875272	0.0966535	0.9109580	0.8639323	0.0034354	0.2394026	0.1096816
0.1001280	0.6277374	0.9979902	0.1703481	0.1033052	0.8840909	0.9641896	0.0511136	0.1916376	0.0652757
0.2332017	0.4474796	0.7804739	0.0118206	0.1534990	0.7472477	0.7518210	0.0116097	0.1638551	0.2232684
