YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.6036215	0.4565184	0.2961165	0.6150341	0.4374855	0.7490497	0.1800037	0.4812397	0.6971381	0.7244779
0.6504879	0.4883312	0.2724310	0.5268949	0.5112118	0.6955479	0.3016795	0.3996684	0.7594915	0.6673723
0.3320687	0.2424543	0.3175576	0.5159789	0.4582858	0.6409862	0.1152665	0.4564442	0.8313944	0.8544317
0.8054133	0.3971479	0.3367989	0.6089099	0.3259575	0.5695384	0.2988719	0.3705370	0.8228399	0.8020667
0.7606588	0.4013923	0.3961807	0.6269093	0.3481214	0.6189727	0.2989363	0.3888081	0.7101741	0.7688354
0.7385750	0.4544287	0.4629756	0.4629482	0.4609120	0.7202611	0.2563449	0.3930132	0.6799067	0.7120248
0.1078542	0.2268994	0.3260073	0.7765864	0.1909649	0.5078214	0.4882792	0.2911190	0.2944099	0.2019508
0.7611387	0.6030366	0.3821744	0.4384554	0.6103287	0.8052645	0.3268992	0.2606615	0.6517156	0.7545289
0.5912372	0.6038835	0.2713842	0.2754385	0.2317556	0.4139227	0.2217114	0.4723291	0.7084030	0.7367310
0.5533483	0.4802899	0.4386491	0.3184228	0.2833571	0.3990735	0.1880079	0.4382986	0.6795414	0.5523687
