YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.4545876	0.7152824	0.8298995	0.0915048	0.0865040	0.4848836	0.3812815	0.5498637	0.3336438	0.4503054
0.6342778	0.5052847	0.3613304	0.7019180	0.2741926	0.5724647	0.6363389	0.0614565	0.2086971	0.6844159
0.3507476	0.6383350	0.8447473	0.1172841	0.0314278	0.5578200	0.2178338	0.2685127	0.1617722	0.8738708
0.5809727	0.5582271	0.3510997	0.6903446	0.4741695	0.6645931	0.6851353	0.0084860	0.2853535	0.7627172
0.3484959	0.5886310	0.4387185	0.5782954	0.3612103	0.5066011	0.7627190	0.1200215	0.1703953	0.8203336
0.4523331	0.6807673	0.3515835	0.5882730	0.5534353	0.2021279	0.7677221	0.0045177	0.1303796	0.7608886
0.6830779	0.6427535	0.2625573	0.6776029	0.3846553	0.6142192	0.5683470	0.0043454	0.1528906	0.7710826
0.2759721	0.6298714	0.5149257	0.5066100	0.2192857	0.3057616	0.4077006	0.2042304	0.2532503	0.6426640
0.3712749	0.8299162	0.6210621	0.3430905	0.1915562	0.5690070	0.5461689	0.1710995	0.1404868	0.6557724
0.5167547	0.6967561	0.5498965	0.5548378	0.2632912	0.6225994	0.5658178	0.1688851	0.0775722	0.7906036
