"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.6345529	0.8568544	0.3099833	0.1587093	0.1274810	0.3310005	0.3922776	0.4393586	0.8485813	1.0855970
50	0.6311441	0.8426500	0.2451803	0.2004491	0.1855260	0.3566242	0.3525491	0.4728529	0.9231271	1.0501852
100	0.5500027	0.8295939	0.2799810	0.2071804	0.1703895	0.3316563	0.3873560	0.5120724	0.8760423	1.1357055
150	0.5655255	0.7716389	0.2417129	0.1946674	0.1667141	0.3180264	0.3726610	0.5322486	0.8160490	1.0091175
200	0.5210318	0.8062896	0.2560058	0.1955425	0.1549859	0.3806279	0.3804430	0.5995927	0.7798271	0.9950111
250	0.4679880	0.8843110	0.2764518	0.1428317	0.1865606	0.4005887	0.3791403	0.6518727	0.8096599	1.0468752
300	0.4344592	0.8533579	0.2900872	0.1726288	0.1759166	0.3310292	0.3267154	0.6144316	0.8245219	0.9809247
350	0.4817566	0.7556999	0.2938714	0.1953499	0.1462042	0.3070437	0.3073761	0.6021530	0.8636664	0.9950828
400	0.5130214	0.7284311	0.2738726	0.1928229	0.1327972	0.2718284	0.3010874	0.5642963	0.9120072	1.0348730
450	0.5340695	0.7688490	0.2977601	0.1547230	0.1053779	0.2762848	0.3014714	0.5638705	0.8962752	1.0198604
500	0.5990960	0.6683925	0.3128356	0.1079829	0.1219722	0.2881023	0.2724315	0.5129046	0.8355269	1.0585694
550	0.7312228	0.6734896	0.2709884	0.1192407	0.1100067	0.2879107	0.2912606	0.5028312	0.9157731	1.0136972
600	0.7888575	0.7601611	0.2203447	0.1180387	0.0969740	0.3283306	0.3138688	0.4990460	0.9229497	0.8955904
650	0.6771786	0.7496369	0.2221408	0.1379376	0.1441392	0.3040562	0.3813603	0.4812476	0.9432601	0.9515510
700	0.6982452	0.8548869	0.1839987	0.1596133	0.1799195	0.3226466	0.3824676	0.4346314	0.8964206	0.8857220
750	0.7079879	0.8799240	0.1794929	0.1715628	0.1182638	0.2875534	0.4097496	0.4559027	0.8002110	0.9559512
800	0.7421542	0.8186581	0.2463763	0.1438725	0.1349165	0.3175685	0.4182165	0.4800485	0.9596964	0.9206530
850	0.7140668	0.8093844	0.2165260	0.1676200	0.1669774	0.4114279	0.3762175	0.5291554	0.9132410	0.9826090
900	0.6499242	0.9008932	0.2992537	0.1655518	0.1870583	0.4009502	0.3899373	0.5234938	0.9138650	0.9467377
950	0.6188328	0.9102854	0.3384292	0.1754840	0.2391890	0.3384254	0.4147376	0.4832628	0.8560446	0.9109070
1000	0.6388273	0.6747867	0.3385561	0.2290576	0.2117656	0.3254628	0.3652964	0.5036620	0.9115003	0.9340107

0	0.6345529	0.8568544	0.3099833	0.1587093	0.1274810	0.3310005	0.3922776	0.4393586	0.8485813	1.0855970
50	0.6957762	0.7385809	0.4006043	0.1174448	0.1097277	0.2658292	0.4066005	0.4906770	0.8855182	1.0337492
100	0.4315385	0.6325031	0.4919061	0.1068044	0.1187319	0.2930115	0.4233945	0.5215770	0.9464645	1.0113560
150	0.4134575	0.5041272	0.5390640	0.0953736	0.0876310	0.2343925	0.3863932	0.5539059	0.9170944	0.9793357
200	0.4626861	0.3293893	0.4931628	0.0800738	0.0884412	0.2858500	0.4179782	0.6148097	0.8454426	0.8790887
250	0.4961101	0.3367109	0.5351710	0.0709387	0.0874511	0.3171230	0.3690305	0.6178842	0.8747380	0.9450941
300	0.4911173	0.2394062	0.6087587	0.0965255	0.1153442	0.2937588	0.3655534	0.6766002	0.8331699	1.0361300
350	0.5671809	0.2247814	0.6129299	0.1152570	0.0931017	0.2650727	0.3094772	0.5979464	0.7735807	1.1044413
400	0.5401823	0.2313449	0.6080069	0.0891238	0.0839620	0.2929020	0.2932116	0.6270202	0.8105090	1.0468091
450	0.5095291	0.2413831	0.5793449	0.1082500	0.1243652	0.2976063	0.3042878	0.6306597	0.9336150	1.0256585
500	0.4959802	0.1972441	0.5727744	0.0856138	0.1124847	0.2603673	0.3156293	0.6416327	0.8995838	1.0389959
550	0.7672915	0.2067006	0.4464231	0.1001302	0.0984334	0.2740461	0.3380671	0.6657013	0.8586343	1.0592209
600	1.0154371	0.3344993	0.3949457	0.1145379	0.0604929	0.2314505	0.3026186	0.5458315	0.8002567	1.1306854
650	0.9884679	0.4926447	0.3171277	0.1108025	0.0640828	0.2623971	0.3372077	0.4738483	0.9033447	0.9453501
700	0.9498865	0.6238883	0.2773984	0.0913962	0.0934674	0.2935437	0.3826152	0.4083661	0.8212155	0.9268759
750	0.8179050	0.7386237	0.2137258	0.1274249	0.1155815	0.2942040	0.3571267	0.3831635	0.9120982	0.8771089
800	0.7323677	0.8773625	0.1965860	0.1238785	0.1222063	0.2668722	0.3922555	0.4055409	0.9099980	1.0438684
850	0.6963573	0.9910759	0.2344711	0.1252730	0.1231770	0.2806364	0.4899113	0.4536950	0.9049006	1.0313043
900	0.5398068	0.8582169	0.2671688	0.1167339	0.1495018	0.3170169	0.4004045	0.4442854	0.8931664	1.0505293
950	0.6432387	0.7459436	0.2571620	0.1000160	0.0928052	0.3341912	0.4368465	0.4840592	0.8981857	1.0135540
1000	0.6317369	0.9178879	0.2249738	0.1167683	0.1233454	0.2983584	0.4143817	0.4723869	0.8604274	1.0499373

0	0.6345529	0.8568544	0.3099833	0.1587093	0.1274810	0.3310005	0.3922776	0.4393586	0.8485813	1.0855970
50	0.7735170	0.7134913	0.3098169	0.4156794	0.1647158	0.3239969	0.4058563	0.5358155	0.9549482	1.0287253
100	0.8638054	0.6827158	0.4549230	0.5869011	0.1758488	0.3225159	0.3842999	0.5324295	0.9279198	0.9396594
150	0.7330171	0.5528570	0.5903911	0.7336377	0.1639161	0.2712692	0.4199325	0.4957784	0.9608633	0.9391561
200	0.7854599	0.3585357	0.8138568	0.7016791	0.1244788	0.2744679	0.3679604	0.5118239	0.9054148	0.9297345
250	0.8627777	0.2150536	0.8498357	0.7502309	0.0850388	0.2910177	0.3884023	0.5554027	0.8812054	0.9743144
300	0.9076153	0.1203564	0.8790097	0.7675985	0.0974992	0.2451097	0.3522634	0.4780320	0.8365156	1.0058291
350	0.9511205	0.1092397	0.8784858	0.7624541	0.0530442	0.2620642	0.3502104	0.4439979	0.8519870	0.9472265
400	1.0400091	0.0686777	0.9262850	0.8009284	0.0589664	0.2201535	0.3876002	0.4071516	0.7793418	0.9776055
450	0.9546205	0.0616792	0.9478968	0.8465101	0.0790341	0.2335096	0.4181848	0.4141473	0.8953070	0.9693304
500	1.0271230	0.0861598	0.9058326	0.7734034	0.0623267	0.2411783	0.4933626	0.3458590	0.9048645	1.0057206
550	1.0412312	0.0830673	0.8083806	0.5635603	0.0575191	0.1938483	0.4500848	0.3661119	0.9347812	0.9600717
600	1.0678627	0.1384211	0.7368066	0.3024062	0.0480575	0.2257077	0.4616332	0.3718234	0.8541954	0.9448275
650	1.0427182	0.1292917	0.6149703	0.1657542	0.0652571	0.2507110	0.3836082	0.4009215	0.8122231	0.9817873
700	1.0066466	0.2149289	0.4544428	0.1209721	0.0557911	0.2708576	0.4569891	0.4031709	0.8145386	1.0646489
750	1.0383022	0.3559401	0.3761565	0.1040192	0.0587182	0.2505148	0.4365010	0.3475959	0.8915003	1.0088445
800	0.9321413	0.5473568	0.2642146	0.0772159	0.0895584	0.2468111	0.4484699	0.3266038	0.8810504	1.0910637
850	0.9206692	0.7250373	0.2235474	0.0963984	0.0862905	0.2737134	0.4647775	0.4044072	0.8520377	1.0301246
900	0.8258288	0.8469082	0.2148261	0.1349737	0.1438013	0.2897785	0.4535052	0.3965490	0.7695167	0.9978347
950	0.7051934	0.8618428	0.2370886	0.1022924	0.1356650	0.3553086	0.4698914	0.4121262	0.8611671	1.0322118
1000	0.6564154	0.9154045	0.2319065	0.1113226	0.1781393	0.3157654	0.4197101	0.4466752	0.8494533	1.0452985

0	0.6345529	0.8568544	0.3099833	0.1587093	0.1274810	0.3310005	0.3922776	0.4393586	0.8485813	1.0855970
50	0.7152995	0.6556443	0.2128389	0.1044475	0.1260697	0.3350637	0.4148050	0.3103248	0.8983612	0.9037636
100	0.8121855	0.4641163	0.2045513	0.1553027	0.1316793	0.3342172	0.4600839	0.2643294	0.8904904	0.7659316
150	0.9567658	0.4153552	0.2378069	0.1656210	0.1670792	0.3333075	0.5202746	0.2052374	0.8989504	0.7183876
200	0.9987183	0.4205742	0.2587215	0.1642650	0.1498567	0.3073043	0.5379011	0.1531246	0.7438720	0.6959145
250	0.9362609	0.4040587	0.2895724	0.1671695	0.1601942	0.3407282	0.6325649	0.0891562	0.7892884	0.6356677
300	1.0100226	0.3348649	0.2460822	0.1377010	0.1709862	0.3379753	0.7246909	0.0853227	0.6871363	0.6471350
350	1.0667201	0.3120579	0.2019158	0.1658420	0.1788608	0.3675946	0.7954591	0.0781485	0.7853231	0.6681377
400	1.0378376	0.3976607	0.2325885	0.2153345	0.2080507	0.3441882	0.8435256	0.0710688	0.8219463	0.7222941
450	0.9859964	0.4248630	0.2700196	0.2067735	0.1938377	0.3233480	0.8867263	0.0780673	0.8452148	0.7400039
500	0.9997341	0.4128614	0.3367750	0.2051223	0.1474149	0.3158620	0.8417137	0.0824617	0.7189980	0.6622939
550	1.0432145	0.4876431	0.3766002	0.2019910	0.1859029	0.3242536	0.7935349	0.1416432	0.7182062	0.6909456
600	1.0146507	0.5444723	0.3407273	0.1743994	0.1814115	0.3023125	0.7361069	0.2232617	0.7202623	0.7874018
650	0.9799801	0.6584829	0.3208837	0.1990100	0.1211186	0.3533188	0.6346330	0.3299178	0.8221878	0.8762971
700	0.9586176	0.7447153	0.3835140	0.1771366	0.1086207	0.3331109	0.5480294	0.3283709	0.7730978	0.8508787
750	0.8701821	0.5948609	0.3667481	0.1147241	0.1249885	0.2546778	0.5364155	0.3805423	0.7988375	0.9222990
800	0.9100968	0.6332507	0.2845013	0.1605842	0.1175661	0.2364831	0.5144665	0.4407367	0.8336836	0.9237506
850	0.7865731	0.7928358	0.2797563	0.1028245	0.0899456	0.2508357	0.4862519	0.4212123	0.7977021	0.9280584
900	0.7112103	0.8214556	0.2368638	0.1018338	0.0823237	0.3556990	0.4477315	0.4416056	0.8606988	1.0355043
