YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0226703	0.0083129	0.0520376	0.4998285	0.2781718	0.8951554	0.8567091	1.0000000	0.2196483	0.8947330
0.2688458	0.0229639	0.3424578	0.1452585	0.7721271	0.3956132	0.4951137	0.7568073	0.5790785	0.9359549
0.3226625	0.0459905	0.3269239	0.2204911	0.5280802	0.7022580	0.6655597	0.8880325	0.6754781	0.9868954
0.0000633	0.0309171	0.2754463	0.2826250	0.4136066	0.6983237	0.6251101	0.9189549	0.3459603	0.6953869
0.0000863	0.0337224	0.2814829	0.2274324	0.5498190	0.7205695	0.6270149	0.9504976	0.4927835	0.9993682
0.3647391	0.2291035	0.2399730	0.3207940	0.2370930	0.6350866	0.6199920	1.0000000	0.0506557	0.9999827
0.1947719	0.3110965	0.0963074	0.7443231	0.1528973	0.6125739	0.6063423	0.9813282	0.0850154	0.9998731
0.1235311	0.1448899	0.3806515	0.1946673	0.5390813	0.4029232	0.4985728	0.7160686	0.1927260	0.6106811
0.0003833	0.0511439	0.3131671	0.2189361	0.6005081	0.6111484	0.6055020	1.0000000	0.2103502	0.9998395
0.0365815	0.0134050	0.2238227	0.3294622	0.3070464	0.8057132	0.7610316	1.0000000	0.2936946	0.9482832
