"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.1786103	0.5600813	0.4313459	0.2866075	0.4824268	0.0912745	0.2108582	0.6156115	0.5105162	0.0235997
50	0.1057265	0.6408371	0.4905283	0.2289510	0.3037620	0.1233995	0.3710626	0.5072234	0.4011753	0.0249249
100	0.0816700	0.5178156	0.3293779	0.3107815	0.1884759	0.0882445	0.3577154	0.5432780	0.3253588	0.0256457
150	0.1390048	0.5373551	0.3476876	0.1459134	0.0997244	0.1148564	0.2366452	0.3871639	0.3472861	0.0223825
200	0.0380128	0.6240273	0.3136362	0.1938271	0.0392866	0.1439523	0.3189741	0.3667525	0.4495339	0.0613853
250	0.0929900	0.6296552	0.1592774	0.2208371	0.0553734	0.1303429	0.2051545	0.3476397	0.5177553	0.0329636
300	0.1020269	0.6230553	0.1899577	0.0957833	0.0568912	0.0988318	0.2612341	0.5101734	0.4538189	0.0415913
350	0.0772344	0.8375467	0.1868364	0.1350683	0.0530418	0.0502221	0.1923862	0.4524670	0.3875645	0.0544665
400	0.0588681	0.8183504	0.1765241	0.2209918	0.0597319	0.0585476	0.1765115	0.4476274	0.3877648	0.0360218
450	0.0732659	0.6676748	0.1427628	0.1708152	0.0725397	0.1064358	0.2112052	0.4433470	0.5546847	0.0101561
500	0.0611812	0.7340353	0.1648975	0.2129001	0.0315192	0.1559455	0.1791590	0.4919849	0.6010432	0.0325143
550	0.0734035	0.7513182	0.2266589	0.3397753	0.2158198	0.0715539	0.2191553	0.5311985	0.5824929	0.0523131
600	0.0631360	0.9288387	0.2972504	0.2892513	0.4175625	0.1192081	0.1920474	0.5522892	0.6684801	0.0524588
650	0.0727863	0.8009456	0.3791052	0.5040243	0.4765824	0.0776049	0.2703567	0.6524931	0.7934912	0.0175621
700	0.0799052	0.7297686	0.5015780	0.4353232	0.3501504	0.1204674	0.2919845	0.7116936	0.6283750	0.0082552
750	0.1145870	0.7083184	0.4086993	0.5074584	0.3728012	0.0992913	0.2996024	0.7688843	0.5644023	0.0652322
800	0.0764331	0.6087128	0.3763620	0.4092259	0.4189061	0.1160965	0.3265099	0.5490050	0.7434099	0.0721154
850	0.0668367	0.5543463	0.4264136	0.2934052	0.3413237	0.1283687	0.2365164	0.6403450	0.6167368	0.0714448
900	0.1099421	0.4896458	0.3601421	0.3445832	0.3563167	0.0683863	0.2023232	0.6563011	0.6119178	0.0557784
950	0.0966547	0.5927793	0.5568072	0.2945940	0.3609786	0.1204230	0.1909932	0.6251166	0.5102660	0.0414007
1000	0.0655281	0.5423920	0.4153641	0.4474259	0.3153538	0.2147280	0.2122972	0.6121582	0.5885139	0.0569966

0	0.1398358	0.5116059	0.3115835	0.2851067	0.5042133	0.1429638	0.2245997	0.5313924	0.3788684	0.0167786
50	0.0790680	0.6629080	0.5042909	0.4018551	0.2781612	0.1304958	0.2111362	0.5212240	0.3166477	0.0202717
100	0.0837408	0.4433058	0.4512080	0.5213923	0.2477353	0.1351394	0.2993203	0.6274172	0.5191274	0.0549733
