"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.4350396	0.7025194	0.0686188	0.2588620	0.2360636	0.2896133	0.5668204	0.9156285	0.8458394	0.9495002
50	0.4649020	0.8299610	0.1010243	0.2280186	0.2077258	0.4720433	0.7505150	0.9470091	0.8606431	1.0615677
100	0.3473792	0.7273924	0.0814840	0.1826416	0.1826615	0.7126306	0.9254311	0.7919638	0.8361105	1.0549787
150	0.3752243	0.6604444	0.0852731	0.2023245	0.1748272	0.8221083	0.9378560	0.7741424	0.6648704	1.0695922
200	0.4051265	0.6904379	0.0774167	0.2180767	0.3071625	0.8634245	1.0052467	0.8313566	0.5986934	0.9859197
250	0.3708680	0.6295254	0.0824793	0.3816766	0.3833402	0.9507980	0.9414972	0.7355813	0.5473491	0.9253379
300	0.4291574	0.7136674	0.1357098	0.5453981	0.4626752	1.0046525	0.8598594	0.7419305	0.5555160	0.9254669
350	0.4852372	0.5592690	0.2825774	0.7286343	0.4757539	1.0014949	0.9160421	0.7588748	0.5667643	0.9395859
400	0.5408959	0.6092002	0.5395721	0.7699076	0.4408633	0.9948011	0.9466196	0.7386935	0.5745934	0.9587248
450	0.6110801	0.6628698	0.7414672	0.7944447	0.4389501	0.9466435	0.9409293	0.7923737	0.6753537	0.9480754
500	0.5594321	0.6781447	0.7704952	0.7554482	0.4443056	0.9156282	1.0461723	0.7658286	0.6943533	0.9324405
550	0.5074990	0.6615060	0.7933977	0.9010092	0.4665554	0.7686057	0.7662867	0.8326677	0.6307746	1.0041671
600	0.4701988	0.6238552	0.8172264	0.8657719	0.4229444	0.4902484	0.6095527	0.9385966	0.7699793	0.9849683
650	0.5275021	0.5937501	0.8171542	0.7550011	0.3302024	0.3118275	0.6789038	0.8540214	0.8685287	1.0836942
700	0.5461276	0.5727432	0.7963142	0.6605382	0.2584713	0.2613162	0.5779494	0.8511348	0.9430273	1.0415059
750	0.5685010	0.6084395	0.6265953	0.5288498	0.1813369	0.3514827	0.6217838	0.9565889	0.8576605	0.9729723
800	0.6339443	0.6711452	0.4531629	0.3585992	0.1824977	0.4339941	0.6702429	0.8853251	0.8514514	0.8847611
850	0.4984850	0.7421995	0.3017327	0.2848571	0.1738945	0.4345848	0.7091198	0.9056043	0.9292961	0.9577408
900	0.4191835	0.7216592	0.1791476	0.2175596	0.1661304	0.3212773	0.7277437	0.8903583	0.8369008	1.0141444
950	0.4770460	0.6983562	0.1397817	0.2032000	0.1725569	0.2613528	0.6559445	0.8322628	0.9192576	0.9577834
1000	0.4054101	0.6326584	0.1475874	0.1760979	0.2049397	0.2762910	0.6229685	0.8721709	0.8969170	0.9846626

0	0.4350396	0.7025194	0.0686188	0.2588620	0.2360636	0.2896133	0.5668204	0.9156285	0.8458394	0.9495002
50	0.4482347	0.6618805	0.0893645	0.1960612	0.1924460	0.2174558	0.7891952	0.9086274	0.7466705	0.9830173
100	0.4352382	0.7315572	0.0599507	0.1483034	0.1845940	0.1992047	0.7857496	0.7802331	0.7156649	0.9951376
150	0.4377340	0.6598569	0.0770070	0.1794851	0.2267402	0.2461691	0.7682312	0.9247645	0.7135134	1.0273608
200	0.5301225	0.6772737	0.0670944	0.2823457	0.2339085	0.2647940	0.8481960	0.9324039	0.7060546	1.1105667
250	0.4497428	0.7782869	0.0536350	0.3457249	0.2643213	0.3106846	0.9037433	0.8825824	0.7171538	1.0775979
300	0.4093436	0.7743342	0.0901031	0.3723263	0.2596897	0.2456121	0.8565339	0.7766784	0.7171544	1.1025356
350	0.4147518	0.7318508	0.1207484	0.3776218	0.3288671	0.1996251	0.8195159	0.8564624	0.6146631	1.0256595
400	0.3799778	0.7141817	0.1337534	0.4660768	0.4041276	0.1956974	0.9398823	0.9560767	0.5468302	0.9791484
450	0.4157615	0.7110743	0.2082219	0.5668489	0.5360382	0.1775125	0.8349266	0.8812898	0.5685894	0.9690664
500	0.4788997	0.6392323	0.3420918	0.7259014	0.5761572	0.2225515	0.8960130	0.9135819	0.5486935	0.9890336
550	0.5532503	0.6679721	0.4998162	0.8177548	0.6314184	0.2665205	0.7060826	0.9185054	0.6911878	1.0075641
600	0.5168201	0.6677418	0.6642722	0.8579305	0.5319412	0.3292379	0.6734133	0.8657669	0.7004354	1.0289263
650	0.4861618	0.6576584	0.8549396	0.8582229	0.4203843	0.3990315	0.6235658	0.8820597	0.7829892	0.9417208
700	0.5254436	0.6190957	0.8909001	0.8965991	0.3454063	0.3108237	0.6661933	0.7476205	0.7826590	0.9175217
750	0.5551996	0.5941648	0.8277653	0.5720617	0.3119511	0.2816404	0.6174902	0.8130313	0.8537036	0.9600531
