YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.6384734	0.6874414	0.7410813	0.0031334	0.8033893	0.0261302	0.0028266	0.5573585	0.8308102	0.0341584
0.5713962	0.7556941	0.7029464	0.0439083	0.7839839	0.0000935	0.0002424	0.7033602	0.7349840	0.0071908
0.4971620	0.6586359	0.6633358	0.0064555	0.7696850	0.0320019	0.0030523	0.7311752	0.6425820	0.0532290
0.5455405	0.7530699	0.6003411	0.6652808	0.7171323	0.0408710	0.0258476	0.6456512	0.3269931	0.4371487
0.5101007	0.6780201	0.4490258	0.6592158	0.8095743	0.0002127	0.0081798	0.7582559	0.5353347	0.2898156
0.6235240	0.7777659	0.7653856	0.0150144	0.7314678	0.0001041	0.0560867	0.7498948	0.7492448	0.0682587
0.5647025	0.7443168	0.7922608	0.0019796	0.7111352	0.0056359	0.0522301	0.6958482	0.5878614	0.0081597
0.5486663	0.8260211	0.6703761	0.0006074	0.7323952	0.0400972	0.0398830	0.7124770	0.5898598	0.0143512
0.6634280	0.7748716	0.6175763	0.7433159	0.8160646	0.0014150	0.0635243	0.6130924	0.3200524	0.3813752
0.6615424	0.7898703	0.5649430	0.6945450	0.7366949	0.0002605	0.0532080	0.7127290	0.5775075	0.3082194
