YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.1484149	0.3397097	0.5363988	0.7101859	0.0410089	0.0530276	0.7961544	0.2930124	0.3716230	0.7459351
0.4615367	0.2148622	0.5859435	0.8132470	0.0001916	0.0031472	0.8248642	0.0872015	0.1248373	0.7213901
0.2559078	0.3851195	0.4903674	0.8684411	0.0256858	0.2035522	0.7190503	0.1013562	0.2857808	0.3805445
0.1745131	0.3396294	0.7555021	0.6759823	0.0985506	0.0108365	0.7201830	0.3705173	0.0901635	0.6541655
0.3045402	0.2290253	0.4768769	0.9212135	0.0920454	0.2796268	0.4299799	0.1294362	0.0280348	0.5275052
0.3556907	0.3304297	0.6311649	0.7421237	0.0029042	0.0991244	0.7761899	0.1455116	0.0807367	0.4664921
0.5012034	0.1420245	0.6533544	0.4596710	0.0012398	0.0373751	0.6397729	0.0475460	0.1140801	0.4975072
0.2738605	0.4313990	0.4868563	0.6589223	0.0030090	0.0076121	0.6104178	0.2023647	0.3531098	0.3908502
0.2058644	0.3607367	0.4934578	0.5834090	0.0477667	0.1746464	0.5216349	0.1629094	0.2876582	0.6991267
0.2029928	0.2119502	0.5566715	0.6212959	0.2263981	0.0678036	0.6475244	0.0023448	0.2251506	0.6371305
